Orthogroup	Praz	Praa
OG0000000	Praz.g_00894	Praa.g_01235
OG0000000	Praz.g_00921	Praa.g_01598
OG0000000	Praz.g_00922, Praz.g_00694	Praa.g_01597
OG0000001	Praz.g_01146	Praa.g_01359
OG0000001	Praz.g_01652	Praa.g_00678
OG0000002	Praz.g_01154	Praa.g_01351
OG0000003	Praz.g_00404	Praa.g_00038
OG0000004	Praz.g_01200	Praa.g_01298
OG0000004	Praz.g_00920	Praa.g_01599
OG0000005	Praz.g_01583	Praa.g_00735
OG0000005	Praz.g_01576	Praa.g_00742
OG0000005	Praz.g_01201	Praa.g_01294
OG0000006	Praz.g_01215	Praa.g_01280
OG0000006	Praz.g_01563	Praa.g_00755
OG0000006	Praz.g_00045	Praa.g_01110
OG0000007	Praz.g_01317	Praa.g_00997
OG0000007	Praz.g_00767	Praa.g_01256
OG0000007	Praz.g_00790	Praa.g_00382
OG0000008	Praz.g_01831	Praa.g_00497
OG0000008	Praz.g_00877	Praa.g_01635
OG0000010	Praz.g_01532	Praa.g_00782
OG0000010	Praz.g_00609	Praa.g_00249
OG0000011	Praz.g_00799	Praa.g_00374
OG0000011	Praz.g_01564	Praa.g_00754
OG0000012	Praz.g_00800	Praa.g_00373
OG0000013	Praz.g_00929	Praa.g_01589
OG0000013	Praz.g_00465	Praa.g_00105
OG0000014	Praz.g_01102	Praa.g_01409
OG0000014	Praz.g_00663	Praa.g_00306
OG0000015	Praz.g_00687	Praa.g_00330
OG0000017	Praz.g_01197	Praa.g_01301
OG0000017	Praz.g_01858	Praa.g_00470
OG0000018	Praz.g_01732	Praa.g_00598
OG0000019	Praz.g_00792	Praa.g_00380
OG0000020	Praz.g_01143	Praa.g_01362
OG0000021	Praz.g_01021	Praa.g_01496
OG0000022	Praz.g_00601	Praa.g_00241, Praa.g_01245
OG0000023	Praz.g_00896	Praa.g_01623
OG0000023	Praz.g_00810	Praa.g_00364
OG0000024	Praz.g_01208	Praa.g_01287
OG0000025	Praz.g_01571	Praa.g_00747
OG0000026	Praz.g_01198	Praa.g_01300
OG0000027	Praz.g_01658	Praa.g_00672
