Orthogroup	Praz	Prap
OG0000000	Praz.g_00894, Praz.g_00921	Prap.g_01862
OG0000000	Praz.g_00922, Praz.g_00694	Prap.g_01846, Prap.g_01861, Prap.g_00493
OG0000001	Praz.g_01146	Prap.g_00720, Prap.g_00715
OG0000001	Praz.g_01652	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491
OG0000002	Praz.g_01939, Praz.g_01940	Prap.g_00653
OG0000002	Praz.g_01154	Prap.g_01925
OG0000004	Praz.g_01200, Praz.g_00920	Prap.g_00494
OG0000005	Praz.g_01576	Prap.g_00535
OG0000006	Praz.g_01215, Praz.g_01563, Praz.g_00045	Prap.g_00010
OG0000008	Praz.g_01831	Prap.g_01270
OG0000008	Praz.g_00877	Prap.g_01779
OG0000010	Praz.g_01532	Prap.g_00480
OG0000010	Praz.g_00609	Prap.g_01462
OG0000011	Praz.g_00799	Prap.g_01688
OG0000011	Praz.g_01564	Prap.g_01848, Prap.g_01899
OG0000013	Praz.g_00929, Praz.g_00465	Prap.g_00216
OG0000015	Praz.g_01921	Prap.g_01343
OG0000016	Praz.g_01551	Prap.g_01840, Prap.g_01794
OG0000017	Praz.g_01197, Praz.g_01858	Prap.g_01860, Prap.g_01912
OG0000018	Praz.g_01732	Prap.g_01170, Prap.g_01163
OG0000019	Praz.g_00792	Prap.g_01818, Prap.g_01851
OG0000020	Praz.g_01143	Prap.g_00510, Prap.g_00218
OG0000022	Praz.g_00601	Prap.g_01470
OG0000023	Praz.g_00896, Praz.g_00810	Prap.g_00797
OG0000024	Praz.g_01208	Prap.g_01911, Prap.g_00502
OG0000025	Praz.g_01571	Prap.g_00322, Prap.g_00826
OG0000029	Praz.g_01531	Prap.g_00505, Prap.g_01805
OG0000030	Praz.g_01530	Prap.g_01797
OG0000031	Praz.g_00198	Prap.g_01572
OG0000034	Praz.g_01041	Prap.g_00121
OG0000035	Praz.g_00928	Prap.g_01312
OG0000036	Praz.g_00048	Prap.g_00228
OG0000038	Praz.g_01116	Prap.g_00080
OG0000041	Praz.g_01707	Prap.g_01145, Prap.g_00236
OG0000043	Praz.g_01422	Prap.g_00017
OG0000045	Praz.g_01744	Prap.g_01790, Prap.g_01183
OG0000046	Praz.g_01556	Prap.g_00212
OG0000047	Praz.g_00755	Prap.g_00456
OG0000049	Praz.g_01096	Prap.g_00081
OG0000050	Praz.g_00526	Prap.g_01004
OG0000051	Praz.g_00814	Prap.g_00029
OG0000053	Praz.g_01607	Prap.g_00791
OG0000054	Praz.g_00884	Prap.g_01917, Prap.g_01787
OG0000055	Praz.g_00205	Prap.g_01580
OG0000056	Praz.g_00396	Prap.g_00923
OG0000057	Praz.g_00517	Prap.g_01013
OG0000058	Praz.g_00804	Prap.g_00591
OG0000059	Praz.g_01789	Prap.g_01230, Prap.g_01867
