Orthogroup	Syat	Pras
OG0000001	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Pras.g_00235
OG0000005	Syat.g_03065	Pras.g_00563
OG0000005	Syat.g_03105	Pras.g_00429
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Pras.g_00148, Pras.g_01093
OG0000007	Syat.g_03191	Pras.g_01375
OG0000007	Syat.g_03124	Pras.g_00550
OG0000009	Syat.g_01567	Pras.g_00956
OG0000010	Syat.g_01372	Pras.g_00523, Pras.g_01942
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Pras.g_01499
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Pras.g_01179
OG0000014	Syat.g_02104	Pras.g_01158
OG0000015	Syat.g_00775, Syat.g_01677	Pras.g_00127
OG0000016	Syat.g_02329	Pras.g_00855
OG0000017	Syat.g_00015	Pras.g_01474
OG0000018	Syat.g_01334	Pras.g_00037
OG0000019	Syat.g_01876	Pras.g_01101, Pras.g_01681
OG0000021	Syat.g_00964	Pras.g_00507, Pras.g_01218
OG0000022	Syat.g_00210	Pras.g_00019
OG0000024	Syat.g_03394	Pras.g_01645, Pras.g_01551
OG0000025	Syat.g_00719	Pras.g_01183, Pras.g_01735
OG0000026	Syat.g_02306	Pras.g_00873, Pras.g_01949
OG0000027	Syat.g_00850	Pras.g_01348, Pras.g_00185
OG0000028	Syat.g_02126	Pras.g_00169, Pras.g_01172
OG0000030	Syat.g_00307, Syat.g_00308	Pras.g_00753
OG0000031	Syat.g_03199, Syat.g_02243	Pras.g_00331
OG0000032	Syat.g_02237	Pras.g_00326
OG0000034	Syat.g_01165, Syat.g_02902	Pras.g_00219
OG0000035	Syat.g_01227, Syat.g_01226	Pras.g_00350
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Pras.g_00960
OG0000038	Syat.g_02688, Syat.g_02686	Pras.g_00795
OG0000039	Syat.g_01278	Pras.g_01562
OG0000040	Syat.g_02551	Pras.g_00036
OG0000041	Syat.g_00785, Syat.g_03006	Pras.g_00597
OG0000042	Syat.g_00223, Syat.g_02222	Pras.g_00750
OG0000045	Syat.g_00935	Pras.g_00509
OG0000048	Syat.g_02046	Pras.g_01227
OG0000053	Syat.g_01330	Pras.g_00886, Pras.g_00370
OG0000054	Syat.g_00987, Syat.g_03390	Pras.g_01482
OG0000055	Syat.g_00693	Pras.g_01682
OG0000057	Syat.g_00817, Syat.g_02055	Pras.g_01574
OG0000059	Syat.g_01832	Pras.g_00637
OG0000061	Syat.g_03260	Pras.g_00056
OG0000062	Syat.g_03107	Pras.g_00431
OG0000063	Syat.g_02303	Pras.g_00875
OG0000065	Syat.g_01571	Pras.g_00958
OG0000066	Syat.g_03283	Pras.g_01416
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Pras.g_01701, Pras.g_00311
OG0000068	Syat.g_00085, Syat.g_01295	Pras.g_00250
OG0000069	Syat.g_00090, Syat.g_00879	Pras.g_00538, Pras.g_00464
OG0000070	Syat.g_01032, Syat.g_01040	Pras.g_01328
OG0000071	Syat.g_01153	Pras.g_00209
OG0000072	Syat.g_02856, Syat.g_01597	Pras.g_01022
OG0000073	Syat.g_03201	Pras.g_01377
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Pras.g_00719
OG0000076	Syat.g_02206	Pras.g_00883, Pras.g_00743
OG0000077	Syat.g_01481	Pras.g_00929
OG0000078	Syat.g_00184	Pras.g_01091
OG0000079	Syat.g_01879	Pras.g_01104
OG0000080	Syat.g_02246, Syat.g_02282, Syat.g_01200	Pras.g_00279, Pras.g_00277
OG0000081	Syat.g_00980	Pras.g_01408
OG0000082	Syat.g_00035	Pras.g_01462
OG0000085	Syat.g_03113	Pras.g_00543
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Pras.g_00939
OG0000087	Syat.g_02912	Pras.g_00990
OG0000088	Syat.g_02862	Pras.g_01017
OG0000089	Syat.g_02953	Pras.g_01209
OG0000090	Syat.g_03270	Pras.g_01410
OG0000091	Syat.g_00939, Syat.g_00862	Pras.g_01518
OG0000094	Syat.g_00698, Syat.g_01034	Pras.g_01915
OG0000095	Syat.g_00808	Pras.g_01934
OG0000097	Syat.g_00907, Syat.g_00535	Pras.g_00098
OG0000098	Syat.g_03281	Pras.g_00232
OG0000099	Syat.g_02130	Pras.g_00294
OG0000100	Syat.g_00517	Pras.g_00427
OG0000101	Syat.g_01661	Pras.g_00687
OG0000102	Syat.g_00974	Pras.g_00748
OG0000103	Syat.g_02399	Pras.g_00829
OG0000104	Syat.g_02385	Pras.g_00838
OG0000105	Syat.g_02052	Pras.g_01126
OG0000106	Syat.g_00957	Pras.g_01223
OG0000107	Syat.g_02009, Syat.g_01862	Pras.g_01239
OG0000108	Syat.g_03170	Pras.g_01358
OG0000109	Syat.g_03187	Pras.g_01372
OG0000110	Syat.g_00049	Pras.g_01451
OG0000111	Syat.g_00816	Pras.g_01575
OG0000112	Syat.g_00593	Pras.g_01665
OG0000113	Syat.g_00509	Pras.g_01723
OG0000114	Syat.g_00426	Pras.g_01801
OG0000115	Syat.g_01328	Pras.g_01994
OG0000116	Syat.g_02641	Pras.g_00046
OG0000117	Syat.g_00224	Pras.g_00150
OG0000118	Syat.g_01168	Pras.g_00221, Pras.g_00222
OG0000119	Syat.g_00309	Pras.g_00246
OG0000120	Syat.g_02132	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330
OG0000121	Syat.g_01223	Pras.g_00352
OG0000123	Syat.g_01653	Pras.g_00694
OG0000124	Syat.g_02231	Pras.g_00759
OG0000125	Syat.g_02684	Pras.g_00797
OG0000126	Syat.g_00976	Pras.g_00837
OG0000128	Syat.g_02331	Pras.g_00853
OG0000129	Syat.g_02693, Syat.g_02694	Pras.g_00897
OG0000130	Syat.g_01469	Pras.g_00921
OG0000131	Syat.g_02898	Pras.g_00996
OG0000132	Syat.g_02864	Pras.g_01015
OG0000133	Syat.g_00588	Pras.g_01174
OG0000134	Syat.g_02956	Pras.g_01210
OG0000135	Syat.g_02501	Pras.g_01236
OG0000136	Syat.g_01292	Pras.g_01319
OG0000137	Syat.g_01371	Pras.g_01353
OG0000138	Syat.g_03188	Pras.g_01373
OG0000139	Syat.g_03276	Pras.g_01414
OG0000140	Syat.g_03280	Pras.g_01415
OG0000141	Syat.g_03398	Pras.g_01483
OG0000142	Syat.g_00117	Pras.g_01511
OG0000143	Syat.g_00130	Pras.g_01515
OG0000144	Syat.g_00369	Pras.g_01528
OG0000145	Syat.g_03202	Pras.g_01664
OG0000146	Syat.g_00594	Pras.g_01666
OG0000147	Syat.g_00595	Pras.g_01667
OG0000148	Syat.g_00503	Pras.g_01717
OG0000149	Syat.g_00747	Pras.g_01747
OG0000150	Syat.g_03399	Pras.g_01755
OG0000151	Syat.g_00801, Syat.g_00440	Pras.g_01811
OG0000152	Syat.g_00578	Pras.g_01859
OG0000153	Syat.g_00542	Pras.g_01878
OG0000154	Syat.g_00708	Pras.g_01908
OG0000155	Syat.g_00287	Pras.g_00076
OG0000156	Syat.g_03228	Pras.g_00197
OG0000157	Syat.g_02012, Syat.g_03227	Pras.g_00198
OG0000158	Syat.g_02163	Pras.g_00289
OG0000160	Syat.g_01224	Pras.g_00351
OG0000161	Syat.g_01180	Pras.g_00357
OG0000162	Syat.g_01281	Pras.g_00363
OG0000163	Syat.g_02979	Pras.g_00399
OG0000164	Syat.g_03040	Pras.g_00574
OG0000165	Syat.g_03033	Pras.g_00581
OG0000166	Syat.g_01822	Pras.g_00651
OG0000167	Syat.g_02148	Pras.g_00717
OG0000168	Syat.g_02164	Pras.g_00727
OG0000169	Syat.g_02192	Pras.g_00737
OG0000170	Syat.g_02201	Pras.g_00739
OG0000171	Syat.g_02230	Pras.g_00758
OG0000172	Syat.g_02260	Pras.g_00768
OG0000173	Syat.g_02284	Pras.g_00783
OG0000174	Syat.g_02504	Pras.g_00811, Pras.g_00810
OG0000175	Syat.g_02416	Pras.g_00821
OG0000176	Syat.g_02372	Pras.g_00846
OG0000177	Syat.g_02338	Pras.g_00847
OG0000178	Syat.g_02337	Pras.g_00848
OG0000179	Syat.g_02322	Pras.g_00858
OG0000180	Syat.g_02321	Pras.g_00859
OG0000181	Syat.g_02320	Pras.g_00860
OG0000182	Syat.g_02319	Pras.g_00861
OG0000183	Syat.g_02315	Pras.g_00865
OG0000184	Syat.g_02704	Pras.g_00899
OG0000185	Syat.g_02719	Pras.g_00902
OG0000186	Syat.g_01463	Pras.g_00916
OG0000187	Syat.g_01467	Pras.g_00917
OG0000188	Syat.g_01489	Pras.g_00933
OG0000189	Syat.g_00386, Syat.g_01557	Pras.g_00947
OG0000190	Syat.g_00330	Pras.g_00948
OG0000191	Syat.g_03344, Syat.g_02939	Pras.g_00968
OG0000192	Syat.g_02933	Pras.g_00972
OG0000193	Syat.g_02897	Pras.g_00997
OG0000194	Syat.g_02894	Pras.g_01000
OG0000195	Syat.g_02892	Pras.g_01002
OG0000196	Syat.g_02867	Pras.g_01012
OG0000197	Syat.g_02866	Pras.g_01013
OG0000198	Syat.g_02865	Pras.g_01014
OG0000199	Syat.g_02857	Pras.g_01021
OG0000200	Syat.g_02840	Pras.g_01035
OG0000201	Syat.g_02821	Pras.g_01043
OG0000202	Syat.g_02820	Pras.g_01044
