Orthogroup	Syat	Pran
OG0000005	Syat.g_03065	Pran.g_00983
OG0000005	Syat.g_03105	Pran.g_00657
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Pran.g_01951
OG0000007	Syat.g_03191	Pran.g_01681
OG0000007	Syat.g_03124	Pran.g_00970
OG0000009	Syat.g_01567	Pran.g_00328
OG0000010	Syat.g_01372	Pran.g_00175
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Pran.g_01555
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Pran.g_01867
OG0000014	Syat.g_02104	Pran.g_01888
OG0000014	Syat.g_03196, Syat.g_02250	Pran.g_00755, Pran.g_00754
OG0000015	Syat.g_00775, Syat.g_01677	Pran.g_01394
OG0000017	Syat.g_00015	Pran.g_01580
OG0000018	Syat.g_01334	Pran.g_00078
OG0000019	Syat.g_01876	Pran.g_01943, Pran.g_01363
OG0000021	Syat.g_00964	Pran.g_01829
OG0000022	Syat.g_00210	Pran.g_00097
OG0000024	Syat.g_03394	Pran.g_01420, Pran.g_01503
OG0000025	Syat.g_00719	Pran.g_01863, Pran.g_01309
OG0000026	Syat.g_02306	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Syat.g_00850	Pran.g_00583
OG0000028	Syat.g_02126	Pran.g_01874
OG0000030	Syat.g_00307, Syat.g_00308	Pran.g_01170
OG0000031	Syat.g_02131, Syat.g_03199, Syat.g_02243	Pran.g_00753
OG0000033	Syat.g_02858	Pran.g_00800
OG0000034	Syat.g_01165, Syat.g_02902	Pran.g_00866
OG0000035	Syat.g_01227, Syat.g_01226	Pran.g_00733
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Pran.g_00324
OG0000038	Syat.g_02688, Syat.g_02686	Pran.g_01210
OG0000039	Syat.g_01278	Pran.g_01492
OG0000040	Syat.g_02551	Pran.g_00079
OG0000041	Syat.g_00785, Syat.g_03006	Pran.g_01016
OG0000042	Syat.g_00223, Syat.g_02222	Pran.g_01167
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Pran.g_00949
OG0000048	Syat.g_02046	Pran.g_01772, Pran.g_01820
OG0000053	Syat.g_01330	Pran.g_00713
OG0000054	Syat.g_00987, Syat.g_03390	Pran.g_01572
OG0000055	Syat.g_00693	Pran.g_01362
OG0000057	Syat.g_00817, Syat.g_02055	Pran.g_01480
OG0000059	Syat.g_01832	Pran.g_01056
OG0000060	Syat.g_01384, Syat.g_01383, Syat.g_01047	Pran.g_01399
OG0000061	Syat.g_03260	Pran.g_00060
OG0000062	Syat.g_03107	Pran.g_00655
OG0000063	Syat.g_02303	Pran.g_00391
OG0000065	Syat.g_01571	Pran.g_00326
OG0000066	Syat.g_03283	Pran.g_01639
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Pran.g_01343
OG0000068	Syat.g_00085, Syat.g_01295	Pran.g_00841
OG0000069	Syat.g_00090, Syat.g_00879	Pran.g_00614
OG0000070	Syat.g_01032, Syat.g_01040	Pran.g_01727
OG0000071	Syat.g_01153	Pran.g_00938, Pran.g_00876
OG0000072	Syat.g_02856, Syat.g_01597	Pran.g_00261
OG0000073	Syat.g_03201	Pran.g_01679
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Pran.g_01137
OG0000076	Syat.g_02206	Pran.g_01160
OG0000077	Syat.g_01481	Pran.g_00354
OG0000078	Syat.g_00184	Pran.g_00194
OG0000079	Syat.g_01879	Pran.g_01940
OG0000080	Syat.g_02246, Syat.g_02282, Syat.g_01200	Pran.g_00796, Pran.g_00794
OG0000081	Syat.g_00980	Pran.g_01647
OG0000082	Syat.g_00035	Pran.g_01593
OG0000085	Syat.g_03113	Pran.g_00963
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Pran.g_00344
OG0000087	Syat.g_02912	Pran.g_00295
OG0000088	Syat.g_02862	Pran.g_00266
OG0000089	Syat.g_02953	Pran.g_01839
OG0000090	Syat.g_03270	Pran.g_01645
OG0000091	Syat.g_00939, Syat.g_00862	Pran.g_01536
OG0000094	Syat.g_00698, Syat.g_01034	Pran.g_00549
OG0000095	Syat.g_00808	Pran.g_00903
OG0000097	Syat.g_00907, Syat.g_00535	Pran.g_00019
OG0000098	Syat.g_03281	Pran.g_00855
OG0000099	Syat.g_02130	Pran.g_00806
OG0000100	Syat.g_00517	Pran.g_00659
OG0000101	Syat.g_01661	Pran.g_01105
OG0000102	Syat.g_00974	Pran.g_01165
OG0000103	Syat.g_02399	Pran.g_01244
OG0000104	Syat.g_02385	Pran.g_01253
OG0000105	Syat.g_02052	Pran.g_01920
OG0000106	Syat.g_00957	Pran.g_01824
OG0000107	Syat.g_02009, Syat.g_01862	Pran.g_01808
OG0000108	Syat.g_03170	Pran.g_01698
OG0000109	Syat.g_03187	Pran.g_01684
