Orthogroup	Syat	Syas
OG0000001	Syat.g_02908, Syat.g_02909	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000005	Syat.g_03065	Syas.g_02665
OG0000005	Syat.g_03105	Syas.g_02704
OG0000006	Syat.g_01439, Syat.g_01865	Syas.g_01684, Syas.g_02565
OG0000007	Syat.g_03191	Syas.g_01232
OG0000007	Syat.g_03124	Syas.g_02681
OG0000008	Syat.g_02626	Syas.g_00886
OG0000008	Syat.g_02627	Syas.g_00887
OG0000009	Syat.g_01567	Syas.g_01450
OG0000010	Syat.g_01372	Syas.g_01334
OG0000012	Syat.g_03313	Syas.g_00111
OG0000012	Syat.g_02642	Syas.g_00827
OG0000013	Syat.g_01625	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Syat.g_02104	Syas.g_01816
OG0000015	Syat.g_00775, Syat.g_01677	Syas.g_00968
OG0000016	Syat.g_02329	Syas.g_02048
OG0000016	Syat.g_00909	Syas.g_01086
OG0000016	Syat.g_00222, Syat.g_00832	Syas.g_01050
OG0000017	Syat.g_00015	Syas.g_00849
OG0000018	Syat.g_01334	Syas.g_01290
OG0000019	Syat.g_01876	Syas.g_01696
OG0000022	Syat.g_00210	Syas.g_02758
OG0000025	Syat.g_00719	Syas.g_00231
OG0000026	Syat.g_02306	Syas.g_02070
OG0000027	Syat.g_00850	Syas.g_01480
OG0000028	Syat.g_02126	Syas.g_01793
OG0000030	Syat.g_00307	Syas.g_01644
OG0000030	Syat.g_00308	Syas.g_01645
OG0000031	Syat.g_02131	Syas.g_01827
OG0000033	Syat.g_02858	Syas.g_02328
OG0000034	Syat.g_01165, Syat.g_02902	Syas.g_02371, Syas.g_02838
OG0000035	Syat.g_01227	Syas.g_02814
OG0000035	Syat.g_01226	Syas.g_02818
OG0000037	Syat.g_00849, Syat.g_00187	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Syat.g_02688	Syas.g_01885
OG0000038	Syat.g_02686	Syas.g_01887
OG0000039	Syat.g_01278	Syas.g_02795
OG0000040	Syat.g_02551	Syas.g_01972
OG0000041	Syat.g_00785	Syas.g_00996
OG0000041	Syat.g_03006	Syas.g_02585
OG0000042	Syat.g_00223	Syas.g_01121
OG0000042	Syat.g_02222	Syas.g_02147
OG0000044	Syat.g_00933	Syas.g_00894
