Orthogroup	Syat	Praf
OG0000001	Syat.g_02910, Syat.g_02911	Praf.g_01031
OG0000001	Syat.g_02908, Syat.g_02909	Praf.g_02422
OG0000001	Syat.g_00878	Praf.g_01293
OG0000005	Syat.g_03105	Praf.g_00503
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Praf.g_00396, Praf.g_01719
OG0000007	Syat.g_03191	Praf.g_00614
OG0000007	Syat.g_03124	Praf.g_00480
OG0000008	Syat.g_02626	Praf.g_01223
OG0000008	Syat.g_02627	Praf.g_01224
OG0000009	Syat.g_01567	Praf.g_01768, Praf.g_00246
OG0000010	Syat.g_01372	Praf.g_01908
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Praf.g_02073
OG0000014	Syat.g_02104	Praf.g_02319
OG0000014	Syat.g_02250	Praf.g_00112
OG0000015	Syat.g_00775, Syat.g_01677	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Syat.g_02329	Praf.g_00014
OG0000016	Syat.g_00909	Praf.g_00906
OG0000018	Syat.g_01334	Praf.g_01832
OG0000019	Syat.g_01876	Praf.g_02214
OG0000021	Syat.g_00964	Praf.g_00946, Praf.g_01089, Praf.g_00746
OG0000022	Syat.g_00210	Praf.g_00965
OG0000024	Syat.g_03394	Praf.g_01139
OG0000025	Syat.g_00719	Praf.g_01591
OG0000026	Syat.g_02306	Praf.g_00037
OG0000028	Syat.g_02126	Praf.g_02333
OG0000030	Syat.g_00307	Praf.g_00160
OG0000030	Syat.g_00308	Praf.g_00159
OG0000031	Syat.g_02131	Praf.g_02400
OG0000031	Syat.g_03199, Syat.g_02243	Praf.g_00101
OG0000032	Syat.g_01354	Praf.g_01851
OG0000032	Syat.g_02237	Praf.g_02346
OG0000033	Syat.g_02858	Praf.g_02457
OG0000034	Syat.g_01165, Syat.g_02902	Praf.g_00783
OG0000035	Syat.g_01227, Syat.g_01226	Praf.g_01794
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Praf.g_00240
OG0000038	Syat.g_02688	Praf.g_02660
OG0000038	Syat.g_02686	Praf.g_02662
OG0000039	Syat.g_01278	Praf.g_00406, Praf.g_02541
OG0000041	Syat.g_00785	Praf.g_00426
OG0000042	Syat.g_00223, Syat.g_02222	Praf.g_00164, Praf.g_00920
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Praf.g_00356, Praf.g_01078
OG0000045	Syat.g_00935	Praf.g_00322
OG0000046	Syat.g_01626, Syat.g_01026	Praf.g_02072
OG0000048	Syat.g_02046	Praf.g_02267
OG0000052	Syat.g_02140	Praf.g_02366
OG0000053	Syat.g_01330	Praf.g_01828
OG0000054	Syat.g_00987, Syat.g_03390	Praf.g_00763
OG0000055	Syat.g_00693	Praf.g_01257
OG0000057	Syat.g_00817, Syat.g_02055	Praf.g_01125
OG0000058	Syat.g_02133, Syat.g_02238	Praf.g_02345
OG0000059	Syat.g_01832	Praf.g_02172
OG0000060	Syat.g_01384	Praf.g_00592
OG0000061	Syat.g_03260	Praf.g_00854
OG0000062	Syat.g_03107	Praf.g_00501
OG0000063	Syat.g_02303	Praf.g_00041
OG0000065	Syat.g_01571	Praf.g_00244
OG0000066	Syat.g_03283	Praf.g_00672
OG0000068	Syat.g_00085, Syat.g_01295	Praf.g_00585, Praf.g_00583
OG0000070	Syat.g_01032, Syat.g_01040	Praf.g_01962
OG0000071	Syat.g_01153	Praf.g_00796
OG0000072	Syat.g_01597	Praf.g_02469
OG0000073	Syat.g_03201	Praf.g_00616
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Praf.g_02384
OG0000076	Syat.g_02206	Praf.g_00178
OG0000078	Syat.g_00184	Praf.g_00391
OG0000079	Syat.g_01879	Praf.g_02234, Praf.g_02218, Praf.g_02225
OG0000081	Syat.g_00980	Praf.g_01131
OG0000082	Syat.g_00035	Praf.g_00731
OG0000085	Syat.g_03113	Praf.g_00491
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Praf.g_00297
OG0000087	Syat.g_02912	Praf.g_02420
OG0000088	Syat.g_02862	Praf.g_01239
OG0000089	Syat.g_02953	Praf.g_02015
OG0000090	Syat.g_03270	Praf.g_00660
OG0000091	Syat.g_00939, Syat.g_00862	Praf.g_01700
OG0000094	Syat.g_00698, Syat.g_01034	Praf.g_02685
OG0000095	Syat.g_00808	Praf.g_01274
OG0000098	Syat.g_03281	Praf.g_01886
OG0000099	Syat.g_02130	Praf.g_02342
OG0000100	Syat.g_00517	Praf.g_00370, Praf.g_01561
OG0000102	Syat.g_00974	Praf.g_00173
OG0000103	Syat.g_02399	Praf.g_02765
OG0000104	Syat.g_02385	Praf.g_02779
OG0000105	Syat.g_02052	Praf.g_02271
OG0000106	Syat.g_00957	Praf.g_00496
OG0000107	Syat.g_01862	Praf.g_02201
OG0000108	Syat.g_03170	Praf.g_00595
OG0000109	Syat.g_03187	Praf.g_00611
OG0000110	Syat.g_00049	Praf.g_00718
OG0000111	Syat.g_00816	Praf.g_01126
OG0000112	Syat.g_00593	Praf.g_01400
OG0000113	Syat.g_00509	Praf.g_01556
OG0000114	Syat.g_00426	Praf.g_01461
OG0000115	Syat.g_01328	Praf.g_01825
OG0000116	Syat.g_02641	Praf.g_00825
OG0000117	Syat.g_00224	Praf.g_00919
OG0000118	Syat.g_01168	Praf.g_00779
OG0000119	Syat.g_00309	Praf.g_01108, Praf.g_01143
OG0000120	Syat.g_02132	Praf.g_02343
OG0000121	Syat.g_01223	Praf.g_01796
OG0000123	Syat.g_01653	Praf.g_02108
OG0000124	Syat.g_02231	Praf.g_00153
OG0000125	Syat.g_02684	Praf.g_02664
OG0000126	Syat.g_00976	Praf.g_02777
OG0000127	Syat.g_00175	Praf.g_00338
OG0000128	Syat.g_02331	Praf.g_00012
OG0000129	Syat.g_02693, Syat.g_02694	Praf.g_02652
OG0000130	Syat.g_01469	Praf.g_00321
OG0000131	Syat.g_02898	Praf.g_02432
