Orthogroup	Syat	Syai
OG0000001	Syat.g_02910, Syat.g_02911	Syai.g_01197, Syai.g_02594
OG0000001	Syat.g_02908, Syat.g_02909	Syai.g_00891, Syai.g_02595
OG0000001	Syat.g_01540	Syai.g_01729
OG0000005	Syat.g_03065	Syai.g_02393
OG0000005	Syat.g_03105	Syai.g_02356
OG0000005	Syat.g_01038	Syai.g_02068, Syai.g_01611
OG0000006	Syat.g_00371	Syai.g_01126
OG0000006	Syat.g_01439, Syat.g_01865	Syai.g_00317, Syai.g_00547
OG0000007	Syat.g_03191	Syai.g_00657
OG0000007	Syat.g_03124	Syai.g_02378
OG0000008	Syat.g_02626	Syai.g_01956
OG0000008	Syat.g_02627	Syai.g_01955
OG0000009	Syat.g_01567	Syai.g_02541
OG0000010	Syat.g_01372	Syai.g_00864
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Syai.g_01987, Syai.g_01529, Syai.g_01650
OG0000013	Syat.g_01027	Syai.g_00436
OG0000014	Syat.g_02104	Syai.g_00220
OG0000016	Syat.g_02329	Syai.g_00014
OG0000016	Syat.g_00909	Syai.g_01785
OG0000018	Syat.g_01334	Syai.g_00915
OG0000019	Syat.g_01876	Syai.g_00304
OG0000021	Syat.g_00964	Syai.g_00556
OG0000022	Syat.g_00210	Syai.g_01159
OG0000024	Syat.g_03394	Syai.g_01951
OG0000025	Syat.g_00719	Syai.g_02044
OG0000026	Syat.g_02306	Syai.g_00038
OG0000027	Syat.g_00850	Syai.g_01128, Syai.g_01654
OG0000028	Syat.g_02126	Syai.g_00205
OG0000030	Syat.g_00307	Syai.g_00096
OG0000030	Syat.g_00308	Syai.g_00095
OG0000031	Syat.g_02131	Syai.g_00197
OG0000032	Syat.g_01354	Syai.g_00895
OG0000033	Syat.g_02858	Syai.g_02634
OG0000034	Syat.g_01165, Syat.g_02902	Syai.g_02192, Syai.g_02604
OG0000035	Syat.g_01227, Syat.g_01226	Syai.g_00955
OG0000037	Syat.g_00849, Syat.g_00187	Syai.g_02815
OG0000038	Syat.g_02688	Syai.g_02780
OG0000039	Syat.g_01278	Syai.g_02034
OG0000040	Syat.g_02551	Syai.g_02876
OG0000042	Syat.g_00223, Syat.g_02222	Syai.g_00099
OG0000046	Syat.g_01626, Syat.g_01026	Syai.g_00435
OG0000048	Syat.g_02046	Syai.g_00272
OG0000052	Syat.g_02140	Syai.g_00176
OG0000053	Syat.g_01330	Syai.g_00930
OG0000058	Syat.g_02133, Syat.g_02238	Syai.g_00195
OG0000059	Syat.g_01832	Syai.g_00351
OG0000060	Syat.g_01384	Syai.g_00635
OG0000060	Syat.g_01047	Syai.g_01758
OG0000061	Syat.g_03260	Syai.g_02144
OG0000062	Syat.g_03107	Syai.g_02358
OG0000063	Syat.g_02303	Syai.g_00042
OG0000064	Syat.g_01568	Syai.g_02844
OG0000066	Syat.g_03283	Syai.g_01709, Syai.g_00719
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Syai.g_01321
OG0000068	Syat.g_00085, Syat.g_01295	Syai.g_00628
OG0000070	Syat.g_01032, Syat.g_01040	Syai.g_02196
OG0000072	Syat.g_02856	Syai.g_02636
OG0000073	Syat.g_03201	Syai.g_00659
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Syai.g_00161
OG0000076	Syat.g_02206	Syai.g_00111
OG0000077	Syat.g_01481	Syai.g_02486
OG0000078	Syat.g_00184	Syai.g_00543
OG0000079	Syat.g_01879	Syai.g_00300
OG0000081	Syat.g_00980	Syai.g_00553, Syai.g_02292
OG0000082	Syat.g_00035	Syai.g_00781
OG0000085	Syat.g_03113	Syai.g_02365
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Syai.g_02507
OG0000087	Syat.g_02912	Syai.g_02592
OG0000088	Syat.g_02862	Syai.g_02630
OG0000089	Syat.g_02953	Syai.g_00517
OG0000090	Syat.g_03270	Syai.g_00707
OG0000091	Syat.g_00939, Syat.g_00862	Syai.g_01112
OG0000092	Syat.g_00825	Syai.g_01358
OG0000094	Syat.g_00698	Syai.g_01424
OG0000095	Syat.g_00808	Syai.g_02007
OG0000097	Syat.g_00907, Syat.g_00535	Syai.g_01787
OG0000098	Syat.g_03281	Syai.g_01718
OG0000099	Syat.g_02130	Syai.g_00199
OG0000100	Syat.g_00517	Syai.g_01372
OG0000102	Syat.g_00974	Syai.g_00106
OG0000104	Syat.g_02385	Syai.g_02929
OG0000105	Syat.g_02052	Syai.g_00267
OG0000106	Syat.g_00957	Syai.g_01601
OG0000107	Syat.g_02009, Syat.g_01862	Syai.g_00319
OG0000108	Syat.g_03170	Syai.g_00638
OG0000110	Syat.g_00049	Syai.g_00766
OG0000111	Syat.g_00816	Syai.g_01998
OG0000112	Syat.g_00593	Syai.g_01512
OG0000113	Syat.g_00509	Syai.g_01367
OG0000114	Syat.g_00426	Syai.g_01261
OG0000115	Syat.g_01328	Syai.g_00932
OG0000116	Syat.g_02641	Syai.g_02156
OG0000117	Syat.g_00224	Syai.g_01756
OG0000118	Syat.g_01168	Syai.g_00818
OG0000119	Syat.g_00309	Syai.g_02127
OG0000120	Syat.g_02132	Syai.g_00198
OG0000121	Syat.g_01223	Syai.g_00951
OG0000123	Syat.g_01653	Syai.g_00411
OG0000124	Syat.g_02231	Syai.g_00089
OG0000125	Syat.g_02684	Syai.g_02782
OG0000126	Syat.g_00976	Syai.g_02927
