Orthogroup	Syat	Prbk
OG0000001	Syat.g_02908, Syat.g_02909	Prbk.g_00561, Prbk.g_02701
OG0000001	Syat.g_00878	Prbk.g_00630
OG0000005	Syat.g_03105	Prbk.g_00933
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Prbk.g_02695
OG0000007	Syat.g_03124	Prbk.g_00907
OG0000008	Syat.g_02626	Prbk.g_01819
OG0000008	Syat.g_02627	Prbk.g_01820
OG0000009	Syat.g_01567	Prbk.g_01932, Prbk.g_00013
OG0000010	Syat.g_01372	Prbk.g_02112
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prbk.g_00853
OG0000014	Syat.g_02104	Prbk.g_00454
OG0000015	Syat.g_00775, Syat.g_01677	Prbk.g_02558
OG0000018	Syat.g_01334	Prbk.g_01227
OG0000019	Syat.g_01876	Prbk.g_01004
OG0000021	Syat.g_00964	Prbk.g_01960, Prbk.g_01137
OG0000022	Syat.g_00210	Prbk.g_01667
OG0000024	Syat.g_03394	Prbk.g_01780
OG0000025	Syat.g_00719	Prbk.g_02531
OG0000026	Syat.g_02306	Prbk.g_01617
OG0000028	Syat.g_02126	Prbk.g_00469
OG0000030	Syat.g_00307	Prbk.g_01532
OG0000030	Syat.g_00308	Prbk.g_01533
OG0000031	Syat.g_02131	Prbk.g_00534, Prbk.g_00539
OG0000032	Syat.g_01354	Prbk.g_01209
OG0000032	Syat.g_02237	Prbk.g_00480
OG0000033	Syat.g_02858	Prbk.g_00776
OG0000034	Syat.g_01165, Syat.g_02902	Prbk.g_01171
OG0000035	Syat.g_01227, Syat.g_01226	Prbk.g_00259
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Prbk.g_00007
OG0000038	Syat.g_02688	Prbk.g_02164
OG0000038	Syat.g_02686	Prbk.g_02166
OG0000039	Syat.g_01278	Prbk.g_01385, Prbk.g_00642
OG0000041	Syat.g_00785	Prbk.g_01406
OG0000042	Syat.g_00223, Syat.g_02222	Prbk.g_01495, Prbk.g_00140
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732
OG0000045	Syat.g_00935	Prbk.g_01321
OG0000046	Syat.g_01626, Syat.g_01026	Prbk.g_00854
OG0000048	Syat.g_02046	Prbk.g_00405
OG0000052	Syat.g_02140	Prbk.g_00499
OG0000053	Syat.g_01330	Prbk.g_01230
OG0000054	Syat.g_00987, Syat.g_03390	Prbk.g_01153
OG0000057	Syat.g_00817, Syat.g_02055	Prbk.g_01765
OG0000058	Syat.g_02133, Syat.g_02238	Prbk.g_00479
