Orthogroup	Syat	Syac
OG0000001	Syat.g_02908, Syat.g_02909	Syac.g_00341, Syac.g_00340
OG0000001	Syat.g_01540	Syac.g_02169
OG0000005	Syat.g_03065	Syac.g_00527
OG0000005	Syat.g_03105	Syac.g_00569
OG0000005	Syat.g_01038	Syac.g_01087
OG0000006	Syat.g_00371	Syac.g_01002
OG0000006	Syat.g_01439, Syat.g_01865	Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Syat.g_03191	Syac.g_01885
OG0000007	Syat.g_03124	Syac.g_00544
OG0000008	Syat.g_02626	Syac.g_00921
OG0000008	Syat.g_02627	Syac.g_00922
OG0000009	Syat.g_01567	Syac.g_01004, Syac.g_00398
OG0000010	Syat.g_01372	Syac.g_01701
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Syac.g_00758, Syac.g_01577
OG0000013	Syat.g_01027	Syac.g_02062
OG0000014	Syat.g_02104	Syac.g_00253
OG0000016	Syat.g_02329	Syac.g_00014
OG0000016	Syat.g_00909	Syac.g_01505
OG0000018	Syat.g_01334	Syac.g_01660
OG0000019	Syat.g_01876	Syac.g_02207
OG0000022	Syat.g_00210	Syac.g_01031
OG0000024	Syat.g_03394	Syac.g_00925
OG0000025	Syat.g_00719	Syac.g_00847
OG0000026	Syat.g_02306	Syac.g_00034
OG0000027	Syat.g_00850	Syac.g_01095
OG0000028	Syat.g_02126	Syac.g_00237
OG0000030	Syat.g_00307	Syac.g_00143
OG0000030	Syat.g_00308	Syac.g_00142
OG0000031	Syat.g_02131	Syac.g_00232
OG0000032	Syat.g_01354	Syac.g_01677
OG0000033	Syat.g_02858	Syac.g_00304
OG0000034	Syat.g_01165, Syat.g_02902	Syac.g_00334, Syac.g_00715
OG0000035	Syat.g_01227, Syat.g_01226	Syac.g_01630
OG0000037	Syat.g_00849, Syat.g_00187	Syac.g_01077
OG0000038	Syat.g_02688	Syac.g_02357
OG0000038	Syat.g_02686	Syac.g_02358
OG0000039	Syat.g_01278	Syac.g_00856, Syac.g_02378
OG0000040	Syat.g_02551	Syac.g_02437
OG0000042	Syat.g_00223, Syat.g_02222	Syac.g_00146
OG0000045	Syat.g_00935	Syac.g_00576
OG0000046	Syat.g_01626, Syat.g_01026	Syac.g_02063
OG0000048	Syat.g_02046	Syac.g_02240
OG0000052	Syat.g_02140	Syac.g_00207
OG0000053	Syat.g_01330	Syac.g_01657
OG0000054	Syat.g_00987, Syat.g_03390	Syac.g_01050
OG0000055	Syat.g_00693	Syac.g_01034
OG0000058	Syat.g_02133, Syat.g_02238	Syac.g_00226
OG0000059	Syat.g_01832	Syac.g_02142
OG0000060	Syat.g_01384	Syac.g_01909
OG0000061	Syat.g_03260	Syac.g_00769
OG0000062	Syat.g_03107	Syac.g_00567
OG0000063	Syat.g_02303	Syac.g_00037
OG0000066	Syat.g_03283	Syac.g_01827
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Syac.g_01341
OG0000068	Syat.g_00085, Syat.g_01295	Syac.g_01916
OG0000069	Syat.g_00090, Syat.g_00879	Syac.g_01272
OG0000070	Syat.g_01032, Syat.g_01040	Syac.g_00711
OG0000071	Syat.g_01153	Syac.g_01049
OG0000072	Syat.g_02856	Syac.g_00302
OG0000073	Syat.g_03201	Syac.g_01883
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Syac.g_00191
OG0000076	Syat.g_02206	Syac.g_00156
OG0000077	Syat.g_01481	Syac.g_00439
OG0000078	Syat.g_00184	Syac.g_01964
OG0000079	Syat.g_01879	Syac.g_02211
OG0000081	Syat.g_00980	Syac.g_01954, Syac.g_00461
OG0000082	Syat.g_00035	Syac.g_01766
OG0000085	Syat.g_03113	Syac.g_00560
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Syac.g_00423
OG0000087	Syat.g_02912	Syac.g_00343
OG0000088	Syat.g_02862	Syac.g_00308
OG0000089	Syat.g_02953	Syac.g_01988, Syac.g_01543
OG0000090	Syat.g_03270	Syac.g_01836
OG0000091	Syat.g_00939, Syat.g_00862	Syac.g_00987
OG0000094	Syat.g_00698	Syac.g_01251
OG0000095	Syat.g_00808	Syac.g_00884
OG0000098	Syat.g_03281	Syac.g_02157
OG0000099	Syat.g_02130	Syac.g_00234
OG0000100	Syat.g_00517	Syac.g_01309
OG0000102	Syat.g_00974	Syac.g_00151
OG0000104	Syat.g_02385	Syac.g_02490
OG0000105	Syat.g_02052	Syac.g_02245
OG0000106	Syat.g_00957	Syac.g_01098
OG0000107	Syat.g_02009, Syat.g_01862	Syac.g_02191
OG0000108	Syat.g_03170	Syac.g_01904
OG0000110	Syat.g_00049	Syac.g_01778
OG0000111	Syat.g_00816	Syac.g_00893
OG0000112	Syat.g_00593	Syac.g_01173
OG0000113	Syat.g_00509	Syac.g_01314
OG0000114	Syat.g_00426	Syac.g_01394
OG0000115	Syat.g_01328	Syac.g_01655
OG0000116	Syat.g_02641	Syac.g_00753
OG0000117	Syat.g_00224	Syac.g_01477
OG0000118	Syat.g_01168	Syac.g_01728
OG0000120	Syat.g_02132	Syac.g_00233
OG0000121	Syat.g_01223	Syac.g_01635
OG0000123	Syat.g_01653	Syac.g_02086
OG0000124	Syat.g_02231	Syac.g_00135
OG0000125	Syat.g_02684	Syac.g_02360
OG0000126	Syat.g_00976	Syac.g_02488
OG0000128	Syat.g_02331	Syac.g_00012
OG0000129	Syat.g_02693, Syat.g_02694	Syac.g_02349
