Orthogroup	Syat	Prbh
OG0000001	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prbh.g_00001
OG0000005	Syat.g_03105	Prbh.g_00182
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Prbh.g_00538
OG0000007	Syat.g_03191	Prbh.g_00334
OG0000007	Syat.g_03124	Prbh.g_01782
OG0000008	Syat.g_02626	Prbh.g_01406
OG0000008	Syat.g_02627	Prbh.g_01405
OG0000010	Syat.g_01372	Prbh.g_00848, Prbh.g_01143
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prbh.g_00452
OG0000014	Syat.g_02104	Prbh.g_00472
OG0000015	Syat.g_00775, Syat.g_01677	Prbh.g_00840, Prbh.g_01869
OG0000016	Syat.g_00909, Syat.g_00222, Syat.g_00832	Prbh.g_01336
OG0000018	Syat.g_01334	Prbh.g_01305
OG0000019	Syat.g_01876	Prbh.g_00530, Prbh.g_01307
OG0000021	Syat.g_00964	Prbh.g_00203, Prbh.g_00938
OG0000024	Syat.g_03394	Prbh.g_01147, Prbh.g_00909
OG0000025	Syat.g_00719	Prbh.g_00988
OG0000026	Syat.g_02306	Prbh.g_00749
OG0000028	Syat.g_02126	Prbh.g_00404, Prbh.g_00459
OG0000030	Syat.g_00307, Syat.g_00308	Prbh.g_01570
OG0000031	Syat.g_02131	Prbh.g_00064
OG0000032	Syat.g_01354	Prbh.g_00138
OG0000034	Syat.g_01165, Syat.g_02902	Prbh.g_01383
OG0000035	Syat.g_01227, Syat.g_01226	Prbh.g_00096, Prbh.g_00099
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Prbh.g_00674
OG0000038	Syat.g_02688, Syat.g_02686	Prbh.g_01530
OG0000039	Syat.g_01278	Prbh.g_00921
OG0000041	Syat.g_00785, Syat.g_03006	Prbh.g_01734
OG0000042	Syat.g_00223, Syat.g_02222	Prbh.g_01573
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Prbh.g_01794
OG0000045	Syat.g_00935	Prbh.g_01327
OG0000046	Syat.g_01626, Syat.g_01026	Prbh.g_00451
OG0000048	Syat.g_02046	Prbh.g_00508
OG0000052	Syat.g_02140	Prbh.g_00727
OG0000053	Syat.g_01330	Prbh.g_00120, Prbh.g_01834
OG0000054	Syat.g_00987, Syat.g_03390	Prbh.g_00223
OG0000055	Syat.g_00693	Prbh.g_01797
OG0000057	Syat.g_00817, Syat.g_02055	Prbh.g_00936
OG0000059	Syat.g_01832	Prbh.g_01695
OG0000061	Syat.g_03260	Prbh.g_01283
OG0000062	Syat.g_03107	Prbh.g_00184
OG0000063	Syat.g_02303	Prbh.g_01401
OG0000064	Syat.g_01568	Prbh.g_00715
OG0000065	Syat.g_01571	Prbh.g_00676
OG0000066	Syat.g_03283	Prbh.g_01856
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Prbh.g_00953
OG0000068	Syat.g_00085, Syat.g_01295	Prbh.g_00009
OG0000069	Syat.g_00090, Syat.g_00879	Prbh.g_00376
OG0000070	Syat.g_01032, Syat.g_01040	Prbh.g_00382
OG0000071	Syat.g_01153	Prbh.g_01373
OG0000072	Syat.g_02856, Syat.g_01597	Prbh.g_00611
OG0000073	Syat.g_03201	Prbh.g_00330
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prbh.g_01607
OG0000076	Syat.g_02206	Prbh.g_01581
OG0000077	Syat.g_01481	Prbh.g_00704
OG0000078	Syat.g_00184	Prbh.g_00540
OG0000079	Syat.g_01879	Prbh.g_00527
OG0000080	Syat.g_02246, Syat.g_02282, Syat.g_01200, Syat.g_02420	Prbh.g_00069
OG0000081	Syat.g_00980	Prbh.g_00298
OG0000082	Syat.g_00035	Prbh.g_01855
OG0000085	Syat.g_03113	Prbh.g_01408
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prbh.g_00695
OG0000087	Syat.g_02912	Prbh.g_00642
OG0000088	Syat.g_02862	Prbh.g_00616
OG0000089	Syat.g_02953	Prbh.g_00415
OG0000090	Syat.g_03270	Prbh.g_00296
OG0000091	Syat.g_00939, Syat.g_00862	Prbh.g_01211
OG0000094	Syat.g_00698, Syat.g_01034	Prbh.g_01130
OG0000095	Syat.g_00808	Prbh.g_01031
OG0000097	Syat.g_00907, Syat.g_00535	Prbh.g_01236
OG0000098	Syat.g_03281	Prbh.g_01935
OG0000099	Syat.g_02130	Prbh.g_00032
OG0000100	Syat.g_00517	Prbh.g_00179
OG0000101	Syat.g_01661	Prbh.g_01644
OG0000102	Syat.g_00974	Prbh.g_01576
OG0000103	Syat.g_02399	Prbh.g_01489
OG0000104	Syat.g_02385	Prbh.g_01480
OG0000105	Syat.g_02052	Prbh.g_00505
OG0000106	Syat.g_00957	Prbh.g_00821
OG0000107	Syat.g_02009, Syat.g_01862	Prbh.g_01718
OG0000108	Syat.g_03170	Prbh.g_00351
OG0000109	Syat.g_03187	Prbh.g_00337
OG0000110	Syat.g_00049	Prbh.g_00254
OG0000111	Syat.g_00816	Prbh.g_00937
OG0000112	Syat.g_00593	Prbh.g_01078
