Orthogroup	Syat	Prat
OG0000001	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Prat.g_01285, Prat.g_01286
OG0000005	Syat.g_03105	Prat.g_01440
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Prat.g_00248
OG0000007	Syat.g_03191	Prat.g_00458
OG0000007	Syat.g_03124	Prat.g_01592
OG0000008	Syat.g_02626	Prat.g_00376
OG0000008	Syat.g_02627	Prat.g_00377
OG0000010	Syat.g_01372	Prat.g_00682, Prat.g_00662
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prat.g_00334
OG0000014	Syat.g_02104	Prat.g_00314
OG0000014	Syat.g_02250	Prat.g_01267
OG0000015	Syat.g_00775, Syat.g_01677	Prat.g_00701
OG0000016	Syat.g_02329	Prat.g_00014
OG0000016	Syat.g_00909, Syat.g_00222, Syat.g_00832	Prat.g_01219
OG0000018	Syat.g_01334	Prat.g_01177
OG0000019	Syat.g_01876	Prat.g_00255, Prat.g_01180
OG0000021	Syat.g_00964	Prat.g_00854, Prat.g_00461
OG0000022	Syat.g_00210	Prat.g_01448
OG0000024	Syat.g_03394	Prat.g_00622, Prat.g_00749
OG0000025	Syat.g_00719	Prat.g_01003
OG0000026	Syat.g_02306	Prat.g_00033
OG0000027	Syat.g_00850	Prat.g_01474, Prat.g_01548
OG0000028	Syat.g_02126	Prat.g_00380, Prat.g_00327
OG0000030	Syat.g_00307, Syat.g_00308	Prat.g_01799
OG0000032	Syat.g_01354	Prat.g_01394
OG0000033	Syat.g_02858	Prat.g_01265
OG0000034	Syat.g_01165, Syat.g_02902	Prat.g_01259
OG0000035	Syat.g_01227, Syat.g_01226	Prat.g_01353, Prat.g_01352
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Prat.g_00106
OG0000038	Syat.g_02688, Syat.g_02686	Prat.g_01839
OG0000039	Syat.g_01278	Prat.g_00760
OG0000041	Syat.g_00785, Syat.g_03006	Prat.g_01640
OG0000042	Syat.g_00223, Syat.g_02222	Prat.g_01796
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Prat.g_00619
OG0000045	Syat.g_00935	Prat.g_01203
OG0000046	Syat.g_01626, Syat.g_01026	Prat.g_00335
OG0000048	Syat.g_02046	Prat.g_00278
OG0000052	Syat.g_02140	Prat.g_00058
OG0000053	Syat.g_01330	Prat.g_01375
OG0000054	Syat.g_00987, Syat.g_03390	Prat.g_00569
OG0000057	Syat.g_00817, Syat.g_02055	Prat.g_00775
OG0000058	Syat.g_02133, Syat.g_02238	Prat.g_01311
OG0000059	Syat.g_01832	Prat.g_01679
OG0000061	Syat.g_03260	Prat.g_01156
OG0000062	Syat.g_03107	Prat.g_01442
OG0000063	Syat.g_02303	Prat.g_01516
OG0000064	Syat.g_01568	Prat.g_00064
OG0000065	Syat.g_01571	Prat.g_00104
OG0000066	Syat.g_03283	Prat.g_01499
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Prat.g_01037
OG0000068	Syat.g_00085, Syat.g_01295	Prat.g_01291
OG0000069	Syat.g_00090, Syat.g_00879	Prat.g_01400
OG0000070	Syat.g_01032, Syat.g_01040	Prat.g_00412
OG0000071	Syat.g_01153	Prat.g_01249
OG0000072	Syat.g_02856, Syat.g_01597	Prat.g_00172
OG0000073	Syat.g_03201	Prat.g_00462
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prat.g_01761
OG0000076	Syat.g_02206	Prat.g_01788
OG0000077	Syat.g_01481	Prat.g_00075
OG0000078	Syat.g_00184	Prat.g_00245
OG0000079	Syat.g_01879	Prat.g_00258
OG0000080	Syat.g_02246, Syat.g_02282, Syat.g_01200	Prat.g_01323
OG0000081	Syat.g_00980	Prat.g_00493
OG0000082	Syat.g_00035	Prat.g_01507
OG0000085	Syat.g_03113	Prat.g_01584
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prat.g_00086
OG0000087	Syat.g_02912	Prat.g_00138
OG0000088	Syat.g_02862	Prat.g_00166
OG0000089	Syat.g_02953	Prat.g_00370
OG0000090	Syat.g_03270	Prat.g_00495
OG0000091	Syat.g_00939, Syat.g_00862	Prat.g_01082
OG0000092	Syat.g_00825	Prat.g_01275
OG0000094	Syat.g_00698, Syat.g_01034	Prat.g_00943
OG0000095	Syat.g_00808	Prat.g_00965
OG0000097	Syat.g_00907, Syat.g_00535	Prat.g_01111
OG0000098	Syat.g_03281	Prat.g_01282
OG0000099	Syat.g_02130	Prat.g_01312
OG0000100	Syat.g_00517	Prat.g_01437
OG0000101	Syat.g_01661	Prat.g_01726
OG0000102	Syat.g_00974	Prat.g_01793
OG0000103	Syat.g_02399	Prat.g_01880
OG0000104	Syat.g_02385	Prat.g_01889
OG0000105	Syat.g_02052	Prat.g_00281
OG0000106	Syat.g_00957	Prat.g_00637
OG0000107	Syat.g_02009, Syat.g_01862	Prat.g_01656
OG0000108	Syat.g_03170	Prat.g_00440
OG0000109	Syat.g_03187	Prat.g_00455
OG0000110	Syat.g_00049	Prat.g_00539
OG0000111	Syat.g_00816	Prat.g_00776
OG0000112	Syat.g_00593	Prat.g_00888
OG0000113	Syat.g_00509	Prat.g_01014
OG0000114	Syat.g_00426	Prat.g_00716
OG0000115	Syat.g_01328	Prat.g_01373
OG0000116	Syat.g_02641	Prat.g_01166
OG0000117	Syat.g_00224	Prat.g_01129
OG0000118	Syat.g_01168	Prat.g_01261
OG0000119	Syat.g_00309	Prat.g_00647, Prat.g_01452
OG0000120	Syat.g_02132	Prat.g_00344
OG0000121	Syat.g_01223	Prat.g_01355
OG0000123	Syat.g_01653	Prat.g_01733
OG0000124	Syat.g_02231	Prat.g_01805
OG0000125	Syat.g_02684	Prat.g_01841
OG0000126	Syat.g_00976	Prat.g_01888
OG0000128	Syat.g_02331	Prat.g_00012, Prat.g_00011
OG0000129	Syat.g_02693, Syat.g_02694	Prat.g_00047
OG0000130	Syat.g_01469	Prat.g_00066
OG0000131	Syat.g_02898	Prat.g_00144
OG0000132	Syat.g_02864	Prat.g_00164
OG0000133	Syat.g_00588	Prat.g_00329
OG0000134	Syat.g_02956	Prat.g_00372
OG0000135	Syat.g_02501	Prat.g_01477
OG0000136	Syat.g_01292	Prat.g_00401
OG0000137	Syat.g_01371	Prat.g_00434
OG0000138	Syat.g_03188	Prat.g_00456
