Orthogroup	Syat	Praa
OG0000001	Syat.g_02910, Syat.g_02911, Syat.g_02908, Syat.g_02909, Syat.g_01540, Syat.g_00878	Praa.g_01351
OG0000005	Syat.g_03065	Praa.g_01648
OG0000005	Syat.g_03105	Praa.g_01553
OG0000006	Syat.g_00371, Syat.g_01439, Syat.g_01865	Praa.g_00241, Praa.g_01245
OG0000007	Syat.g_03191	Praa.g_00497
OG0000007	Syat.g_03124	Praa.g_01635
OG0000008	Syat.g_02626	Praa.g_01241
OG0000009	Syat.g_01567	Praa.g_00105
OG0000010	Syat.g_01372	Praa.g_01047
OG0000012	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143	Praa.g_00623
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Praa.g_00327
OG0000014	Syat.g_02104	Praa.g_00306
OG0000014	Syat.g_03196, Syat.g_02250	Praa.g_01409
OG0000015	Syat.g_00775, Syat.g_01677	Praa.g_00765
OG0000016	Syat.g_02329	Praa.g_00013
OG0000017	Syat.g_00015	Praa.g_00598
OG0000018	Syat.g_01334	Praa.g_01141
OG0000019	Syat.g_01876	Praa.g_00249, Praa.g_00782
OG0000021	Syat.g_00964	Praa.g_01623, Praa.g_00364
OG0000022	Syat.g_00210	Praa.g_01124
OG0000024	Syat.g_03394	Praa.g_00747, Praa.g_00675
OG0000025	Syat.g_00719	Praa.g_00331, Praa.g_00839
OG0000026	Syat.g_02306	Praa.g_00031, Praa.g_01054
OG0000027	Syat.g_00850	Praa.g_00470, Praa.g_01301
OG0000028	Syat.g_02126	Praa.g_01248, Praa.g_00320
OG0000030	Syat.g_00307, Syat.g_00308	Praa.g_01842
OG0000033	Syat.g_02858	Praa.g_01437
OG0000034	Syat.g_01165, Syat.g_02902	Praa.g_01328
OG0000035	Syat.g_01227, Syat.g_01226	Praa.g_01476
OG0000037	Syat.g_01575, Syat.g_00849, Syat.g_00187	Praa.g_00109
OG0000038	Syat.g_02688, Syat.g_02686	Praa.g_01883
OG0000039	Syat.g_01278	Praa.g_00686
OG0000040	Syat.g_02551	Praa.g_01140
OG0000041	Syat.g_00785, Syat.g_03006	Praa.g_01683
OG0000042	Syat.g_00223, Syat.g_02222	Praa.g_01839
OG0000048	Syat.g_02046	Praa.g_00373
OG0000053	Syat.g_01330	Praa.g_01496
OG0000054	Syat.g_00987, Syat.g_03390	Praa.g_00606
OG0000055	Syat.g_00693	Praa.g_00783
OG0000057	Syat.g_00817, Syat.g_02055	Praa.g_00698
OG0000058	Syat.g_02133, Syat.g_02238, Syat.g_01189	Praa.g_01425
OG0000059	Syat.g_01832	Praa.g_01723
OG0000061	Syat.g_03260	Praa.g_01159
OG0000062	Syat.g_03107	Praa.g_01555
OG0000063	Syat.g_02303	Praa.g_00033
OG0000065	Syat.g_01571	Praa.g_00107
OG0000066	Syat.g_03283	Praa.g_00539
OG0000067	Syat.g_00479, Syat.g_01324, Syat.g_02018, Syat.g_02874	Praa.g_00803
OG0000068	Syat.g_00085, Syat.g_01295	Praa.g_01366
OG0000069	Syat.g_00090, Syat.g_00879	Praa.g_01590
OG0000070	Syat.g_01032, Syat.g_01040	Praa.g_00449
OG0000071	Syat.g_01153	Praa.g_01318
OG0000072	Syat.g_02856, Syat.g_01597	Praa.g_00171
OG0000073	Syat.g_03201	Praa.g_00499
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Praa.g_01808
OG0000076	Syat.g_02206	Praa.g_01832
OG0000077	Syat.g_01481	Praa.g_00078
OG0000078	Syat.g_00184	Praa.g_00239
OG0000079	Syat.g_01879	Praa.g_00252
OG0000080	Syat.g_02246, Syat.g_02282, Syat.g_01200	Praa.g_01392, Praa.g_01390
OG0000081	Syat.g_00980	Praa.g_00531
OG0000082	Syat.g_00035	Praa.g_00585
OG0000085	Syat.g_03113	Praa.g_01628
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Praa.g_00088
OG0000087	Syat.g_02912	Praa.g_00139
OG0000088	Syat.g_02862	Praa.g_00166
OG0000089	Syat.g_02953	Praa.g_00355
OG0000090	Syat.g_03270	Praa.g_00533
OG0000091	Syat.g_00939, Syat.g_00862	Praa.g_00642
OG0000094	Syat.g_00698, Syat.g_01034	Praa.g_01020
OG0000095	Syat.g_00808	Praa.g_01039
OG0000097	Syat.g_00907, Syat.g_00535	Praa.g_01200
OG0000098	Syat.g_03281	Praa.g_01348
OG0000099	Syat.g_02130	Praa.g_01394
OG0000100	Syat.g_00517	Praa.g_01551
OG0000101	Syat.g_01661	Praa.g_01775
OG0000102	Syat.g_00974	Praa.g_01837
OG0000103	Syat.g_02399	Praa.g_01916
OG0000104	Syat.g_02385	Praa.g_01924
OG0000105	Syat.g_02052	Praa.g_00274
OG0000106	Syat.g_00957	Praa.g_00369
OG0000107	Syat.g_02009, Syat.g_01862	Praa.g_00383
OG0000108	Syat.g_03170	Praa.g_00480
OG0000109	Syat.g_03187	Praa.g_00494
OG0000110	Syat.g_00049	Praa.g_00575
OG0000111	Syat.g_00816	Praa.g_00699
OG0000112	Syat.g_00593	Praa.g_00766
OG0000113	Syat.g_00509	Praa.g_00826
OG0000114	Syat.g_00426	Praa.g_00907
OG0000115	Syat.g_01328	Praa.g_01101
OG0000116	Syat.g_02641	Praa.g_01150
OG0000117	Syat.g_00224	Praa.g_01255
OG0000118	Syat.g_01168	Praa.g_01330
OG0000119	Syat.g_00309	Praa.g_01362
OG0000120	Syat.g_02132	Praa.g_01387
OG0000121	Syat.g_01223	Praa.g_01478
OG0000123	Syat.g_01653	Praa.g_01782
OG0000124	Syat.g_02231	Praa.g_01848
OG0000125	Syat.g_02684	Praa.g_01885
OG0000126	Syat.g_00976	Praa.g_01923
OG0000128	Syat.g_02331	Praa.g_00011
OG0000129	Syat.g_02693, Syat.g_02694	Praa.g_00044
OG0000130	Syat.g_01469	Praa.g_00069
OG0000131	Syat.g_02898	Praa.g_00145
OG0000132	Syat.g_02864	Praa.g_00164
OG0000133	Syat.g_00588	Praa.g_00322
OG0000134	Syat.g_02956	Praa.g_00356
OG0000135	Syat.g_02501	Praa.g_00381
OG0000136	Syat.g_01292	Praa.g_00440
OG0000137	Syat.g_01371	Praa.g_00475
OG0000138	Syat.g_03188	Praa.g_00495
OG0000139	Syat.g_03276	Praa.g_00537
OG0000140	Syat.g_03280	Praa.g_00538
OG0000141	Syat.g_03398	Praa.g_00607
OG0000142	Syat.g_00117	Praa.g_00635
OG0000143	Syat.g_00130	Praa.g_00639
OG0000144	Syat.g_00369	Praa.g_00652
OG0000145	Syat.g_03202	Praa.g_00764
OG0000146	Syat.g_00594	Praa.g_00767
OG0000147	Syat.g_00595	Praa.g_00768
OG0000148	Syat.g_00503	Praa.g_00820
OG0000149	Syat.g_00747	Praa.g_00851
OG0000150	Syat.g_03399	Praa.g_00859
OG0000151	Syat.g_00801, Syat.g_00440	Praa.g_00917
OG0000152	Syat.g_00578	Praa.g_00964
OG0000153	Syat.g_00542	Praa.g_00983
OG0000154	Syat.g_00708	Praa.g_01013
OG0000155	Syat.g_00287	Praa.g_01179
OG0000156	Syat.g_03228	Praa.g_01307
OG0000157	Syat.g_02012, Syat.g_03227	Praa.g_01308
OG0000158	Syat.g_02163	Praa.g_01395
OG0000160	Syat.g_01224	Praa.g_01477
OG0000161	Syat.g_01180	Praa.g_01483
OG0000162	Syat.g_01281	Praa.g_01489
OG0000163	Syat.g_02979	Praa.g_01523
OG0000164	Syat.g_03040	Praa.g_01659
OG0000165	Syat.g_03033	Praa.g_01667
OG0000166	Syat.g_01822	Praa.g_01739
OG0000167	Syat.g_02148	Praa.g_01806
OG0000168	Syat.g_02164	Praa.g_01816
OG0000169	Syat.g_02192	Praa.g_01826
OG0000170	Syat.g_02201	Praa.g_01828
OG0000171	Syat.g_02230	Praa.g_01847
OG0000172	Syat.g_02260	Praa.g_01856
OG0000173	Syat.g_02284	Praa.g_01871
OG0000174	Syat.g_02504	Praa.g_01898
OG0000175	Syat.g_02416	Praa.g_01908
OG0000176	Syat.g_02372	Praa.g_00004
OG0000177	Syat.g_02338	Praa.g_00005
OG0000178	Syat.g_02337	Praa.g_00006
OG0000179	Syat.g_02322	Praa.g_00016
OG0000180	Syat.g_02321	Praa.g_00017
OG0000181	Syat.g_02320	Praa.g_00018
OG0000182	Syat.g_02319	Praa.g_00019
OG0000183	Syat.g_02315	Praa.g_00023
OG0000184	Syat.g_02704	Praa.g_00046
OG0000185	Syat.g_02719	Praa.g_00049
OG0000186	Syat.g_01463	Praa.g_00064
OG0000187	Syat.g_01467	Praa.g_00065
OG0000188	Syat.g_01489	Praa.g_00082
OG0000189	Syat.g_00386, Syat.g_01557	Praa.g_00096
OG0000190	Syat.g_00330	Praa.g_00097
OG0000191	Syat.g_03344, Syat.g_02939	Praa.g_00117
OG0000192	Syat.g_02933	Praa.g_00121
OG0000193	Syat.g_02897	Praa.g_00146
OG0000194	Syat.g_02894	Praa.g_00149
OG0000195	Syat.g_02892	Praa.g_00151
OG0000196	Syat.g_02867	Praa.g_00161
OG0000197	Syat.g_02866	Praa.g_00162
OG0000198	Syat.g_02865	Praa.g_00163
OG0000199	Syat.g_02857	Praa.g_00170
OG0000200	Syat.g_02840	Praa.g_00184
OG0000201	Syat.g_02821	Praa.g_00192
OG0000202	Syat.g_02820	Praa.g_00193
OG0000203	Syat.g_02819	Praa.g_00194
OG0000204	Syat.g_02818	Praa.g_00195
OG0000205	Syat.g_02809	Praa.g_00202
OG0000206	Syat.g_02785	Praa.g_00207
OG0000207	Syat.g_02778	Praa.g_00209
OG0000208	Syat.g_02777	Praa.g_00210
OG0000209	Syat.g_02735	Praa.g_00219
OG0000210	Syat.g_02734	Praa.g_00220
OG0000211	Syat.g_01452	Praa.g_00233
OG0000212	Syat.g_01442	Praa.g_00240
OG0000213	Syat.g_01889	Praa.g_00257
OG0000214	Syat.g_02042	Praa.g_00267
OG0000215	Syat.g_02075	Praa.g_00292
OG0000216	Syat.g_02079	Praa.g_00294
OG0000217	Syat.g_02085	Praa.g_00297
OG0000218	Syat.g_02087	Praa.g_00299
OG0000219	Syat.g_02088	Praa.g_00300
OG0000220	Syat.g_02089	Praa.g_00301
OG0000221	Syat.g_02095	Praa.g_00302
OG0000222	Syat.g_02109	Praa.g_00310
OG0000223	Syat.g_02570	Praa.g_00323
OG0000224	Syat.g_02139	Praa.g_00325
OG0000225	Syat.g_01595	Praa.g_00345
OG0000226	Syat.g_01588	Praa.g_00349
OG0000228	Syat.g_02952	Praa.g_00354
OG0000229	Syat.g_02970	Praa.g_00436
OG0000230	Syat.g_02972	Praa.g_00437
OG0000231	Syat.g_01283	Praa.g_00448
OG0000232	Syat.g_01313	Praa.g_00457
OG0000233	Syat.g_01407	Praa.g_00463
OG0000234	Syat.g_01369	Praa.g_00476
OG0000235	Syat.g_03169	Praa.g_00479
OG0000236	Syat.g_03186	Praa.g_00493
OG0000237	Syat.g_03214	Praa.g_00506
OG0000238	Syat.g_03219	Praa.g_00512
OG0000239	Syat.g_01105	Praa.g_00525
OG0000240	Syat.g_01104	Praa.g_00526
OG0000241	Syat.g_00111	Praa.g_00530
OG0000242	Syat.g_01077	Praa.g_00532
OG0000243	Syat.g_00092	Praa.g_00544
OG0000244	Syat.g_00082	Praa.g_00547
OG0000245	Syat.g_00080	Praa.g_00549
OG0000246	Syat.g_00076	Praa.g_00553
OG0000247	Syat.g_00065	Praa.g_00563
OG0000248	Syat.g_00062	Praa.g_00565
OG0000249	Syat.g_00060	Praa.g_00567
OG0000250	Syat.g_00053	Praa.g_00572
OG0000251	Syat.g_00027	Praa.g_00591
OG0000252	Syat.g_00022	Praa.g_00594
OG0000253	Syat.g_00021	Praa.g_00595
OG0000254	Syat.g_03407	Praa.g_00611
OG0000255	Syat.g_02405	Praa.g_00617
OG0000256	Syat.g_03306	Praa.g_00627
OG0000257	Syat.g_00109	Praa.g_00630
OG0000258	Syat.g_00382	Praa.g_00643
OG0000259	Syat.g_00342	Praa.g_00660
OG0000260	Syat.g_00392	Praa.g_00663
OG0000261	Syat.g_00400	Praa.g_00665
OG0000262	Syat.g_00407	Praa.g_00669
OG0000263	Syat.g_00200	Praa.g_00681
OG0000266	Syat.g_00671	Praa.g_00721
OG0000267	Syat.g_00636	Praa.g_00732
OG0000268	Syat.g_00634	Praa.g_00733
OG0000269	Syat.g_00474, Syat.g_00126	Praa.g_00798
OG0000270	Syat.g_00477	Praa.g_00801
OG0000271	Syat.g_00485	Praa.g_00809
OG0000272	Syat.g_00486	Praa.g_00810, Praa.g_00811
OG0000273	Syat.g_00520	Praa.g_00834
OG0000274	Syat.g_00521	Praa.g_00835
OG0000275	Syat.g_00718	Praa.g_00838
OG0000276	Syat.g_00725	Praa.g_00843
OG0000277	Syat.g_00738	Praa.g_00844
