Orthogroup	Prar	Syap
OG0000001	Prar.g_00926	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399
OG0000004	Prar.g_00095	Syap.g_01987
OG0000005	Prar.g_01130	Syap.g_01773
OG0000005	Prar.g_00771	Syap.g_01218
OG0000006	Prar.g_00086	Syap.g_02770
OG0000007	Prar.g_01328	Syap.g_00275
OG0000007	Prar.g_01143	Syap.g_00621
OG0000009	Prar.g_00223	Syap.g_02081
OG0000010	Prar.g_01567, Prar.g_01912	Syap.g_02757
OG0000013	Prar.g_00260	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prar.g_00281	Syap.g_01675
OG0000015	Prar.g_01179	Syap.g_02606, Syap.g_00786
OG0000016	Prar.g_00025	Syap.g_00071
OG0000017	Prar.g_01428	Syap.g_00449
OG0000018	Prar.g_01711	Syap.g_02708
OG0000018	Prar.g_01282	Syap.g_02010
OG0000019	Prar.g_00078, Prar.g_01663	Syap.g_01586
OG0000025	Prar.g_00256, Prar.g_01718	Syap.g_01846
OG0000027	Prar.g_00520	Syap.g_01440
OG0000028	Prar.g_00985, Prar.g_00267	Syap.g_01658
OG0000030	Prar.g_00662	Syap.g_00787, Syap.g_00788
OG0000031	Prar.g_00879	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722
OG0000032	Prar.g_00886	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000034	Prar.g_00945	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prar.g_00339	Syap.g_02125, Syap.g_02465
OG0000037	Prar.g_00219	Syap.g_02492
OG0000038	Prar.g_00702	Syap.g_00139
OG0000039	Prar.g_01516	Syap.g_01749, Syap.g_01748
OG0000040	Prar.g_01283	Syap.g_01819
OG0000041	Prar.g_00602	Syap.g_01510
OG0000042	Prar.g_00660	Syap.g_01891, Syap.g_01120
OG0000044	Prar.g_01172	Syap.g_00378
OG0000045	Prar.g_01583	Syap.g_02525
OG0000048	Prar.g_00435	Syap.g_02340
OG0000053	Prar.g_00589, Prar.g_00827	Syap.g_02006
OG0000054	Prar.g_01436	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Prar.g_01528	Syap.g_01569
OG0000059	Prar.g_01090	Syap.g_01918
OG0000061	Prar.g_01263	Syap.g_00228
OG0000062	Prar.g_00769	Syap.g_01220
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syap.g_01796
OG0000066	Prar.g_01369	Syap.g_01972
OG0000067	Prar.g_01684	Syap.g_00194
OG0000068	Prar.g_00911	Syap.g_00108, Syap.g_00144
OG0000069	Prar.g_01170, Prar.g_00736	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Prar.g_00498	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Prar.g_00955	Syap.g_01483
OG0000072	Prar.g_00156	Syap.g_00555
OG0000073	Prar.g_01330	Syap.g_01020, Syap.g_00273
OG0000075	Prar.g_00629	Syap.g_01064, Syap.g_00664
OG0000076	Prar.g_00592, Prar.g_00653	Syap.g_01111
OG0000077	Prar.g_00250	Syap.g_00416
OG0000078	Prar.g_00088	Syap.g_01149
OG0000085	Prar.g_01150	Syap.g_00611
OG0000087	Prar.g_00189	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prar.g_00161	Syap.g_01202
OG0000089	Prar.g_00416	Syap.g_00115, Syap.g_02042
OG0000090	Prar.g_01363	Syap.g_01451
OG0000091	Prar.g_01472	Syap.g_01861
OG0000094	Prar.g_01885	Syap.g_02781
OG0000095	Prar.g_01904	Syap.g_01556
OG0000098	Prar.g_00929	Syap.g_01975
OG0000099	Prar.g_00872	Syap.g_01385
OG0000101	Prar.g_01027	Syap.g_00472
OG0000102	Prar.g_00658	Syap.g_01116
OG0000103	Prar.g_00050	Syap.g_02607, Syap.g_02608
OG0000104	Prar.g_00042	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prar.g_00313	Syap.g_01369, Syap.g_01368
OG0000107	Prar.g_00446	Syap.g_02496
OG0000108	Prar.g_00530	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Prar.g_00544	Syap.g_00279, Syap.g_02237
OG0000110	Prar.g_01404	Syap.g_01313
OG0000111	Prar.g_01529	Syap.g_01566, Syap.g_01568
OG0000112	Prar.g_01652	Syap.g_02023
OG0000113	Prar.g_01706	Syap.g_02714
OG0000114	Prar.g_01776	Syap.g_01255
OG0000115	Prar.g_01318	Syap.g_02004
OG0000116	Prar.g_01273	Syap.g_00241
OG0000117	Prar.g_01003	Syap.g_01889
OG0000118	Prar.g_00943	Syap.g_02286
OG0000120	Prar.g_00880	Syap.g_02075
OG0000121	Prar.g_00337	Syap.g_02471
OG0000123	Prar.g_01021	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prar.g_00668	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prar.g_00704	Syap.g_01046, Syap.g_01047
OG0000126	Prar.g_00043	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000128	Prar.g_00027	Syap.g_00069
OG0000129	Prar.g_00576	Syap.g_00130, Syap.g_00129
OG0000130	Prar.g_00549	Syap.g_01688, Syap.g_01689
OG0000131	Prar.g_00182	Syap.g_02189
