Orthogroup	Prar	Syag
OG0000001	Prar.g_00926	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520
OG0000004	Prar.g_01525	Syag.g_00988
OG0000004	Prar.g_00095	Syag.g_00370, Syag.g_01790
OG0000005	Prar.g_01130	Syag.g_01708
OG0000005	Prar.g_00771	Syag.g_01667
OG0000006	Prar.g_00086	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prar.g_01328	Syag.g_01507
OG0000007	Prar.g_01143	Syag.g_01687
OG0000008	Prar.g_01185	Syag.g_00496
OG0000009	Prar.g_00737	Syag.g_00220, Syag.g_00231
OG0000009	Prar.g_00223	Syag.g_01883
OG0000010	Prar.g_01567, Prar.g_01912	Syag.g_01355
OG0000011	Prar.g_00988	Syag.g_01299
OG0000012	Prar.g_01453	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Prar.g_00260	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Prar.g_00281	Syag.g_02559
OG0000015	Prar.g_01179	Syag.g_02252, Syag.g_00596
OG0000016	Prar.g_00025	Syag.g_02286
OG0000017	Prar.g_01428	Syag.g_00336, Syag.g_00344
OG0000018	Prar.g_01282	Syag.g_01387
OG0000019	Prar.g_00078, Prar.g_01663	Syag.g_02663
OG0000020	Prar.g_01315, Prar.g_01187, Prar.g_01007, Prar.g_01155, Prar.g_01561	Syag.g_00085
OG0000021	Prar.g_00425	Syag.g_00229
OG0000022	Prar.g_01300	Syag.g_00458
OG0000023	Prar.g_00420	Syag.g_00261, Syag.g_00234
OG0000024	Prar.g_01634, Prar.g_01505	Syag.g_00455
OG0000025	Prar.g_00256, Prar.g_01718	Syag.g_00718
OG0000026	Prar.g_00007, Prar.g_01919	Syag.g_02309
OG0000027	Prar.g_00520	Syag.g_00950, Syag.g_00165
OG0000028	Prar.g_00985, Prar.g_00267	Syag.g_02540
OG0000029	Prar.g_00436	Syag.g_00195
OG0000030	Prar.g_00662	Syag.g_02375, Syag.g_02374
OG0000031	Prar.g_00879	Syag.g_02510, Syag.g_02486
OG0000032	Prar.g_00886	Syag.g_02480
OG0000034	Prar.g_00945	Syag.g_01225, Syag.g_01947
OG0000035	Prar.g_00339	Syag.g_01420, Syag.g_01421
OG0000037	Prar.g_00219	Syag.g_00173
OG0000038	Prar.g_00702	Syag.g_02130, Syag.g_02132
OG0000039	Prar.g_01516	Syag.g_01325, Syag.g_02155
OG0000040	Prar.g_01283	Syag.g_02215
OG0000041	Prar.g_00602	Syag.g_01750, Syag.g_00962
OG0000042	Prar.g_00660	Syag.g_01094, Syag.g_02378
OG0000044	Prar.g_01172	Syag.g_00945
OG0000045	Prar.g_00432	Syag.g_00223
OG0000045	Prar.g_01583	Syag.g_00225
OG0000047	Prar.g_00257, Prar.g_00468	Syag.g_00768
OG0000048	Prar.g_00435	Syag.g_02611
OG0000053	Prar.g_00589, Prar.g_00827	Syag.g_01391
OG0000054	Prar.g_01436	Syag.g_00350
OG0000055	Prar.g_01664	Syag.g_01799, Syag.g_00946
OG0000057	Prar.g_01528	Syag.g_00985
OG0000059	Prar.g_01090	Syag.g_02721
OG0000061	Prar.g_01263	Syag.g_01141
OG0000062	Prar.g_00769	Syag.g_01669
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syag.g_02313
OG0000065	Prar.g_00221	Syag.g_01885, Syag.g_00182
OG0000066	Prar.g_01369	Syag.g_01443
OG0000067	Prar.g_01684	Syag.g_00667
OG0000068	Prar.g_00911	Syag.g_01537
