Orthogroup	Prar	Prai
OG0000000	Prar.g_00971	Prai.g_00905, Prai.g_01772
OG0000000	Prar.g_00713	Prai.g_01612
OG0000000	Prar.g_00729	Prai.g_01592
OG0000000	Prar.g_01204	Prai.g_00908
OG0000000	Prar.g_01204	Prai.g_01234
OG0000000	Prar.g_01204	Prai.g_01591
OG0000000	Prar.g_01204	Prai.g_01775
OG0000000	Prar.g_00727	Prai.g_01314
OG0000001	Prar.g_00926	Prai.g_01235, Prai.g_01356
OG0000001	Prar.g_01202	Prai.g_01236
OG0000002	Prar.g_00918	Prai.g_01363
OG0000002	Prar.g_01508	Prai.g_00707
OG0000004	Prar.g_01525	Prai.g_00724
OG0000004	Prar.g_00095	Prai.g_00243
OG0000005	Prar.g_01130	Prai.g_01651
OG0000005	Prar.g_00771	Prai.g_01538
OG0000006	Prar.g_00086	Prai.g_00252, Prai.g_00254
OG0000007	Prar.g_01328	Prai.g_00527
OG0000007	Prar.g_01143	Prai.g_01638
OG0000008	Prar.g_01185, Prar.g_01502	Prai.g_00701
OG0000009	Prar.g_00737	Prai.g_01578
OG0000009	Prar.g_00223	Prai.g_00105
OG0000010	Prar.g_00524	Prai.g_00504
OG0000010	Prar.g_01567	Prai.g_01292
OG0000010	Prar.g_01912	Prai.g_01067
OG0000012	Prar.g_01453	Prai.g_00652
OG0000013	Prar.g_00260	Prai.g_00340
OG0000014	Prar.g_00281	Prai.g_00319
OG0000015	Prar.g_01179	Prai.g_01243
OG0000016	Prar.g_00025	Prai.g_00013
OG0000017	Prar.g_01428	Prai.g_00626
OG0000018	Prar.g_01711	Prai.g_00820
OG0000018	Prar.g_01282	Prai.g_01153
OG0000019	Prar.g_00078	Prai.g_00262
OG0000019	Prar.g_01663	Prai.g_00867
OG0000020	Prar.g_01315	Prai.g_01125
OG0000020	Prar.g_01187	Prai.g_01248
OG0000020	Prar.g_01007, Prar.g_01155, Prar.g_01561	Prai.g_00400
