Orthogroup	Prar	Syai
OG0000001	Prar.g_00926	Syai.g_01716, Syai.g_01197, Syai.g_02594, Syai.g_00891, Syai.g_02595, Syai.g_01729
OG0000002	Prar.g_00918, Prar.g_01508	Syai.g_01728
OG0000004	Prar.g_01525	Syai.g_01994
OG0000004	Prar.g_00095	Syai.g_01062, Syai.g_00530
OG0000005	Prar.g_01130	Syai.g_02393
OG0000005	Prar.g_00771	Syai.g_02356
OG0000006	Prar.g_00086	Syai.g_01126, Syai.g_00317, Syai.g_00547
OG0000007	Prar.g_01328	Syai.g_00657
OG0000007	Prar.g_01143	Syai.g_02378
OG0000008	Prar.g_01185	Syai.g_01956
OG0000009	Prar.g_00737	Syai.g_01626
OG0000009	Prar.g_00223	Syai.g_02541
OG0000010	Prar.g_01567, Prar.g_01912	Syai.g_00864
OG0000011	Prar.g_00978	Syai.g_01894, Syai.g_00582
OG0000011	Prar.g_00988	Syai.g_01952
OG0000012	Prar.g_01453	Syai.g_01068, Syai.g_01987, Syai.g_01529, Syai.g_01650
OG0000013	Prar.g_00260	Syai.g_00442, Syai.g_00450, Syai.g_00436
OG0000014	Prar.g_00281	Syai.g_00220
OG0000015	Prar.g_01179	Syai.g_01246, Syai.g_01245
OG0000016	Prar.g_00025	Syai.g_00014
OG0000017	Prar.g_01428	Syai.g_00801, Syai.g_00808
OG0000018	Prar.g_01282	Syai.g_00915
OG0000019	Prar.g_00078, Prar.g_01663	Syai.g_00304
OG0000020	Prar.g_01315, Prar.g_01187, Prar.g_01007, Prar.g_01155, Prar.g_01561	Syai.g_00476
OG0000021	Prar.g_00425	Syai.g_00556
OG0000022	Prar.g_01300	Syai.g_01159
OG0000023	Prar.g_00420	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prar.g_01634, Prar.g_01505	Syai.g_01951
OG0000025	Prar.g_00256, Prar.g_01718	Syai.g_02044
OG0000026	Prar.g_00007, Prar.g_01919	Syai.g_00038
OG0000027	Prar.g_00520	Syai.g_01128, Syai.g_01654
OG0000028	Prar.g_00985, Prar.g_00267	Syai.g_00205
OG0000029	Prar.g_00436	Syai.g_01035, Syai.g_01584
OG0000030	Prar.g_00662	Syai.g_00096, Syai.g_00095
OG0000031	Prar.g_00879	Syai.g_00197
OG0000034	Prar.g_00945	Syai.g_02192, Syai.g_02604
OG0000035	Prar.g_00339	Syai.g_00955
OG0000037	Prar.g_00219	Syai.g_02544, Syai.g_02815
OG0000038	Prar.g_00702	Syai.g_02780
OG0000039	Prar.g_01516	Syai.g_02034
OG0000040	Prar.g_01283	Syai.g_02876
