Orthogroup	Prar	Syal
OG0000000	Prar.g_00971	Syal.g_01111, Syal.g_01832
OG0000001	Prar.g_00926	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Prar.g_01525	Syal.g_01809
OG0000004	Prar.g_00095	Syal.g_02718, Syal.g_00691
OG0000005	Prar.g_01130	Syal.g_00606
OG0000005	Prar.g_00771	Syal.g_00565
OG0000006	Prar.g_00086	Syal.g_02611, Syal.g_00674
OG0000007	Prar.g_01328	Syal.g_02918
OG0000007	Prar.g_01143	Syal.g_00587
OG0000008	Prar.g_01185	Syal.g_02512
OG0000009	Prar.g_00737	Syal.g_02089
OG0000009	Prar.g_00223	Syal.g_00818
OG0000010	Prar.g_01567, Prar.g_01912	Syal.g_00464
OG0000011	Prar.g_00988	Syal.g_00702
OG0000012	Prar.g_01453	Syal.g_02535, Syal.g_01639
OG0000013	Prar.g_00260	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Prar.g_00281	Syal.g_01305
OG0000015	Prar.g_01179	Syal.g_02210, Syal.g_01183
OG0000016	Prar.g_00025	Syal.g_00111
OG0000017	Prar.g_01428	Syal.g_02752, Syal.g_02745
OG0000018	Prar.g_01282	Syal.g_00410
OG0000019	Prar.g_00078, Prar.g_01663	Syal.g_01209
OG0000022	Prar.g_01300	Syal.g_02587
OG0000023	Prar.g_00420	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prar.g_01634, Prar.g_01505	Syal.g_02597
OG0000025	Prar.g_00256, Prar.g_01718	Syal.g_02459
OG0000026	Prar.g_01919	Syal.g_00132
OG0000027	Prar.g_00520	Syal.g_02543
OG0000028	Prar.g_00985, Prar.g_00267	Syal.g_01319
OG0000029	Prar.g_00436	Syal.g_03014
OG0000030	Prar.g_00662	Syal.g_01511, Syal.g_01512
OG0000031	Prar.g_00879	Syal.g_01404, Syal.g_01432
OG0000032	Prar.g_00886	Syal.g_00183
