Orthogroup	Prar	Praf
OG0000000	Prar.g_00971	Praf.g_00815, Praf.g_00814
OG0000000	Prar.g_00729	Praf.g_00813
OG0000001	Prar.g_00926	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031, Praf.g_02422, Praf.g_01293
OG0000002	Prar.g_00918	Praf.g_01631
OG0000002	Prar.g_01508	Praf.g_00948
OG0000004	Prar.g_01525	Praf.g_01121
OG0000004	Prar.g_00095	Praf.g_00743
OG0000005	Prar.g_00771	Praf.g_00503
OG0000006	Prar.g_00086	Praf.g_00396, Praf.g_01719
OG0000007	Prar.g_01328	Praf.g_00614
OG0000007	Prar.g_01143	Praf.g_00480
OG0000008	Prar.g_01185	Praf.g_01223
OG0000009	Prar.g_00223	Praf.g_01768, Praf.g_00246
OG0000010	Prar.g_01567, Prar.g_01912	Praf.g_01908
OG0000011	Prar.g_00978	Praf.g_01188, Praf.g_01190
OG0000012	Prar.g_01453	Praf.g_01668
OG0000013	Prar.g_00260	Praf.g_02073
OG0000014	Prar.g_00281	Praf.g_02319
OG0000015	Prar.g_01179	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Prar.g_00025	Praf.g_00014
OG0000017	Prar.g_01428	Praf.g_00752, Praf.g_00760
OG0000018	Prar.g_01282	Praf.g_01832
OG0000019	Prar.g_00078, Prar.g_01663	Praf.g_00943, Praf.g_02214
OG0000020	Prar.g_01007, Prar.g_01155, Prar.g_01561	Praf.g_01095
OG0000021	Prar.g_00425	Praf.g_00946, Praf.g_01089, Praf.g_00746
OG0000022	Prar.g_01300	Praf.g_00965
OG0000022	Prar.g_01649	Praf.g_00201
OG0000024	Prar.g_01634, Prar.g_01505	Praf.g_01139
OG0000025	Prar.g_00256, Prar.g_01718	Praf.g_01591
OG0000026	Prar.g_00007, Prar.g_01919	Praf.g_00037
OG0000028	Prar.g_00267	Praf.g_02333
OG0000029	Prar.g_00436	Praf.g_02647
OG0000030	Prar.g_00662	Praf.g_00160, Praf.g_00159
OG0000031	Prar.g_00879	Praf.g_02400, Praf.g_00101, Praf.g_00113
OG0000032	Prar.g_00886	Praf.g_02346
OG0000034	Prar.g_00945	Praf.g_00783
OG0000035	Prar.g_00339	Praf.g_01794
OG0000037	Prar.g_00219	Praf.g_00240
OG0000038	Prar.g_00702	Praf.g_02660, Praf.g_02662
OG0000039	Prar.g_01516	Praf.g_00406, Praf.g_02541
OG0000041	Prar.g_00602	Praf.g_00426
OG0000042	Prar.g_00660	Praf.g_00164, Praf.g_00920
OG0000044	Prar.g_01172	Praf.g_00356, Praf.g_01078
OG0000045	Prar.g_01583	Praf.g_00322
OG0000047	Prar.g_00257	Praf.g_01864
OG0000047	Prar.g_00468	Praf.g_01898
OG0000048	Prar.g_00435	Praf.g_02267
OG0000050	Prar.g_01940	Praf.g_01105
OG0000053	Prar.g_00589, Prar.g_00827	Praf.g_01828
OG0000054	Prar.g_01436	Praf.g_00763
