Orthogroup	Prar	Prbi
OG0000000	Prar.g_00971	Prbi.g_01373
OG0000000	Prar.g_00729	Prbi.g_01709
OG0000000	Prar.g_01204	Prbi.g_01268
OG0000000	Prar.g_01204	Prbi.g_01708
OG0000000	Prar.g_00727	Prbi.g_01371
OG0000001	Prar.g_00926	Prbi.g_01424
OG0000001	Prar.g_01202	Prbi.g_01270
OG0000002	Prar.g_00918	Prbi.g_01432
OG0000002	Prar.g_01508	Prbi.g_00681
OG0000004	Prar.g_01525	Prbi.g_00698
OG0000004	Prar.g_00095	Prbi.g_00256
OG0000005	Prar.g_01130	Prbi.g_01800
OG0000005	Prar.g_00771	Prbi.g_01666
OG0000006	Prar.g_00086	Prbi.g_00265
OG0000007	Prar.g_01328	Prbi.g_00500
OG0000007	Prar.g_01143	Prbi.g_01787
OG0000008	Prar.g_01185	Prbi.g_01764
OG0000008	Prar.g_01502	Prbi.g_00675
OG0000009	Prar.g_00737	Prbi.g_01701
OG0000009	Prar.g_00223	Prbi.g_00112
OG0000010	Prar.g_00524	Prbi.g_00477
OG0000010	Prar.g_01912	Prbi.g_01094
OG0000011	Prar.g_00978	Prbi.g_01361
OG0000012	Prar.g_01453	Prbi.g_00625
OG0000013	Prar.g_00260	Prbi.g_00351
OG0000014	Prar.g_00281	Prbi.g_00330
OG0000015	Prar.g_01179	Prbi.g_01304
OG0000016	Prar.g_00025	Prbi.g_00013
OG0000017	Prar.g_01428	Prbi.g_00600
OG0000018	Prar.g_01711	Prbi.g_00874
OG0000018	Prar.g_01282	Prbi.g_01188
OG0000019	Prar.g_00078	Prbi.g_00273
OG0000019	Prar.g_01663	Prbi.g_00827
OG0000020	Prar.g_01315	Prbi.g_01153
OG0000021	Prar.g_00425	Prbi.g_00389
OG0000022	Prar.g_01300	Prbi.g_01170
OG0000022	Prar.g_01649	Prbi.g_00805
OG0000023	Prar.g_00420	Prbi.g_00384
OG0000024	Prar.g_01634	Prbi.g_00788
OG0000024	Prar.g_01505	Prbi.g_00678
OG0000025	Prar.g_00256	Prbi.g_00355
OG0000025	Prar.g_01718	Prbi.g_00882
OG0000026	Prar.g_00007	Prbi.g_00031
OG0000026	Prar.g_01919	Prbi.g_01101
OG0000027	Prar.g_00520	Prbi.g_00472
OG0000028	Prar.g_00985	Prbi.g_01319, Prbi.g_01768
OG0000028	Prar.g_00267	Prbi.g_00344
OG0000029	Prar.g_00436	Prbi.g_00399
OG0000030	Prar.g_00662	Prbi.g_02004
OG0000031	Prar.g_00879	Prbi.g_01467
OG0000032	Prar.g_00886	Prbi.g_01497
OG0000033	Prar.g_00158	Prbi.g_00193
OG0000034	Prar.g_00945	Prbi.g_01401
OG0000035	Prar.g_00339	Prbi.g_01589, Prbi.g_01591
OG0000037	Prar.g_00219	Prbi.g_00116
OG0000038	Prar.g_00702	Prbi.g_02057
OG0000039	Prar.g_01516	Prbi.g_00689
OG0000040	Prar.g_00715	Prbi.g_01738
OG0000040	Prar.g_01283	Prbi.g_01187
OG0000041	Prar.g_00602	Prbi.g_01833
OG0000042	Prar.g_00660	Prbi.g_02001
OG0000043	Prar.g_01755	Prbi.g_00918
OG0000044	Prar.g_01172	Prbi.g_01744
OG0000045	Prar.g_00432	Prbi.g_00395
OG0000047	Prar.g_00257	Prbi.g_00354
OG0000048	Prar.g_00435	Prbi.g_00398
OG0000049	Prar.g_00445	Prbi.g_00408
OG0000049	Prar.g_01002	Prbi.g_01331
OG0000050	Prar.g_01940	Prbi.g_01122
OG0000053	Prar.g_00827	Prbi.g_01611
OG0000054	Prar.g_01436	Prbi.g_00608
OG0000055	Prar.g_01664	Prbi.g_00828
