Orthogroup	Species	Prbk	Orthologs
OG0000000	Syab	Prbk.g_00165, Prbk.g_00167, Prbk.g_00166	Syab.g_01226
OG0000000	Syal	Prbk.g_00165, Prbk.g_00167, Prbk.g_00166	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Prbk.g_00165	Pral.g_00037
OG0000000	Prak	Prbk.g_00165	Prak.g_01562
OG0000000	Prap	Prbk.g_00165	Prap.g_01862
OG0000000	Prbe	Prbk.g_00165	Prbe.g_01119
OG0000000	Prbf	Prbk.g_00165	Prbf.g_00776
OG0000000	Prbg	Prbk.g_00165	Prbg.g_01567
OG0000000	Prbn	Prbk.g_00165	Prbn.g_01662
OG0000000	Pram	Prbk.g_00165	Pram.g_01511
OG0000000	Prbh	Prbk.g_00165	Prbh.g_01903
OG0000000	Prac	Prbk.g_00165	Prac.g_00292
OG0000000	Praq	Prbk.g_00165	Praq.g_00026
OG0000000	Prar	Prbk.g_00165	Prar.g_00729
OG0000000	Prab	Prbk.g_00165	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000000	Pran	Prbk.g_00165	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prag	Prbk.g_00165	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Praw	Prbk.g_00165	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Praa	Prbk.g_00165	Praa.g_01598, Praa.g_01244
OG0000000	Pras	Prbk.g_00165	Pras.g_00470
OG0000000	Prau	Prbk.g_00165	Prau.g_01648
OG0000000	Prad	Prbk.g_00165	Prad.g_00392
OG0000000	Prbd	Prbk.g_00165	Prbd.g_01568
OG0000000	Prae	Prbk.g_00165	Prae.g_01580
OG0000000	Prbi	Prbk.g_00165	Prbi.g_01709
OG0000000	Pray	Prbk.g_00165	Pray.g_01603
OG0000000	Praz	Prbk.g_00165	Praz.g_00921
OG0000000	Prba	Prbk.g_00165	Prba.g_00269
OG0000000	Prax	Prbk.g_00165	Prax.g_01608, Prax.g_00496
OG0000000	Prai	Prbk.g_00165	Prai.g_01592
OG0000000	Prao	Prbk.g_00165	Prao.g_01515
OG0000000	Prav	Prbk.g_00165	Prav.g_01695, Prav.g_00973
OG0000000	Praj	Prbk.g_00165	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prbb	Prbk.g_00165	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbc	Prbk.g_00165	Prbc.g_02165
OG0000000	Prbm	Prbk.g_00165	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Prat	Prbk.g_00165	Prat.g_01549
OG0000000	Praf	Prbk.g_00165	Praf.g_00813
OG0000000	Prah	Prbk.g_00165	Prah.g_01348
OG0000000	Prbj	Prbk.g_00165	Prbj.g_00164
OG0000000	Prbl	Prbk.g_00165	Prbl.g_00116
OG0000000	Prac	Prbk.g_00167, Prbk.g_00166	Prac.g_00157, Prac.g_00290
OG0000000	Praq	Prbk.g_00167, Prbk.g_00166	Praq.g_00115, Praq.g_00028
OG0000000	Prar	Prbk.g_00167, Prbk.g_00166	Prar.g_00973, Prar.g_00727
OG0000000	Prab	Prbk.g_00167, Prbk.g_00166	Prab.g_00917, Prab.g_01619, Prab.g_01308
OG0000000	Pran	Prbk.g_00167, Prbk.g_00166	Pran.g_00580, Pran.g_00894
OG0000000	Prai	Prbk.g_00167, Prbk.g_00166	Prai.g_00907, Prai.g_01774, Prai.g_01314, Prai.g_01596
OG0000000	Prau	Prbk.g_00167, Prbk.g_00166	Prau.g_01350, Prau.g_01650
OG0000000	Prav	Prbk.g_00167, Prbk.g_00166	Prav.g_01413, Prav.g_01698
OG0000000	Praa	Prbk.g_00167, Prbk.g_00166	Praa.g_01298, Praa.g_01599
OG0000000	Prag	Prbk.g_00167, Prbk.g_00166	Prag.g_01333, Prag.g_01649, Prag.g_01610
OG0000000	Prao	Prbk.g_00167, Prbk.g_00166	Prao.g_01296, Prao.g_01518
OG0000000	Praw	Prbk.g_00167, Prbk.g_00166	Praw.g_00959, Praw.g_00495, Praw.g_00457
OG0000000	Prax	Prbk.g_00167, Prbk.g_00166	Prax.g_01919, Prax.g_01606
OG0000000	Prbd	Prbk.g_00167, Prbk.g_00166	Prbd.g_01835, Prbd.g_01567
OG0000000	Prbi	Prbk.g_00167, Prbk.g_00166	Prbi.g_01371, Prbi.g_01710
OG0000000	Prad	Prbk.g_00167, Prbk.g_00166	Prad.g_00350, Prad.g_00389
OG0000000	Prae	Prbk.g_00167, Prbk.g_00166	Prae.g_01308, Prae.g_01581
OG0000000	Pras	Prbk.g_00167, Prbk.g_00166	Pras.g_00182, Pras.g_00471
OG0000000	Pray	Prbk.g_00167, Prbk.g_00166	Pray.g_01890, Pray.g_01602
OG0000000	Praz	Prbk.g_00167, Prbk.g_00166	Praz.g_01200, Praz.g_00920
OG0000000	Prba	Prbk.g_00167, Prbk.g_00166	Prba.g_01172, Prba.g_00268
OG0000000	Praf	Prbk.g_00167	Praf.g_00815
OG0000000	Prah	Prbk.g_00167	Prah.g_01346
OG0000000	Prbj	Prbk.g_00167	Prbj.g_00166
OG0000000	Prbl	Prbk.g_00167	Prbl.g_00118
OG0000000	Prah	Prbk.g_00166	Prah.g_01347
OG0000000	Praf	Prbk.g_00166	Praf.g_00814
OG0000000	Prbj	Prbk.g_00166	Prbj.g_00165
OG0000000	Prbl	Prbk.g_00166	Prbl.g_00117
OG0000001	Syar	Prbk.g_01196, Prbk.g_00170	Syar.g_00069
OG0000001	Syao	Prbk.g_01196, Prbk.g_00170	Syao.g_00314
