Orthogroup	Species	Praz	Orthologs
OG0000000	Syab	Praz.g_01198, Praz.g_00894, Praz.g_00921, Praz.g_00694, Praz.g_00922, Praz.g_01200, Praz.g_00920	Syab.g_01226
OG0000000	Syal	Praz.g_01198, Praz.g_00894, Praz.g_00921, Praz.g_00694, Praz.g_00922, Praz.g_01200, Praz.g_00920	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Praz.g_01198	Pral.g_01331
OG0000000	Prat	Praz.g_01198	Prat.g_01191
OG0000000	Praj	Praz.g_01198	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Praz.g_01198	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Praz.g_01198	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Praz.g_01198	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Praz.g_01198	Pram.g_01561
OG0000000	Prbh	Praz.g_01198	Prbh.g_01853
OG0000000	Prai	Praz.g_01198	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Praz.g_01198	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Praz.g_01198	Pran.g_00582
OG0000000	Prag	Praz.g_01198	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Praz.g_01198	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Praz.g_01198	Prad.g_00352
OG0000000	Prav	Praz.g_01198	Prav.g_01736, Prav.g_01415
OG0000000	Prac	Praz.g_01198	Prac.g_00159
OG0000000	Praq	Praz.g_01198	Praq.g_00117
OG0000000	Prar	Praz.g_01198	Prar.g_00971
OG0000000	Prae	Praz.g_01198	Prae.g_01310
OG0000000	Praa	Praz.g_01198	Praa.g_01300
OG0000000	Prao	Praz.g_01198	Prao.g_01294
OG0000000	Pras	Praz.g_01198	Pras.g_00184
OG0000000	Prau	Praz.g_01198	Prau.g_01352
OG0000000	Prax	Praz.g_01198	Prax.g_01917
OG0000000	Pray	Praz.g_01198	Pray.g_01888
OG0000000	Prba	Praz.g_01198	Prba.g_01174
OG0000000	Prbd	Praz.g_01198	Prbd.g_01833
OG0000000	Prbi	Praz.g_01198	Prbi.g_01373
OG0000000	Pral	Praz.g_00894, Praz.g_00921	Pral.g_00037
OG0000000	Prak	Praz.g_00894, Praz.g_00921	Prak.g_01562
OG0000000	Prap	Praz.g_00894, Praz.g_00921	Prap.g_01862
OG0000000	Prbe	Praz.g_00894, Praz.g_00921	Prbe.g_01119
OG0000000	Prbf	Praz.g_00894, Praz.g_00921	Prbf.g_00776
OG0000000	Prbg	Praz.g_00894, Praz.g_00921	Prbg.g_01567
OG0000000	Prbn	Praz.g_00894, Praz.g_00921	Prbn.g_01662
OG0000000	Pram	Praz.g_00894, Praz.g_00921	Pram.g_01511
OG0000000	Prbh	Praz.g_00894, Praz.g_00921	Prbh.g_01903
OG0000000	Prbc	Praz.g_00894	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806
OG0000000	Prbb	Praz.g_00894	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785
OG0000000	Prbm	Praz.g_00894	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808
