Orthogroup	Species	Syas	Orthologs
OG0000001	Syan	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syan.g_02266
OG0000001	Syar	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syar.g_00070
OG0000001	Syat	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syat.g_02908, Syat.g_02909
OG0000001	Syaa	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syaa.g_02439
OG0000001	Syam	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syam.g_02178
OG0000001	Syai	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syai.g_00891, Syai.g_02595
OG0000001	Syak	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syak.g_02138
OG0000001	Syab	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syab.g_02553, Syab.g_02555
OG0000001	Syal	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syal.g_00874, Syal.g_01184
OG0000001	Prah	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prah.g_02270
OG0000001	Praf	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Praf.g_02422
OG0000001	Prbj	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prbj.g_01549, Prbj.g_02662
OG0000001	Prbk	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prbk.g_00561, Prbk.g_02701
OG0000001	Prbl	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prbl.g_00808, Prbl.g_02598
OG0000001	Syah	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syah.g_00040, Syah.g_00041
OG0000001	Syaf	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syaf.g_00845
OG0000001	Syac	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syac.g_00341, Syac.g_00340
OG0000001	Syae	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syae.g_01417
OG0000001	Syad	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syad.g_02865
OG0000001	Syaj	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syaj.g_01950
OG0000001	Syag	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syag.g_01943
OG0000001	Syaq	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syaq.g_01434
OG0000001	Syao	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000001	Syap	Syas.g_00966, Syas.g_00967	Syap.g_00785
OG0000001	Syap	Syas.g_00093, Syas.g_02373	Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000003	Syaq	Syas.g_01418	Syaq.g_01566
OG0000003	Syar	Syas.g_01418	Syar.g_00836
OG0000003	Syan	Syas.g_01418	Syan.g_00157
OG0000003	Syap	Syas.g_01418	Syap.g_00679
OG0000003	Syaq	Syas.g_00054	Syaq.g_00887
OG0000003	Syad	Syas.g_00054	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996
OG0000003	Syag	Syas.g_00054	Syag.g_01261, Syag.g_00931, Syag.g_01260
OG0000003	Prbj	Syas.g_00054	Prbj.g_00170, Prbj.g_01574
OG0000003	Prbk	Syas.g_00054	Prbk.g_01375, Prbk.g_00214
OG0000003	Prbl	Syas.g_00054	Prbl.g_01929, Prbl.g_01308
OG0000003	Praf	Syas.g_00054	Praf.g_01162, Praf.g_00199
OG0000003	Prah	Syas.g_00054	Prah.g_02435, Prah.g_00281, Prah.g_01075, Prah.g_00275, Prah.g_02449, Prah.g_02433, Prah.g_00169
OG0000004	Syaq	Syas.g_00176	Syaq.g_02603
OG0000004	Prbj	Syas.g_00176	Prbj.g_00754
OG0000004	Prbk	Syas.g_00176	Prbk.g_01760
OG0000004	Prbl	Syas.g_00176	Prbl.g_00021
OG0000004	Praf	Syas.g_00176	Praf.g_01121
OG0000004	Prah	Syas.g_00176	Prah.g_01022
OG0000004	Prab	Syas.g_00176	Prab.g_00700
OG0000004	Pran	Syas.g_00176	Pran.g_01483
OG0000004	Prai	Syas.g_00176	Prai.g_00724
OG0000004	Prad	Syas.g_00176	Prad.g_01269
OG0000004	Praa	Syas.g_00176	Praa.g_00695
OG0000004	Pray	Syas.g_00176	Pray.g_01068
OG0000004	Praz	Syas.g_00176	Praz.g_01635
OG0000004	Prba	Syas.g_00176	Prba.g_01622
OG0000004	Prax	Syas.g_00176	Prax.g_00947
OG0000004	Prag	Syas.g_00176	Prag.g_00673
OG0000004	Praw	Syas.g_00176	Praw.g_01827
OG0000004	Prac	Syas.g_00176	Prac.g_00676
OG0000004	Praq	Syas.g_00176	Praq.g_00824
OG0000004	Prar	Syas.g_00176	Prar.g_01525
OG0000004	Prae	Syas.g_00176	Prae.g_00669
OG0000004	Prbd	Syas.g_00176	Prbd.g_00549
OG0000004	Prav	Syas.g_00176	Prav.g_01293
OG0000004	Prao	Syas.g_00176	Prao.g_00133
OG0000004	Prbi	Syas.g_00176	Prbi.g_00698
OG0000004	Pras	Syas.g_00176	Pras.g_01571
OG0000004	Prau	Syas.g_00176	Prau.g_00735
OG0000004	Pral	Syas.g_00176	Pral.g_01743
OG0000004	Prat	Syas.g_00176	Prat.g_00772
OG0000004	Prak	Syas.g_00176	Prak.g_00826
OG0000004	Prap	Syas.g_00176	Prap.g_00802
OG0000004	Prbe	Syas.g_00176	Prbe.g_01203
OG0000004	Prbf	Syas.g_00176	Prbf.g_01264
OG0000004	Prbg	Syas.g_00176	Prbg.g_01140
OG0000004	Prbn	Syas.g_00176	Prbn.g_01565
OG0000004	Pram	Syas.g_00176	Pram.g_00789
OG0000004	Prbh	Syas.g_00176	Prbh.g_00933
OG0000004	Syae	Syas.g_00176	Syae.g_00779
OG0000004	Syac	Syas.g_00176	Syac.g_00898
OG0000004	Syah	Syas.g_00176	Syah.g_02017
OG0000004	Syam	Syas.g_00176	Syam.g_00787
OG0000004	Syai	Syas.g_00176	Syai.g_01994
OG0000004	Syaf	Syas.g_00176	Syaf.g_01455
OG0000004	Syaa	Syas.g_00176	Syaa.g_00892
OG0000004	Syad	Syas.g_00176	Syad.g_01304
OG0000004	Syaj	Syas.g_00176	Syaj.g_00441
OG0000004	Syab	Syas.g_00176	Syab.g_00549, Syab.g_01193
OG0000004	Syak	Syas.g_00176	Syak.g_01219, Syak.g_00720
OG0000004	Syag	Syas.g_00176	Syag.g_00988
OG0000004	Syal	Syas.g_00176	Syal.g_01809
OG0000004	Praj	Syas.g_00176	Praj.g_01396
OG0000004	Prbc	Syas.g_00176	Prbc.g_01381
OG0000004	Prbm	Syas.g_00176	Prbm.g_01483
OG0000004	Prbb	Syas.g_00176	Prbb.g_01450
OG0000004	Syao	Syas.g_00176	Syao.g_02374
OG0000004	Syan	Syas.g_00176	Syan.g_00183
OG0000004	Syar	Syas.g_00176	Syar.g_02051
OG0000004	Praf	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Praf.g_00743
OG0000004	Prah	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prah.g_01413
OG0000004	Prbj	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbj.g_01777
OG0000004	Prbk	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbk.g_01134
OG0000004	Prbl	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbl.g_01771
OG0000004	Prbm	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbm.g_00291
OG0000004	Praj	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Praj.g_00271
OG0000004	Prbb	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbb.g_00288
OG0000004	Prbc	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbc.g_00339
OG0000004	Pram	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Pram.g_00219
OG0000004	Prbh	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbh.g_00548
OG0000004	Prak	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prak.g_00248
OG0000004	Prap	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prap.g_01480
OG0000004	Prbe	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbe.g_01784
