Orthogroup	Species	Prar	Orthologs
OG0000000	Syab	Prar.g_00971, Prar.g_00713, Prar.g_00729, Prar.g_00730, Prar.g_01204, Prar.g_00973, Prar.g_00727	Syab.g_01226
OG0000000	Syal	Prar.g_00971, Prar.g_00713, Prar.g_00729, Prar.g_00730, Prar.g_01204, Prar.g_00973, Prar.g_00727	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Prar.g_00971	Pral.g_01331
OG0000000	Prat	Prar.g_00971	Prat.g_01191
OG0000000	Praj	Prar.g_00971	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Prar.g_00971	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Prar.g_00971	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Prar.g_00971	Prbc.g_02163, Prbc.g_00103
OG0000000	Pram	Prar.g_00971	Pram.g_01561
OG0000000	Prbh	Prar.g_00971	Prbh.g_01853
OG0000000	Prai	Prar.g_00971	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Prar.g_00971	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Prar.g_00971	Pran.g_00582
OG0000000	Prag	Prar.g_00971	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Prar.g_00971	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Prar.g_00971	Prad.g_00352
OG0000000	Prav	Prar.g_00971	Prav.g_01736, Prav.g_01415
OG0000000	Praa	Prar.g_00971	Praa.g_01300
OG0000000	Prao	Prar.g_00971	Prao.g_01294
OG0000000	Pras	Prar.g_00971	Pras.g_00184
OG0000000	Prau	Prar.g_00971	Prau.g_01352
OG0000000	Prax	Prar.g_00971	Prax.g_01917
OG0000000	Pray	Prar.g_00971	Pray.g_01888
OG0000000	Praz	Prar.g_00971	Praz.g_01198
OG0000000	Prba	Prar.g_00971	Prba.g_01174
