Orthogroup	Species	Syah	Orthologs
OG0000001	Syar	Syah.g_00726, Syah.g_01516	Syar.g_00069
OG0000001	Syao	Syah.g_00726, Syah.g_01516	Syao.g_00314
OG0000001	Syat	Syah.g_00726, Syah.g_01516	Syat.g_02910, Syat.g_02911
OG0000001	Syak	Syah.g_00726	Syak.g_00342
OG0000001	Syag	Syah.g_00726	Syag.g_00575
OG0000001	Syab	Syah.g_00726	Syab.g_01549
OG0000001	Syal	Syah.g_00726	Syal.g_02193
OG0000001	Prbj	Syah.g_00726	Prbj.g_00672, Prbj.g_00169
OG0000001	Prbk	Syah.g_00726	Prbk.g_01196, Prbk.g_00170
OG0000001	Prbl	Syah.g_00726	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Praf	Syah.g_00726	Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000001	Prah	Syah.g_00726	Prah.g_00324, Prah.g_01343
OG0000001	Prax	Syah.g_00726	Prax.g_01878, Prax.g_00522
OG0000001	Prbi	Syah.g_00726	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270
OG0000001	Prao	Syah.g_00726	Prao.g_01254, Prao.g_01852, Prao.g_01529
OG0000001	Prav	Syah.g_00726	Prav.g_01458, Prav.g_01748, Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734
OG0000001	Prag	Syah.g_00726	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000001	Praw	Syah.g_00726	Praw.g_01000, Praw.g_00500, Praw.g_01739, Praw.g_01951, Praw.g_00497
OG0000001	Prad	Syah.g_00726	Prad.g_00609, Prad.g_01434, Prad.g_01994
OG0000001	Prac	Syah.g_00726	Prac.g_00202, Prac.g_00924, Prac.g_00925
OG0000001	Praq	Syah.g_00726	Praq.g_00160, Praq.g_01394, Praq.g_01393
OG0000001	Prar	Syah.g_00726	Prar.g_00926, Prar.g_01202, Prar.g_01203
OG0000001	Prbd	Syah.g_00726	Prbd.g_01779, Prbd.g_01930
OG0000001	Prae	Syah.g_00726	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000001	Praa	Syah.g_00726	Praa.g_01351, Praa.g_01220, Praa.g_01222
OG0000001	Pray	Syah.g_00726	Pray.g_01844, Pray.g_00247, Pray.g_00246
OG0000001	Praz	Syah.g_00726	Praz.g_01154, Praz.g_01939, Praz.g_01940
OG0000001	Prba	Syah.g_00726	Prba.g_00211, Prba.g_01081, Prba.g_01080
OG0000001	Prai	Syah.g_00726	Prai.g_01235, Prai.g_01356, Prai.g_01236
