Orthogroup	Species	Prbc	Orthologs
OG0000000	Syab	Prbc.g_02163, Prbc.g_00103, Prbc.g_00609, Prbc.g_00812, Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165, Prbc.g_00106, Prbc.g_00618, Prbc.g_02167, Prbc.g_00608, Prbc.g_00808, Prbc.g_00525	Syab.g_01226
OG0000000	Syal	Prbc.g_02163, Prbc.g_00103, Prbc.g_00609, Prbc.g_00812, Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165, Prbc.g_00106, Prbc.g_00618, Prbc.g_02167, Prbc.g_00608, Prbc.g_00808, Prbc.g_00525	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Prbc.g_02163, Prbc.g_00103	Pral.g_01331
OG0000000	Prat	Prbc.g_02163, Prbc.g_00103	Prat.g_01191
OG0000000	Pram	Prbc.g_02163, Prbc.g_00103	Pram.g_01561
OG0000000	Prbh	Prbc.g_02163, Prbc.g_00103	Prbh.g_01853
OG0000000	Prai	Prbc.g_02163, Prbc.g_00103	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Prbc.g_02163, Prbc.g_00103	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Prbc.g_02163, Prbc.g_00103	Pran.g_00582
OG0000000	Prac	Prbc.g_02163, Prbc.g_00103	Prac.g_00159
OG0000000	Praq	Prbc.g_02163, Prbc.g_00103	Praq.g_00117
OG0000000	Prar	Prbc.g_02163, Prbc.g_00103	Prar.g_00971
OG0000000	Praa	Prbc.g_02163, Prbc.g_00103	Praa.g_01300
OG0000000	Prao	Prbc.g_02163, Prbc.g_00103	Prao.g_01294
OG0000000	Pras	Prbc.g_02163, Prbc.g_00103	Pras.g_00184
OG0000000	Prau	Prbc.g_02163, Prbc.g_00103	Prau.g_01352
OG0000000	Prax	Prbc.g_02163, Prbc.g_00103	Prax.g_01917
OG0000000	Pray	Prbc.g_02163, Prbc.g_00103	Pray.g_01888
OG0000000	Praz	Prbc.g_02163, Prbc.g_00103	Praz.g_01198
OG0000000	Prba	Prbc.g_02163, Prbc.g_00103	Prba.g_01174
OG0000000	Prbd	Prbc.g_02163, Prbc.g_00103	Prbd.g_01833
OG0000000	Prbi	Prbc.g_02163, Prbc.g_00103	Prbi.g_01373
OG0000000	Prae	Prbc.g_02163, Prbc.g_00103	Prae.g_01310
OG0000000	Prag	Prbc.g_02163, Prbc.g_00103	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Prbc.g_02163, Prbc.g_00103	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Prbc.g_02163, Prbc.g_00103	Prad.g_00352
OG0000000	Prav	Prbc.g_02163, Prbc.g_00103	Prav.g_01736, Prav.g_01415
OG0000000	Prbb	Prbc.g_02163	Prbb.g_01119
OG0000000	Prbm	Prbc.g_02163	Prbm.g_01115
OG0000000	Praj	Prbc.g_02163	Praj.g_01076
OG0000000	Praj	Prbc.g_00103	Praj.g_01201
OG0000000	Praj	Prbc.g_00103	Praj.g_01271
OG0000000	Praj	Prbc.g_00103	Praj.g_01308
OG0000000	Prbb	Prbc.g_00103	Prbb.g_01243
OG0000000	Prbb	Prbc.g_00103	Prbb.g_01400
OG0000000	Prbm	Prbc.g_00103	Prbm.g_00437
OG0000000	Prbm	Prbc.g_00103	Prbm.g_01228
OG0000000	Prbm	Prbc.g_00103	Prbm.g_01312
OG0000000	Prbm	Prbc.g_00103	Prbm.g_01381
OG0000000	Pral	Prbc.g_00609, Prbc.g_00812	Pral.g_00040, Pral.g_01332
OG0000000	Pram	Prbc.g_00609, Prbc.g_00812	Pram.g_01513, Pram.g_01176
OG0000000	Prbh	Prbc.g_00609, Prbc.g_00812	Prbh.g_01901, Prbh.g_01319
OG0000000	Prak	Prbc.g_00609, Prbc.g_00812	Prak.g_01210
OG0000000	Prap	Prbc.g_00609, Prbc.g_00812	Prap.g_00494
OG0000000	Prbe	Prbc.g_00609, Prbc.g_00812	Prbe.g_01587
OG0000000	Prbf	Prbc.g_00609, Prbc.g_00812	Prbf.g_00880
OG0000000	Prbg	Prbc.g_00609, Prbc.g_00812	Prbg.g_01524
OG0000000	Prbn	Prbc.g_00609, Prbc.g_00812	Prbn.g_01151
