Orthogroup	Species	Prap	Orthologs
OG0000000	Syab	Prap.g_00494, Prap.g_01862, Prap.g_00493, Prap.g_01861, Prap.g_01846	Syab.g_01226
OG0000000	Syal	Prap.g_00494, Prap.g_01862, Prap.g_00493, Prap.g_01861, Prap.g_01846	Syal.g_01111, Syal.g_01832
OG0000000	Prbb	Prap.g_00494	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356
OG0000000	Prbm	Prap.g_00494	Prbm.g_01140, Prbm.g_01814, Prbm.g_01313, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384
OG0000000	Praj	Prap.g_00494	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311
OG0000000	Prbc	Prap.g_00494	Prbc.g_00609, Prbc.g_00812
OG0000000	Pral	Prap.g_00494	Pral.g_00040
OG0000000	Pram	Prap.g_00494	Pram.g_01513
OG0000000	Prbh	Prap.g_00494	Prbh.g_01901
OG0000000	Prat	Prap.g_00494	Prat.g_01190
OG0000000	Prak	Prap.g_00494	Prak.g_01210
OG0000000	Prbe	Prap.g_00494	Prbe.g_01587
OG0000000	Prbf	Prap.g_00494	Prbf.g_00880
OG0000000	Prbg	Prap.g_00494	Prbg.g_01524
OG0000000	Prbn	Prap.g_00494	Prbn.g_01151
OG0000000	Pras	Prap.g_01862	Pras.g_00493, Pras.g_00470
OG0000000	Prai	Prap.g_01862	Prai.g_01612, Prai.g_01592
OG0000000	Prac	Prap.g_01862	Prac.g_00277, Prac.g_00292
OG0000000	Praq	Prap.g_01862	Praq.g_01956, Praq.g_00026
OG0000000	Prar	Prap.g_01862	Prar.g_00713, Prar.g_00729
OG0000000	Prau	Prap.g_01862	Prau.g_01665, Prau.g_01648
OG0000000	Praa	Prap.g_01862	Praa.g_01235, Praa.g_01598, Praa.g_01244
OG0000000	Prbd	Prap.g_01862	Prbd.g_01914, Prbd.g_01568
OG0000000	Pray	Prap.g_01862	Pray.g_01576, Pray.g_01603
OG0000000	Praz	Prap.g_01862	Praz.g_00894, Praz.g_00921
OG0000000	Prba	Prap.g_01862	Prba.g_00243, Prba.g_00269
OG0000000	Prad	Prap.g_01862	Prad.g_01982, Prad.g_00392
OG0000000	Prbc	Prap.g_01862	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Prbb	Prap.g_01862	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbm	Prap.g_01862	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Praj	Prap.g_01862	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prab	Prap.g_01862	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000000	Pran	Prap.g_01862	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prag	Prap.g_01862	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
