Orthogroup	Species	Syar	Orthologs
OG0000001	Prbj	Syar.g_00069	Prbj.g_00672, Prbj.g_00169
OG0000001	Prbk	Syar.g_00069	Prbk.g_01196, Prbk.g_00170
OG0000001	Prbl	Syar.g_00069	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Praf	Syar.g_00069	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031
OG0000001	Prah	Syar.g_00069	Prah.g_00324, Prah.g_01343, Prah.g_01159
OG0000001	Syam	Syar.g_00069	Syam.g_00946, Syam.g_02177
OG0000001	Syad	Syar.g_00069	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864
OG0000001	Syaj	Syar.g_00069	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952
OG0000001	Syae	Syar.g_00069	Syae.g_02061, Syae.g_01416
OG0000001	Syac	Syar.g_00069	Syac.g_02154
OG0000001	Syah	Syar.g_00069	Syah.g_00726, Syah.g_01516
OG0000001	Syaf	Syar.g_00069	Syaf.g_01640, Syaf.g_00846
OG0000001	Syai	Syar.g_00069	Syai.g_01716, Syai.g_01197, Syai.g_02594
OG0000001	Prax	Syar.g_00069	Prax.g_01878, Prax.g_00522
OG0000001	Prbi	Syar.g_00069	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270
OG0000001	Prao	Syar.g_00069	Prao.g_01254, Prao.g_01852, Prao.g_01529
OG0000001	Prav	Syar.g_00069	Prav.g_01458, Prav.g_01748, Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734
OG0000001	Prag	Syar.g_00069	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000001	Praw	Syar.g_00069	Praw.g_01000, Praw.g_00500, Praw.g_01739, Praw.g_01951, Praw.g_00497
OG0000001	Prad	Syar.g_00069	Prad.g_00609, Prad.g_01434, Prad.g_01994
OG0000001	Prac	Syar.g_00069	Prac.g_00202, Prac.g_00924, Prac.g_00925
OG0000001	Praq	Syar.g_00069	Praq.g_00160, Praq.g_01394, Praq.g_01393
OG0000001	Prar	Syar.g_00069	Prar.g_00926, Prar.g_01202, Prar.g_01203
OG0000001	Prbd	Syar.g_00069	Prbd.g_01779, Prbd.g_01930
OG0000001	Prae	Syar.g_00069	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000001	Praa	Syar.g_00069	Praa.g_01351, Praa.g_01220, Praa.g_01222
OG0000001	Pray	Syar.g_00069	Pray.g_01844, Pray.g_00247, Pray.g_00246
OG0000001	Praz	Syar.g_00069	Praz.g_01154, Praz.g_01939, Praz.g_01940
OG0000001	Prba	Syar.g_00069	Prba.g_00211, Prba.g_01081, Prba.g_01080
OG0000001	Prai	Syar.g_00069	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000001	Prau	Syar.g_00069	Prau.g_01394, Prau.g_01267, Prau.g_01269
OG0000001	Pras	Syar.g_00069	Pras.g_00235, Pras.g_00118, Pras.g_00120, Pras.g_00541
OG0000001	Prbb	Syar.g_00069	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157
OG0000001	Prbc	Syar.g_00069	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925
OG0000001	Praj	Syar.g_00069	Praj.g_01549, Praj.g_01828, Praj.g_00463, Praj.g_01861, Praj.g_01112
OG0000001	Prbm	Syar.g_00069	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426
OG0000001	Pral	Syar.g_00069	Pral.g_01236, Pral.g_01671, Pral.g_01296
OG0000001	Prat	Syar.g_00069	Prat.g_01285, Prat.g_01286, Prat.g_00851
OG0000001	Prak	Syar.g_00069	Prak.g_01302, Prak.g_00755
OG0000001	Prbg	Syar.g_00069	Prbg.g_00502, Prbg.g_01069
OG0000001	Prap	Syar.g_00069	Prap.g_01925, Prap.g_00653
OG0000001	Prbe	Syar.g_00069	Prbe.g_00400, Prbe.g_00112
OG0000001	Prbf	Syar.g_00069	Prbf.g_00068, Prbf.g_00831
OG0000001	Prbn	Syar.g_00069	Prbn.g_01213, Prbn.g_01923
OG0000001	Prbh	Syar.g_00069	Prbh.g_00001, Prbh.g_00863
OG0000001	Pram	Syar.g_00069	Pram.g_01954, Pram.g_01953, Pram.g_00719
OG0000001	Prab	Syar.g_00069	Prab.g_00788, Prab.g_01279, Prab.g_01281
OG0000001	Pran	Syar.g_00069	Pran.g_01395
OG0000001	Syag	Syar.g_00069	Syag.g_00575, Syag.g_01942
OG0000001	Syab	Syar.g_00069	Syab.g_01549
OG0000001	Syal	Syar.g_00069	Syal.g_02193, Syal.g_02215
OG0000001	Syak	Syar.g_00069	Syak.g_00342, Syak.g_02139
OG0000001	Syaq	Syar.g_00069	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syaa	Syar.g_00069	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436
OG0000001	Syao	Syar.g_00069	Syao.g_00314
OG0000001	Syat	Syar.g_00069	Syat.g_02910, Syat.g_02911
OG0000001	Syap	Syar.g_00070	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Syas	Syar.g_00070	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000001	Syao	Syar.g_00070	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000001	Syaa	Syar.g_00070	Syaa.g_02439
OG0000001	Syam	Syar.g_00070	Syam.g_02178
OG0000001	Syai	Syar.g_00070	Syai.g_00891, Syai.g_02595
OG0000001	Syak	Syar.g_00070	Syak.g_02138
OG0000001	Syab	Syar.g_00070	Syab.g_02553, Syab.g_02555
OG0000001	Syal	Syar.g_00070	Syal.g_00874, Syal.g_01184
OG0000001	Prah	Syar.g_00070	Prah.g_02270
OG0000001	Praf	Syar.g_00070	Praf.g_02422
OG0000001	Prbj	Syar.g_00070	Prbj.g_01549, Prbj.g_02662
OG0000001	Prbk	Syar.g_00070	Prbk.g_00561, Prbk.g_02701
OG0000001	Prbl	Syar.g_00070	Prbl.g_00808, Prbl.g_02598
OG0000001	Syah	Syar.g_00070	Syah.g_00040, Syah.g_00041
OG0000001	Syaf	Syar.g_00070	Syaf.g_00845
OG0000001	Syac	Syar.g_00070	Syac.g_00341, Syac.g_00340
OG0000001	Syae	Syar.g_00070	Syae.g_01417
OG0000001	Syad	Syar.g_00070	Syad.g_02865
OG0000001	Syaj	Syar.g_00070	Syaj.g_01950
OG0000001	Syag	Syar.g_00070	Syag.g_01943
OG0000001	Syaq	Syar.g_00070	Syaq.g_01434
OG0000001	Syan	Syar.g_00070	Syan.g_02266
OG0000001	Syat	Syar.g_00070	Syat.g_02908, Syat.g_02909
OG0000001	Syab	Syar.g_02229	Syab.g_00673
OG0000001	Prbj	Syar.g_02229	Prbj.g_02690
OG0000001	Prbk	Syar.g_02229	Prbk.g_00630
OG0000001	Prbl	Syar.g_02229	Prbl.g_02578
OG0000001	Praf	Syar.g_02229	Praf.g_01293
OG0000001	Prah	Syar.g_02229	Prah.g_00896
OG0000001	Syan	Syar.g_02229	Syan.g_02528
OG0000001	Syap	Syar.g_02229	Syap.g_00399
OG0000001	Syat	Syar.g_02229	Syat.g_00878
OG0000003	Syaq	Syar.g_00836	Syaq.g_01566
OG0000003	Syas	Syar.g_00836	Syas.g_01418
OG0000003	Syan	Syar.g_00836	Syan.g_00157
OG0000003	Syap	Syar.g_00836	Syap.g_00679
OG0000004	Syaq	Syar.g_02051	Syaq.g_02603
OG0000004	Prbj	Syar.g_02051	Prbj.g_00754
OG0000004	Prbk	Syar.g_02051	Prbk.g_01760
OG0000004	Prbl	Syar.g_02051	Prbl.g_00021
OG0000004	Praf	Syar.g_02051	Praf.g_01121
OG0000004	Prah	Syar.g_02051	Prah.g_01022
OG0000004	Prab	Syar.g_02051	Prab.g_00700
OG0000004	Pran	Syar.g_02051	Pran.g_01483
OG0000004	Prai	Syar.g_02051	Prai.g_00724
OG0000004	Prad	Syar.g_02051	Prad.g_01269
OG0000004	Praa	Syar.g_02051	Praa.g_00695
OG0000004	Pray	Syar.g_02051	Pray.g_01068
OG0000004	Praz	Syar.g_02051	Praz.g_01635
OG0000004	Prba	Syar.g_02051	Prba.g_01622
OG0000004	Prax	Syar.g_02051	Prax.g_00947
OG0000004	Prag	Syar.g_02051	Prag.g_00673
OG0000004	Praw	Syar.g_02051	Praw.g_01827
OG0000004	Prac	Syar.g_02051	Prac.g_00676
OG0000004	Praq	Syar.g_02051	Praq.g_00824
OG0000004	Prar	Syar.g_02051	Prar.g_01525
OG0000004	Prae	Syar.g_02051	Prae.g_00669
OG0000004	Prbd	Syar.g_02051	Prbd.g_00549
OG0000004	Prav	Syar.g_02051	Prav.g_01293
