Orthogroup	Species	Syad	Orthologs
OG0000001	Syar	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864	Syar.g_00069
OG0000001	Syao	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864	Syao.g_00314
OG0000001	Syat	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864	Syat.g_02910, Syat.g_02911
OG0000001	Syak	Syad.g_00628	Syak.g_00342
OG0000001	Syag	Syad.g_00628	Syag.g_00575
OG0000001	Syab	Syad.g_00628	Syab.g_01549
OG0000001	Syal	Syad.g_00628	Syal.g_02193
OG0000001	Prbj	Syad.g_00628	Prbj.g_00672, Prbj.g_00169
OG0000001	Prbk	Syad.g_00628	Prbk.g_01196, Prbk.g_00170
OG0000001	Prbl	Syad.g_00628	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Praf	Syad.g_00628	Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000001	Prah	Syad.g_00628	Prah.g_00324, Prah.g_01343
OG0000001	Prax	Syad.g_00628	Prax.g_01878, Prax.g_00522
OG0000001	Prbi	Syad.g_00628	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270
OG0000001	Prao	Syad.g_00628	Prao.g_01254, Prao.g_01852, Prao.g_01529
OG0000001	Prav	Syad.g_00628	Prav.g_01458, Prav.g_01748, Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734
OG0000001	Prag	Syad.g_00628	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000001	Praw	Syad.g_00628	Praw.g_01000, Praw.g_00500, Praw.g_01739, Praw.g_01951, Praw.g_00497
OG0000001	Prad	Syad.g_00628	Prad.g_00609, Prad.g_01434, Prad.g_01994
OG0000001	Prac	Syad.g_00628	Prac.g_00202, Prac.g_00924, Prac.g_00925
OG0000001	Praq	Syad.g_00628	Praq.g_00160, Praq.g_01394, Praq.g_01393
OG0000001	Prar	Syad.g_00628	Prar.g_00926, Prar.g_01202, Prar.g_01203
OG0000001	Prbd	Syad.g_00628	Prbd.g_01779, Prbd.g_01930
OG0000001	Prae	Syad.g_00628	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000001	Praa	Syad.g_00628	Praa.g_01351, Praa.g_01220, Praa.g_01222
OG0000001	Pray	Syad.g_00628	Pray.g_01844, Pray.g_00247, Pray.g_00246
OG0000001	Praz	Syad.g_00628	Praz.g_01154, Praz.g_01939, Praz.g_01940
OG0000001	Prba	Syad.g_00628	Prba.g_00211, Prba.g_01081, Prba.g_01080
OG0000001	Prai	Syad.g_00628	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000001	Prau	Syad.g_00628	Prau.g_01394, Prau.g_01267, Prau.g_01269
OG0000001	Pras	Syad.g_00628	Pras.g_00235, Pras.g_00118, Pras.g_00120, Pras.g_00541
OG0000001	Prbb	Syad.g_00628	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157
OG0000001	Prbc	Syad.g_00628	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925
OG0000001	Praj	Syad.g_00628	Praj.g_01549, Praj.g_01828, Praj.g_00463, Praj.g_01861, Praj.g_01112
OG0000001	Prbm	Syad.g_00628	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426
OG0000001	Pral	Syad.g_00628	Pral.g_01236, Pral.g_01671, Pral.g_01296
OG0000001	Prat	Syad.g_00628	Prat.g_01285, Prat.g_01286, Prat.g_00851
OG0000001	Prak	Syad.g_00628	Prak.g_01302, Prak.g_00755
OG0000001	Prbg	Syad.g_00628	Prbg.g_00502, Prbg.g_01069
OG0000001	Prap	Syad.g_00628	Prap.g_01925, Prap.g_00653
OG0000001	Prbe	Syad.g_00628	Prbe.g_00400, Prbe.g_00112
OG0000001	Prbf	Syad.g_00628	Prbf.g_00068, Prbf.g_00831
OG0000001	Prbn	Syad.g_00628	Prbn.g_01213, Prbn.g_01923
OG0000001	Prbh	Syad.g_00628	Prbh.g_00001, Prbh.g_00863
OG0000001	Pram	Syad.g_00628	Pram.g_01954, Pram.g_01953, Pram.g_00719
OG0000001	Prab	Syad.g_00628	Prab.g_00788, Prab.g_01279, Prab.g_01281
OG0000001	Pran	Syad.g_00628	Pran.g_01395
OG0000001	Syam	Syad.g_00628	Syam.g_00946
OG0000001	Syaf	Syad.g_00628	Syaf.g_01640
OG0000001	Syai	Syad.g_00628	Syai.g_01716
OG0000001	Syae	Syad.g_00628	Syae.g_02061
OG0000001	Syac	Syad.g_00628	Syac.g_02154
OG0000001	Syah	Syad.g_00628	Syah.g_00726
OG0000001	Syaj	Syad.g_00628	Syaj.g_02674
OG0000001	Syak	Syad.g_02863, Syad.g_02862, Syad.g_02864	Syak.g_02139
OG0000001	Syaq	Syad.g_02863, Syad.g_02862	Syaq.g_01436
OG0000001	Syaa	Syad.g_02863, Syad.g_02862	Syaa.g_02435
OG0000001	Syaj	Syad.g_02863	Syaj.g_01948
OG0000001	Syaj	Syad.g_02862	Syaj.g_01947
OG0000001	Syag	Syad.g_02864	Syag.g_01942
OG0000001	Syaq	Syad.g_02864	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syal	Syad.g_02864	Syal.g_02215
OG0000001	Praf	Syad.g_02864	Praf.g_01031
OG0000001	Prah	Syad.g_02864	Prah.g_01159
OG0000001	Syae	Syad.g_02864	Syae.g_01416
OG0000001	Syam	Syad.g_02864	Syam.g_02177
OG0000001	Syaa	Syad.g_02864	Syaa.g_02438, Syaa.g_02437
OG0000001	Syaf	Syad.g_02864	Syaf.g_00846
OG0000001	Syah	Syad.g_02864	Syah.g_01516
OG0000001	Syai	Syad.g_02864	Syai.g_01197, Syai.g_02594
OG0000001	Syaj	Syad.g_02864	Syaj.g_01949, Syaj.g_01952
OG0000001	Syap	Syad.g_02865	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Syas	Syad.g_02865	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000001	Syao	Syad.g_02865	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000001	Syan	Syad.g_02865	Syan.g_02266
OG0000001	Syar	Syad.g_02865	Syar.g_00070
OG0000001	Syat	Syad.g_02865	Syat.g_02908, Syat.g_02909
OG0000001	Syag	Syad.g_02865	Syag.g_01943
OG0000001	Syaq	Syad.g_02865	Syaq.g_01434
OG0000001	Syak	Syad.g_02865	Syak.g_02138
OG0000001	Syab	Syad.g_02865	Syab.g_02553, Syab.g_02555
OG0000001	Syal	Syad.g_02865	Syal.g_00874, Syal.g_01184
OG0000001	Prah	Syad.g_02865	Prah.g_02270
OG0000001	Praf	Syad.g_02865	Praf.g_02422
OG0000001	Prbj	Syad.g_02865	Prbj.g_01549, Prbj.g_02662
OG0000001	Prbk	Syad.g_02865	Prbk.g_00561, Prbk.g_02701
OG0000001	Prbl	Syad.g_02865	Prbl.g_00808, Prbl.g_02598
OG0000001	Syah	Syad.g_02865	Syah.g_00040, Syah.g_00041
OG0000001	Syaf	Syad.g_02865	Syaf.g_00845
OG0000001	Syac	Syad.g_02865	Syac.g_00341, Syac.g_00340
OG0000001	Syai	Syad.g_02865	Syai.g_02595
OG0000001	Syae	Syad.g_02865	Syae.g_01417
OG0000001	Syaj	Syad.g_02865	Syaj.g_01950
OG0000001	Syab	Syad.g_01238, Syad.g_00611	Syab.g_01509, Syab.g_01510
OG0000001	Syag	Syad.g_01238, Syad.g_00611	Syag.g_00520
OG0000001	Syak	Syad.g_01238, Syad.g_00611	Syak.g_00275, Syak.g_00579
OG0000001	Syaq	Syad.g_01238, Syad.g_00611	Syaq.g_02178, Syaq.g_02413
OG0000001	Syan	Syad.g_01238, Syad.g_00611	Syan.g_01149
OG0000001	Syat	Syad.g_01238, Syad.g_00611	Syat.g_01540
OG0000001	Syac	Syad.g_01238, Syad.g_00611	Syac.g_02169
OG0000001	Syah	Syad.g_01238, Syad.g_00611	Syah.g_00710
OG0000001	Syaa	Syad.g_01238, Syad.g_00611	Syaa.g_02329
OG0000001	Syae	Syad.g_01238, Syad.g_00611	Syae.g_02055
OG0000001	Syaj	Syad.g_01238, Syad.g_00611	Syaj.g_02660
OG0000001	Syaf	Syad.g_01238	Syaf.g_01634
OG0000001	Syai	Syad.g_01238	Syai.g_01729
OG0000001	Syam	Syad.g_01238	Syam.g_00929
OG0000002	Prbj	Syad.g_00619	Prbj.g_02517, Prbj.g_00030
OG0000002	Prbk	Syad.g_00619	Prbk.g_02574, Prbk.g_01649
OG0000002	Prbl	Syad.g_00619	Prbl.g_01582, Prbl.g_01092
OG0000002	Praf	Syad.g_00619	Praf.g_01631, Praf.g_00948
OG0000002	Prah	Syad.g_00619	Prah.g_00562, Prah.g_01226
OG0000002	Praj	Syad.g_00619	Praj.g_00832, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670
OG0000002	Prbc	Syad.g_00619	Prbc.g_01920, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478, Prbc.g_01759
OG0000002	Prbb	Syad.g_00619	Prbb.g_00844, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683
OG0000002	Prbm	Syad.g_00619	Prbm.g_00874, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000002	Prak	Syad.g_00619	Prak.g_00908, Prak.g_00913, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805
OG0000002	Prap	Syad.g_00619	Prap.g_00720, Prap.g_00715, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000002	Prbe	Syad.g_00619	Prbe.g_01285, Prbe.g_01290, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000002	Prbf	Syad.g_00619	Prbf.g_01182, Prbf.g_01177, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000002	Prbg	Syad.g_00619	Prbg.g_01222, Prbg.g_01227, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000002	Prbn	Syad.g_00619	Prbn.g_01483, Prbn.g_01478, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586
OG0000002	Pram	Syad.g_00619	Pram.g_00873, Pram.g_00879, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000002	Prbh	Syad.g_00619	Prbh.g_01016, Prbh.g_01022, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000002	Pral	Syad.g_00619	Pral.g_01549, Pral.g_01554, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000002	Prat	Syad.g_00619	Prat.g_00977, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000002	Prav	Syad.g_00619	Prav.g_01466, Prav.g_01276
OG0000002	Prag	Syad.g_00619	Prag.g_01382, Prag.g_00656
OG0000002	Praw	Syad.g_00619	Praw.g_01009, Praw.g_01844
OG0000002	Prad	Syad.g_00619	Prad.g_00601, Prad.g_01252
OG0000002	Prai	Syad.g_00619	Prai.g_01363, Prai.g_00707
OG0000002	Pras	Syad.g_00619	Pras.g_00243, Pras.g_01554
OG0000002	Prau	Syad.g_00619	Prau.g_01402, Prau.g_00718
