Orthogroup	Species	Syao	Orthologs
OG0000001	Prbj	Syao.g_00314	Prbj.g_00672, Prbj.g_00169
OG0000001	Prbk	Syao.g_00314	Prbk.g_01196, Prbk.g_00170
OG0000001	Prbl	Syao.g_00314	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Praf	Syao.g_00314	Praf.g_01895, Praf.g_00818, Praf.g_01896, Praf.g_01031
OG0000001	Prah	Syao.g_00314	Prah.g_00324, Prah.g_01343, Prah.g_01159
OG0000001	Syam	Syao.g_00314	Syam.g_00946, Syam.g_02177
OG0000001	Syad	Syao.g_00314	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864
OG0000001	Syaj	Syao.g_00314	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952
OG0000001	Syae	Syao.g_00314	Syae.g_02061, Syae.g_01416
OG0000001	Syac	Syao.g_00314	Syac.g_02154
OG0000001	Syah	Syao.g_00314	Syah.g_00726, Syah.g_01516
OG0000001	Syaf	Syao.g_00314	Syaf.g_01640, Syaf.g_00846
OG0000001	Syai	Syao.g_00314	Syai.g_01716, Syai.g_01197, Syai.g_02594
OG0000001	Prax	Syao.g_00314	Prax.g_01878, Prax.g_00522
OG0000001	Prbi	Syao.g_00314	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270
OG0000001	Prao	Syao.g_00314	Prao.g_01254, Prao.g_01852, Prao.g_01529
OG0000001	Prav	Syao.g_00314	Prav.g_01458, Prav.g_01748, Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734
OG0000001	Prag	Syao.g_00314	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000001	Praw	Syao.g_00314	Praw.g_01000, Praw.g_00500, Praw.g_01739, Praw.g_01951, Praw.g_00497
OG0000001	Prad	Syao.g_00314	Prad.g_00609, Prad.g_01434, Prad.g_01994
OG0000001	Prac	Syao.g_00314	Prac.g_00202, Prac.g_00924, Prac.g_00925
OG0000001	Praq	Syao.g_00314	Praq.g_00160, Praq.g_01394, Praq.g_01393
OG0000001	Prar	Syao.g_00314	Prar.g_00926, Prar.g_01202, Prar.g_01203
OG0000001	Prbd	Syao.g_00314	Prbd.g_01779, Prbd.g_01930
OG0000001	Prae	Syao.g_00314	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000001	Praa	Syao.g_00314	Praa.g_01351, Praa.g_01220, Praa.g_01222
OG0000001	Pray	Syao.g_00314	Pray.g_01844, Pray.g_00247, Pray.g_00246
OG0000001	Praz	Syao.g_00314	Praz.g_01154, Praz.g_01939, Praz.g_01940
OG0000001	Prba	Syao.g_00314	Prba.g_00211, Prba.g_01081, Prba.g_01080
OG0000001	Prai	Syao.g_00314	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000001	Prau	Syao.g_00314	Prau.g_01394, Prau.g_01267, Prau.g_01269
OG0000001	Pras	Syao.g_00314	Pras.g_00235, Pras.g_00118, Pras.g_00120, Pras.g_00541
OG0000001	Prbb	Syao.g_00314	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157
OG0000001	Prbc	Syao.g_00314	Prbc.g_00588, Prbc.g_00892, Prbc.g_01530, Prbc.g_00925
OG0000001	Praj	Syao.g_00314	Praj.g_01549, Praj.g_01828, Praj.g_00463, Praj.g_01861, Praj.g_01112
OG0000001	Prbm	Syao.g_00314	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426
OG0000001	Pral	Syao.g_00314	Pral.g_01236, Pral.g_01671, Pral.g_01296
OG0000001	Prat	Syao.g_00314	Prat.g_01285, Prat.g_01286, Prat.g_00851
OG0000001	Prak	Syao.g_00314	Prak.g_01302, Prak.g_00755
OG0000001	Prbg	Syao.g_00314	Prbg.g_00502, Prbg.g_01069
OG0000001	Prap	Syao.g_00314	Prap.g_01925, Prap.g_00653
OG0000001	Prbe	Syao.g_00314	Prbe.g_00400, Prbe.g_00112
OG0000001	Prbf	Syao.g_00314	Prbf.g_00068, Prbf.g_00831
OG0000001	Prbn	Syao.g_00314	Prbn.g_01213, Prbn.g_01923
OG0000001	Prbh	Syao.g_00314	Prbh.g_00001, Prbh.g_00863
