Orthogroup	Species	Syaa	Orthologs
OG0000001	Syar	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syar.g_00069
OG0000001	Syao	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syao.g_00314
OG0000001	Syat	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syat.g_02910, Syat.g_02911
OG0000001	Syak	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syak.g_02139
OG0000001	Syaq	Syaa.g_02435	Syaq.g_01436
OG0000001	Syad	Syaa.g_02435	Syad.g_02863, Syad.g_02862
OG0000001	Syaj	Syaa.g_02435	Syaj.g_01948, Syaj.g_01947
OG0000001	Syag	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syag.g_01942
OG0000001	Syaq	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syal	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syal.g_02215
OG0000001	Praf	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Praf.g_01031
OG0000001	Prah	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Prah.g_01159
OG0000001	Syae	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syae.g_01416
OG0000001	Syam	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syam.g_02177
OG0000001	Syad	Syaa.g_02438, Syaa.g_02437	Syad.g_02864
OG0000001	Syaj	Syaa.g_02437	Syaj.g_01949
OG0000001	Syai	Syaa.g_02437	Syai.g_01197, Syai.g_02594
OG0000001	Syaf	Syaa.g_02437	Syaf.g_00846
OG0000001	Syah	Syaa.g_02437	Syah.g_01516
OG0000001	Syap	Syaa.g_02439	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Syas	Syaa.g_02439	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000001	Syao	Syaa.g_02439	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000001	Syan	Syaa.g_02439	Syan.g_02266
OG0000001	Syar	Syaa.g_02439	Syar.g_00070
OG0000001	Syat	Syaa.g_02439	Syat.g_02908, Syat.g_02909
OG0000001	Syai	Syaa.g_02439	Syai.g_00891
OG0000001	Syam	Syaa.g_02439	Syam.g_02178
OG0000001	Syab	Syaa.g_02329	Syab.g_01509, Syab.g_01510
OG0000001	Syag	Syaa.g_02329	Syag.g_00520
OG0000001	Syak	Syaa.g_02329	Syak.g_00275, Syak.g_00579
OG0000001	Syaq	Syaa.g_02329	Syaq.g_02178, Syaq.g_02413
OG0000001	Syan	Syaa.g_02329	Syan.g_01149
OG0000001	Syat	Syaa.g_02329	Syat.g_01540
OG0000001	Syaj	Syaa.g_02329	Syaj.g_02660
OG0000001	Syad	Syaa.g_02329	Syad.g_01238, Syad.g_00611
OG0000001	Syaf	Syaa.g_02329	Syaf.g_01634
OG0000001	Syai	Syaa.g_02329	Syai.g_01729
OG0000001	Syam	Syaa.g_02329	Syam.g_00929
OG0000001	Syac	Syaa.g_02329	Syac.g_02169
OG0000001	Syah	Syaa.g_02329	Syah.g_00710
OG0000001	Syae	Syaa.g_02329	Syae.g_02055
OG0000004	Syaq	Syaa.g_00892	Syaq.g_02603
OG0000004	Praj	Syaa.g_00892	Praj.g_01396
OG0000004	Prbc	Syaa.g_00892	Prbc.g_01381
OG0000004	Prbm	Syaa.g_00892	Prbm.g_01483
OG0000004	Prbb	Syaa.g_00892	Prbb.g_01450
OG0000004	Syan	Syaa.g_00892	Syan.g_00183
OG0000004	Syar	Syaa.g_00892	Syar.g_02051
OG0000004	Syas	Syaa.g_00892	Syas.g_00176
OG0000004	Syao	Syaa.g_00892	Syao.g_02374
OG0000004	Prbj	Syaa.g_00892	Prbj.g_00754
OG0000004	Prbk	Syaa.g_00892	Prbk.g_01760
OG0000004	Prbl	Syaa.g_00892	Prbl.g_00021
OG0000004	Praf	Syaa.g_00892	Praf.g_01121
OG0000004	Prah	Syaa.g_00892	Prah.g_01022
OG0000004	Prab	Syaa.g_00892	Prab.g_00700
OG0000004	Pran	Syaa.g_00892	Pran.g_01483
OG0000004	Prai	Syaa.g_00892	Prai.g_00724
OG0000004	Prad	Syaa.g_00892	Prad.g_01269
OG0000004	Praa	Syaa.g_00892	Praa.g_00695
OG0000004	Pray	Syaa.g_00892	Pray.g_01068
OG0000004	Praz	Syaa.g_00892	Praz.g_01635
OG0000004	Prba	Syaa.g_00892	Prba.g_01622
OG0000004	Prax	Syaa.g_00892	Prax.g_00947
OG0000004	Prag	Syaa.g_00892	Prag.g_00673
OG0000004	Praw	Syaa.g_00892	Praw.g_01827
OG0000004	Prac	Syaa.g_00892	Prac.g_00676
