Orthogroup	Praj	Other
OG0000013	Praj.g_01113	Prax.g_00410
OG0000018	Praj.g_01505, Praj.g_01281, Praj.g_00282	Prau.g_00243
OG0000024	Praj.g_00341, Praj.g_01609	Praa.g_01409
OG0000024	Praj.g_01609	Pras.g_00304
OG0000024	Praj.g_01609	Prae.g_01401
OG0000024	Praj.g_01609	Prau.g_01470
OG0000034	Praj.g_00095	Prau.g_01448
OG0000041	Praj.g_01242	Pras.g_01285
OG0000063	Praj.g_01355	Pral.g_01881
OG0000072	Praj.g_00357	Prax.g_01783
OG0000091	Praj.g_00209	Prae.g_01396
OG0000119	Praj.g_01835	Prac.g_01959
OG0001539	Praj.g_01219	Prao.g_00012
OG0001830	Praj.g_02056	Prav.g_01510
