Orthogroup	Prbf	Other
OG0000013	Prbf.g_00708	Prax.g_00410
OG0000024	Prbf.g_01647	Praa.g_01409
OG0000034	Prbf.g_00135	Praa.g_01447
OG0000034	Prbf.g_01380	Prau.g_01448
OG0000041	Prbf.g_00729, Prbf.g_00735	Pras.g_01285
OG0000066	Prbf.g_00115	Pras.g_00330
OG0000083	Prbf.g_00390	Prae.g_01306
OG0000088	Prbf.g_01443	Prad.g_00011
OG0000091	Prbf.g_01503	Prae.g_01396
OG0000110	Prbf.g_01850	Prae.g_01301
OG0000119	Prbf.g_00785	Prac.g_01959
OG0000124	Prbf.g_00253	Prau.g_01496
OG0000133	Prbf.g_00600	Prbc.g_01572
