Orthogroup	Prax	Other
OG0000013	Prax.g_00410	Prbc.g_00599
OG0000013	Prax.g_00410	Prbm.g_01427, Prbm.g_01149
OG0000013	Prax.g_00410	Prbb.g_01158
OG0000013	Prax.g_00410	Praj.g_01113
OG0000013	Prax.g_00410	Prap.g_01794
OG0000013	Prax.g_00410	Prbe.g_01000
OG0000013	Prax.g_00410	Prbg.g_01635
OG0000013	Prax.g_00410	Prbn.g_01730
OG0000013	Prax.g_00410	Prbf.g_00708
OG0000013	Prax.g_00410	Prak.g_01630
OG0000013	Prax.g_00410	Prbh.g_00840
OG0000013	Prax.g_00410	Pram.g_00696
OG0000013	Prax.g_00410	Praf.g_01033
OG0000063	Prax.g_01959	Pral.g_01881
OG0000072	Prax.g_01783	Praj.g_00357
OG0000072	Prax.g_01783	Prbb.g_00373
OG0000072	Prax.g_01783	Prbm.g_00377
OG0000072	Prax.g_01783	Prbc.g_01214
OG0000124	Prax.g_01789	Prau.g_01496
OG0000137	Prax.g_01411	Prah.g_00116
OG0001427	Prax.g_00801	Pral.g_01294
OG0001518	Prax.g_01588	Pras.g_00506
OG0001694	Prax.g_01756	Praf.g_02600
OG0001712	Prax.g_01814	Prai.g_01421
OG0001712	Prax.g_01814	Prar.g_00861
OG0001712	Prax.g_01814	Praq.g_00227
OG0001712	Prax.g_01814	Prac.g_00267
OG0001823	Prax.g_01807	Praf.g_00140
