Orthogroup	Prbm	Other
OG0000013	Prbm.g_01427, Prbm.g_01149	Prax.g_00410
OG0000018	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302	Prau.g_00243
OG0000024	Prbm.g_00362, Prbm.g_02126	Praa.g_01409
OG0000024	Prbm.g_02126	Pras.g_00304
OG0000024	Prbm.g_02126	Prae.g_01401
OG0000024	Prbm.g_02126	Prau.g_01470
OG0000032	Prbm.g_00391, Prbm.g_00393	Pral.g_01193
OG0000032	Prbm.g_00391, Prbm.g_00393	Prao.g_01364, Prao.g_01355
OG0000032	Prbm.g_00391, Prbm.g_00393	Prah.g_00091
OG0000032	Prbm.g_00391, Prbm.g_00393	Praf.g_00101, Praf.g_00113
OG0000032	Prbm.g_00391, Prbm.g_00393	Prbi.g_01467
OG0000032	Prbm.g_00391, Prbm.g_00393	Praw.g_01073
OG0000032	Prbm.g_00391, Prbm.g_00393	Prag.g_01446
OG0000032	Prbm.g_00391, Prbm.g_00393	Prat.g_01266
OG0000032	Prbm.g_00391, Prbm.g_00393	Prau.g_01469
OG0000032	Prbm.g_00391, Prbm.g_00393	Prae.g_01402
OG0000034	Prbm.g_00114	Prau.g_01448
OG0000041	Prbm.g_01351	Pras.g_01285
OG0000072	Prbm.g_00377	Prax.g_01783
OG0000091	Prbm.g_00228	Prae.g_01396
OG0000119	Prbm.g_01913	Prac.g_01959
OG0001539	Prbm.g_01327	Prao.g_00012
