Orthogroup	Prbg	Other
OG0000013	Prbg.g_01635	Prax.g_00410
OG0000024	Prbg.g_00086	Praa.g_01409
OG0000034	Prbg.g_00569	Praa.g_01447
OG0000034	Prbg.g_00816	Prau.g_01448
OG0000041	Prbg.g_01614, Prbg.g_01608	Pras.g_01285
OG0000066	Prbg.g_00549	Pras.g_00330
OG0000083	Prbg.g_00770	Prae.g_01306
OG0000088	Prbg.g_00887	Prad.g_00011
OG0000091	Prbg.g_00947	Prae.g_01396
OG0000110	Prbg.g_00287	Prae.g_01301
OG0000119	Prbg.g_00752	Prac.g_01959
OG0000124	Prbg.g_00687	Prau.g_01496
OG0000133	Prbg.g_01743	Prbc.g_01572
