Orthogroup	Prac	Other
OG0000063	Prac.g_01955	Pral.g_01881
OG0000119	Prac.g_01959	Prav.g_00036
OG0000119	Prac.g_01959	Praa.g_01130
OG0000119	Prac.g_01959	Prbk.g_02197
OG0000119	Prac.g_01959	Prbj.g_01992
OG0000119	Prac.g_01959	Prbl.g_02202
OG0000119	Prac.g_01959	Praf.g_02692
OG0000119	Prac.g_01959	Prah.g_02526
OG0000119	Prac.g_01959	Prak.g_01553
OG0000119	Prac.g_01959	Prbn.g_01653
OG0000119	Prac.g_01959	Prbg.g_00752
OG0000119	Prac.g_01959	Prbe.g_00044
OG0000119	Prac.g_01959	Prbf.g_00785
OG0000119	Prac.g_01959	Prap.g_01880
OG0000119	Prac.g_01959	Prat.g_01557
OG0000119	Prac.g_01959	Pral.g_00075
OG0000119	Prac.g_01959	Pram.g_01549
OG0000119	Prac.g_01959	Prbh.g_01865
OG0000119	Prac.g_01959	Praj.g_01835
OG0000119	Prac.g_01959	Prbb.g_01890
OG0000119	Prac.g_01959	Prbm.g_01913
OG0000119	Prac.g_01959	Prbc.g_00899
OG0000124	Prac.g_00448	Prau.g_01496
OG0000137	Prac.g_00057	Prah.g_00116
OG0001427	Prac.g_01161	Pral.g_01294
OG0001712	Prac.g_00267	Prax.g_01814
OG0001823	Prac.g_00274	Praf.g_00140
