Orthogroup	Prap	Other
OG0000013	Prap.g_01794	Prax.g_00410
OG0000024	Prap.g_01403	Praa.g_01409
OG0000034	Prap.g_00099	Praa.g_01447
OG0000034	Prap.g_00897	Prau.g_01448
OG0000041	Prap.g_01815, Prap.g_01821	Pras.g_01285
OG0000066	Prap.g_00079	Pras.g_00330
OG0000083	Prap.g_00051	Prae.g_01306
OG0000088	Prap.g_01061	Prad.g_00011
OG0000091	Prap.g_01001	Prae.g_01396
OG0000110	Prap.g_01200	Prae.g_01301
OG0000119	Prap.g_01880	Prac.g_01959
OG0000124	Prap.g_00217	Prau.g_01496
OG0000133	Prap.g_01685	Prbc.g_01572
