Orthogroup	Prau	Other
OG0000018	Prau.g_00243	Pral.g_00797
OG0000018	Prau.g_00243	Prbb.g_01560, Prbb.g_01328, Prbb.g_00299
OG0000018	Prau.g_00243	Prbm.g_01588, Prbm.g_01236, Prbm.g_00302
OG0000018	Prau.g_00243	Prbc.g_02202
OG0000018	Prau.g_00243	Praj.g_01505, Praj.g_01281, Praj.g_00282
OG0000024	Prau.g_01470	Praa.g_01409
OG0000024	Prau.g_01470	Praa.g_01409
OG0000024	Prau.g_01470	Prao.g_01213
OG0000024	Prau.g_01470	Prbc.g_00680
OG0000024	Prau.g_01470	Pras.g_00304
OG0000024	Prau.g_01470	Pras.g_00304
OG0000024	Prau.g_01470	Praj.g_01609
OG0000024	Prau.g_01470	Prbm.g_02126
OG0000024	Prau.g_01470	Pral.g_01261
OG0000024	Prau.g_01470	Prae.g_01401
OG0000024	Prau.g_01470	Prae.g_01401
OG0000024	Prau.g_01470	Prat.g_01267
OG0000024	Prau.g_01470	Praf.g_00112
OG0000032	Prau.g_01469	Prbm.g_00391, Prbm.g_00393
OG0000034	Prau.g_01448	Pras.g_00096
OG0000034	Prau.g_01448	Pram.g_01436, Pram.g_00040
OG0000034	Prau.g_01448	Prbh.g_00041, Prbh.g_00727
OG0000034	Prau.g_01448	Prah.g_02219
OG0000034	Prau.g_01448	Prbj.g_01487
OG0000034	Prau.g_01448	Prbk.g_00499
OG0000034	Prau.g_01448	Prbl.g_00870
OG0000034	Prau.g_01448	Praf.g_02366
OG0000034	Prau.g_01448	Prbc.g_00518, Prbc.g_00517
OG0000034	Prau.g_01448	Prbn.g_00724
OG0000034	Prau.g_01448	Prap.g_00897
OG0000034	Prau.g_01448	Prbg.g_00816
OG0000034	Prau.g_01448	Prak.g_00058
OG0000034	Prau.g_01448	Prbf.g_01380
OG0000034	Prau.g_01448	Prbe.g_00158
OG0000034	Prau.g_01448	Praj.g_00095
OG0000034	Prau.g_01448	Prbb.g_00112
OG0000034	Prau.g_01448	Prbm.g_00114
OG0000034	Prau.g_01448	Prat.g_00058
OG0000034	Prau.g_01448	Pral.g_00987
OG0000034	Prau.g_01448	Prad.g_00571
OG0000063	Prau.g_01318	Pral.g_01881
OG0000124	Prau.g_01496	Prax.g_01789
OG0000124	Prau.g_01496	Prbf.g_00253
OG0000124	Prau.g_01496	Prbn.g_00886
OG0000124	Prau.g_01496	Prbe.g_00215
OG0000124	Prau.g_01496	Prap.g_00217
OG0000124	Prau.g_01496	Prbg.g_00687
OG0000124	Prau.g_01496	Prak.g_01487
OG0000124	Prau.g_01496	Prac.g_00448
OG0000124	Prau.g_01496	Praq.g_00257
OG0000124	Prau.g_01496	Prar.g_00376
OG0000124	Prau.g_01496	Prae.g_01434
OG0000124	Prau.g_01496	Pral.g_01064
OG0000137	Prau.g_01942	Prah.g_00116
OG0001427	Prau.g_00375	Pral.g_01294
