Orthogroup	Pras	Other
OG0000024	Pras.g_00304	Praa.g_01409
OG0000024	Pras.g_00304	Praa.g_01409
OG0000024	Pras.g_00304	Prao.g_01213
OG0000024	Pras.g_00304	Prbc.g_00680
OG0000024	Pras.g_00304	Prat.g_01267
OG0000024	Pras.g_00304	Praf.g_00112
OG0000024	Pras.g_00304	Pral.g_01261
OG0000024	Pras.g_00304	Prbm.g_02126
OG0000024	Pras.g_00304	Praj.g_01609
OG0000024	Pras.g_00304	Prae.g_01401
OG0000024	Pras.g_00304	Prau.g_01470
OG0000024	Pras.g_00304	Prae.g_01401
OG0000024	Pras.g_00304	Prau.g_01470
OG0000034	Pras.g_00285	Praa.g_01447
OG0000034	Pras.g_00096	Prau.g_01448
OG0000041	Pras.g_01285	Prab.g_00405
OG0000041	Pras.g_01285	Pran.g_01778
OG0000041	Pras.g_01285	Prbb.g_01286
OG0000041	Pras.g_01285	Praj.g_01242
OG0000041	Pras.g_01285	Prbc.g_01315
OG0000041	Pras.g_01285	Prbm.g_01351
OG0000041	Pras.g_01285	Prbg.g_01614, Prbg.g_01608
OG0000041	Pras.g_01285	Prak.g_01609, Prak.g_01603
OG0000041	Pras.g_01285	Prbf.g_00729, Prbf.g_00735
OG0000041	Pras.g_01285	Prbe.g_01021, Prbe.g_01027
OG0000041	Pras.g_01285	Prbn.g_01709, Prbn.g_01703
OG0000041	Pras.g_01285	Prap.g_01815, Prap.g_01821
OG0000041	Pras.g_01285	Prat.g_01552, Prat.g_00613
OG0000041	Pras.g_01285	Prbh.g_01827
OG0000041	Pras.g_01285	Pram.g_01587
OG0000063	Pras.g_00150	Pral.g_01881
OG0000066	Pras.g_00330	Prbf.g_00115
OG0000066	Pras.g_00330	Prbn.g_00170
OG0000066	Pras.g_00330	Prap.g_00079
OG0000066	Pras.g_00330	Prbg.g_00549
OG0000066	Pras.g_00330	Prak.g_01349
OG0000066	Pras.g_00330	Prbe.g_00353
OG0000066	Pras.g_00330	Pram.g_01446
OG0000066	Pras.g_00330	Prbh.g_00031
OG0000066	Pras.g_00330	Prao.g_01215
OG0000066	Pras.g_00330	Prab.g_01447
OG0000066	Pras.g_00330	Pran.g_00752
OG0000066	Pras.g_00330	Praz.g_01118
OG0000066	Pras.g_00330	Pray.g_01808
OG0000066	Pras.g_00330	Prba.g_00175
OG0000066	Pras.g_00330	Prai.g_01443
OG0000070	Pras.g_00881	Prbc.g_01108
OG0000070	Pras.g_00191	Praf.g_01881, Praf.g_02620
OG0000070	Pras.g_00191	Prbc.g_00011
OG0000137	Pras.g_00761	Prah.g_00116
OG0001427	Pras.g_01225	Pral.g_01294
OG0001518	Pras.g_00506	Pray.g_01579
OG0001518	Pras.g_00506	Praz.g_00897
OG0001518	Pras.g_00506	Prba.g_00246
OG0001518	Pras.g_00506	Praa.g_01622
OG0001518	Pras.g_00506	Prax.g_01588
OG0001518	Pras.g_00506	Prae.g_01599
OG0001629	Pras.g_00230	Prar.g_01072
