Orthogroup	Prak	Other
OG0000013	Prak.g_01630	Prax.g_00410
OG0000024	Prak.g_00325	Praa.g_01409
OG0000034	Prak.g_01369	Praa.g_01447
OG0000034	Prak.g_00058	Prau.g_01448
OG0000041	Prak.g_01609, Prak.g_01603	Pras.g_01285
OG0000066	Prak.g_01349	Pras.g_00330
OG0000083	Prak.g_00003	Prae.g_01306
OG0000088	Prak.g_00121	Prad.g_00011
OG0000091	Prak.g_00181	Prae.g_01396
OG0000110	Prak.g_00529	Prae.g_01301
OG0000119	Prak.g_01553	Prac.g_01959
OG0000124	Prak.g_01487	Prau.g_01496
OG0000133	Prak.g_01738	Prbc.g_01572
