Orthogroup	Pram	Other
OG0000013	Pram.g_00696	Prax.g_00410
OG0000024	Pram.g_00295	Praa.g_01409
OG0000034	Pram.g_01436, Pram.g_00040	Prau.g_01448
OG0000041	Pram.g_01587	Pras.g_01285
OG0000066	Pram.g_01446	Pras.g_00330
OG0000070	Pram.g_01611	Prbc.g_01108
OG0000083	Pram.g_01941	Prae.g_01306
OG0000088	Pram.g_00099	Prad.g_00011
OG0000091	Pram.g_00154	Prae.g_01396
OG0000110	Pram.g_00507	Prae.g_01301
OG0000119	Pram.g_01549	Prac.g_01959
OG0000133	Pram.g_01728	Prbc.g_01572
OG0001823	Pram.g_01431	Praf.g_00140
