Orthogroup	Praf	Other
OG0000013	Praf.g_01033	Prax.g_00410
OG0000024	Praf.g_02319, Praf.g_00112	Praa.g_01409
OG0000024	Praf.g_00112	Pras.g_00304
OG0000024	Praf.g_00112	Prae.g_01401
OG0000024	Praf.g_00112	Prau.g_01470
OG0000032	Praf.g_00101, Praf.g_00113	Prbm.g_00391, Prbm.g_00393
OG0000034	Praf.g_02366	Prau.g_01448
OG0000070	Praf.g_01881, Praf.g_02620	Pras.g_00191
OG0000070	Praf.g_01881, Praf.g_02620	Prbc.g_00011
OG0000070	Praf.g_01881, Praf.g_02620	Prbc.g_00011
OG0000070	Praf.g_01881, Praf.g_02620	Prav.g_01421
OG0000070	Praf.g_01881, Praf.g_02620	Pral.g_01041
OG0000083	Praf.g_00003	Prae.g_01306
OG0000110	Praf.g_00711	Prae.g_01301
OG0000119	Praf.g_02692	Prac.g_01959
OG0001694	Praf.g_02600	Prax.g_01756
OG0001694	Praf.g_02600	Pran.g_00817
OG0001694	Praf.g_02600	Prab.g_01384
OG0001694	Praf.g_02600	Prai.g_00778
OG0001823	Praf.g_00140	Praq.g_00234
OG0001823	Praf.g_00140	Prac.g_00274
OG0001823	Praf.g_00140	Prar.g_00854
OG0001823	Praf.g_00140	Prax.g_01807
OG0001823	Praf.g_00140	Pram.g_01431
OG0001823	Praf.g_00140	Prbh.g_00046
OG0001823	Praf.g_00140	Prab.g_01388
OG0001823	Praf.g_00140	Pran.g_00813
OG0001830	Praf.g_00096	Prav.g_01510
