Orthogroup	Prbn	Other
OG0000013	Prbn.g_01730	Prax.g_00410
OG0000024	Prbn.g_00074	Praa.g_01409
OG0000034	Prbn.g_00190	Praa.g_01447
OG0000034	Prbn.g_00724	Prau.g_01448
OG0000041	Prbn.g_01709, Prbn.g_01703	Pras.g_01285
OG0000066	Prbn.g_00170	Pras.g_00330
OG0000083	Prbn.g_00011	Prae.g_01306
OG0000088	Prbn.g_01304	Prad.g_00011
OG0000091	Prbn.g_01244	Prae.g_01396
OG0000110	Prbn.g_00547	Prae.g_01301
OG0000119	Prbn.g_01653	Prac.g_01959
OG0000124	Prbn.g_00886	Prau.g_01496
OG0000133	Prbn.g_01839	Prbc.g_01572
