Orthogroup	Prbe	Other
OG0000013	Prbe.g_01000	Prax.g_00410
OG0000024	Prbe.g_01861	Praa.g_01409
OG0000034	Prbe.g_00333	Praa.g_01447
OG0000034	Prbe.g_00158	Prau.g_01448
OG0000041	Prbe.g_01021, Prbe.g_01027	Pras.g_01285
OG0000066	Prbe.g_00353	Pras.g_00330
OG0000083	Prbe.g_01068	Prae.g_01306
OG0000088	Prbe.g_01657	Prad.g_00011
OG0000091	Prbe.g_01717	Prae.g_01396
OG0000110	Prbe.g_00566	Prae.g_01301
OG0000119	Prbe.g_00044	Prac.g_01959
OG0000124	Prbe.g_00215	Prau.g_01496
OG0000133	Prbe.g_01088	Prbc.g_01572
