Orthogroup	Prbh	Other
OG0000013	Prbh.g_00840	Prax.g_00410
OG0000024	Prbh.g_00472	Praa.g_01409
OG0000034	Prbh.g_00041, Prbh.g_00727	Prau.g_01448
OG0000041	Prbh.g_01827	Pras.g_01285
OG0000066	Prbh.g_00031	Pras.g_00330
OG0000070	Prbh.g_01803	Prbc.g_01108
OG0000083	Prbh.g_01473	Prae.g_01306
OG0000088	Prbh.g_00668	Prad.g_00011
OG0000091	Prbh.g_00613	Prae.g_01396
OG0000110	Prbh.g_00260	Prae.g_01301
OG0000119	Prbh.g_01865	Prac.g_01959
OG0000133	Prbh.g_01686	Prbc.g_01572
OG0001823	Prbh.g_00046	Praf.g_00140
