Orthogroup	Prbc	Other
OG0000013	Prbc.g_00599	Prax.g_00410
OG0000018	Prbc.g_02202	Prau.g_00243
OG0000024	Prbc.g_01198, Prbc.g_00680	Praa.g_01409
OG0000024	Prbc.g_00680	Pras.g_00304
OG0000024	Prbc.g_00680	Prae.g_01401
OG0000024	Prbc.g_00680	Prau.g_01470
OG0000034	Prbc.g_00518, Prbc.g_00517	Prau.g_01448
OG0000041	Prbc.g_01315	Pras.g_01285
OG0000063	Prbc.g_00102	Pral.g_01881
OG0000070	Prbc.g_01108	Pras.g_00881
OG0000070	Prbc.g_01108	Prbi.g_01276
OG0000070	Prbc.g_01108	Prar.g_00932
OG0000070	Prbc.g_01108	Pray.g_01942
OG0000070	Prbc.g_01108	Prba.g_01120
OG0000070	Prbc.g_01108	Praz.g_01253
OG0000070	Prbc.g_01108	Pram.g_01611
OG0000070	Prbc.g_01108	Prbh.g_01803
OG0000070	Prbc.g_00011	Praf.g_01881, Praf.g_02620
OG0000070	Prbc.g_00011	Prav.g_01421
OG0000070	Prbc.g_00011	Pral.g_01041
OG0000070	Prbc.g_00011	Praf.g_01881, Praf.g_02620
OG0000070	Prbc.g_00011	Pras.g_00191
OG0000072	Prbc.g_01214	Prax.g_01783
OG0000091	Prbc.g_00402	Prae.g_01396
OG0000119	Prbc.g_00899	Prac.g_01959
OG0000133	Prbc.g_01572	Pram.g_01728
OG0000133	Prbc.g_01572	Prbh.g_01686
OG0000133	Prbc.g_01572	Prbg.g_01743
OG0000133	Prbc.g_01572	Prbe.g_01088
OG0000133	Prbc.g_01572	Prak.g_01738
OG0000133	Prbc.g_01572	Prbf.g_00600
OG0000133	Prbc.g_01572	Prbn.g_01839
OG0000133	Prbc.g_01572	Prap.g_01685
OG0001539	Prbc.g_01291	Prao.g_00012
