Orthogroup	Praq	Prbe
OG0000000	Praq.g_01956, Praq.g_00026	Prbe.g_01119
OG0000000	Praq.g_00025, Praq.g_01392	Prbe.g_01052, Prbe.g_01120, Prbe.g_01586
OG0000001	Praq.g_00168	Prbe.g_01285, Prbe.g_01290
OG0000001	Praq.g_00807	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584
OG0000002	Praq.g_01393, Praq.g_01394	Prbe.g_00112
OG0000002	Praq.g_00160	Prbe.g_00400
OG0000004	Praq.g_00115, Praq.g_00028	Prbe.g_01587
OG0000005	Praq.g_00614	Prbe.g_01628
OG0000006	Praq.g_00097, Praq.g_00081, Praq.g_00628, Praq.g_01283	Prbe.g_00081
OG0000008	Praq.g_01105	Prbe.g_00636
OG0000008	Praq.g_00497	Prbe.g_00985
OG0000010	Praq.g_00649	Prbe.g_01573
OG0000010	Praq.g_01753	Prbe.g_01802
OG0000011	Praq.g_01168	Prbe.g_01091
OG0000011	Praq.g_00627	Prbe.g_01054, Prbe.g_01133, Prbe.g_00025
OG0000013	Praq.g_00017, Praq.g_01898	Prbe.g_00216
OG0000014	Praq.g_01696	Prbe.g_01861
OG0000015	Praq.g_01137	Prbe.g_01921
OG0000016	Praq.g_00065	Prbe.g_01046, Prbe.g_01000
OG0000017	Praq.g_00521	Prbe.g_01121, Prbe.g_00012
OG0000018	Praq.g_01004	Prbe.g_00536, Prbe.g_00529
OG0000019	Praq.g_01161	Prbe.g_01024, Prbe.g_01130
OG0000020	Praq.g_00171	Prbe.g_01603, Prbe.g_00214
OG0000021	Praq.g_01246	Prbe.g_00290, Prbe.g_01040
OG0000022	Praq.g_01761	Prbe.g_01794
OG0000023	Praq.g_01179	Prbe.g_01208
OG0000024	Praq.g_00109	Prbe.g_00013, Prbe.g_01595
OG0000025	Praq.g_00618	Prbe.g_01415, Prbe.g_00449
OG0000028	Praq.g_00071	Prbe.g_00036
OG0000029	Praq.g_00650	Prbe.g_01598, Prbe.g_01011
OG0000030	Praq.g_00651	Prbe.g_01003
OG0000031	Praq.g_00770	Prbe.g_00766
OG0000032	Praq.g_00075	Prbe.g_00021
OG0000034	Praq.g_00294	Prbe.g_00311
OG0000035	Praq.g_00018, Praq.g_00056	Prbe.g_00678
OG0000036	Praq.g_01281	Prbe.g_00204
OG0000041	Praq.g_00979	Prbe.g_00511, Prbe.g_00196
OG0000043	Praq.g_01475	Prbe.g_00074
OG0000045	Praq.g_01018	Prbe.g_00996, Prbe.g_00549
OG0000046	Praq.g_00635	Prbe.g_00220
OG0000047	Praq.g_01333	Prbe.g_01549
OG0000049	Praq.g_00218, Praq.g_00271	Prbe.g_00351
OG0000050	Praq.g_01836	Prbe.g_01714
OG0000051	Praq.g_01184	Prbe.g_00062
OG0000053	Praq.g_00583	Prbe.g_01214
OG0000055	Praq.g_01243, Praq.g_00763	Prbe.g_00774
OG0000056	Praq.g_01234	Prbe.g_00132
OG0000057	Praq.g_01845, Praq.g_00554	Prbe.g_01705
OG0000058	Praq.g_01173	Prbe.g_00740
OG0000059	Praq.g_01063	Prbe.g_00596, Prbe.g_01114
OG0000062	Praq.g_01420	Prbe.g_01245
OG0000065	Praq.g_01765	Prbe.g_01789
OG0000066	Praq.g_00526	Prbe.g_00658
OG0000067	Praq.g_00827	Prbe.g_01206
OG0000070	Praq.g_01619	Prbe.g_01297
OG0000071	Praq.g_00084	Prbe.g_01522
OG0000072	Praq.g_00133	Prbe.g_00893
OG0000073	Praq.g_00154	Prbe.g_00010
OG0000074	Praq.g_00208	Prbe.g_00353
OG0000075	Praq.g_00879	Prbe.g_00836
OG0000077	Praq.g_00437	Prbe.g_01076
OG0000078	Praq.g_01680	Prbe.g_01875
OG0000079	Praq.g_01160	Prbe.g_00911
OG0000080	Praq.g_00798	Prbe.g_01449
OG0000081	Praq.g_00820	Prbe.g_00466
OG0000082	Praq.g_00677	Prbe.g_01229
OG0000083	Praq.g_01469	Prbe.g_01570
OG0000084	Praq.g_01548	Prbe.g_01350
OG0000085	Praq.g_01667	Prbe.g_01594
OG0000086	Praq.g_01300	Prbe.g_00041
OG0000090	Praq.g_00216	Prbe.g_00350
OG0000091	Praq.g_00302	Prbe.g_00303
