Orthogroup	Praq	Prbb
OG0000000	Praq.g_01956	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785
OG0000000	Praq.g_00026	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Praq.g_00025, Praq.g_01392	Prbb.g_01145, Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787
OG0000001	Praq.g_00168	Prbb.g_00844
OG0000001	Praq.g_00807	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000002	Praq.g_01393, Praq.g_01394	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157
OG0000002	Praq.g_00160	Prbb.g_01611
OG0000003	Praq.g_01242	Prbb.g_01570, Prbb.g_00045, Prbb.g_01562
OG0000004	Praq.g_00115, Praq.g_00028	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792
OG0000005	Praq.g_00614	Prbb.g_00425, Prbb.g_00748
OG0000006	Praq.g_00097, Praq.g_00081, Praq.g_00628, Praq.g_01283	Prbb.g_01294
OG0000008	Praq.g_01105	Prbb.g_00501
OG0000008	Praq.g_00497	Prbb.g_01823
OG0000010	Praq.g_00649	Prbb.g_00757, Prbb.g_00761
OG0000011	Praq.g_00627	Prbb.g_01800
OG0000014	Praq.g_01696	Prbb.g_00357
OG0000015	Praq.g_01137	Prbb.g_00421
OG0000015	Praq.g_01672	Prbb.g_00386
OG0000016	Praq.g_00065	Prbb.g_01158
OG0000017	Praq.g_00521	Prbb.g_01375
OG0000018	Praq.g_01004	Prbb.g_00598
OG0000019	Praq.g_01161	Prbb.g_01189
OG0000020	Praq.g_00171	Prbb.g_01632
OG0000021	Praq.g_01246, Praq.g_00314	Prbb.g_01705
OG0000022	Praq.g_01761	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299
