Orthogroup	Syal	Prbl
OG0000000	Syal.g_01111, Syal.g_01832	Prbl.g_00118, Prbl.g_00117
OG0000001	Syal.g_00874, Syal.g_01184	Prbl.g_00808, Prbl.g_02598
OG0000004	Syal.g_01809	Prbl.g_00021
OG0000004	Syal.g_02718, Syal.g_00691	Prbl.g_01771
OG0000005	Syal.g_00565	Prbl.g_00419
OG0000006	Syal.g_02611, Syal.g_00674	Prbl.g_02601
OG0000007	Syal.g_02918	Prbl.g_00531
OG0000007	Syal.g_00587	Prbl.g_00394
OG0000008	Syal.g_02512	Prbl.g_01855
OG0000008	Syal.g_01783	Prbl.g_01854
OG0000009	Syal.g_00818	Prbl.g_00155, Prbl.g_00554
OG0000010	Syal.g_00464	Prbl.g_01341
OG0000013	Syal.g_00315, Syal.g_00322, Syal.g_00310	Prbl.g_01183
OG0000014	Syal.g_01305	Prbl.g_01416
OG0000015	Syal.g_02210, Syal.g_01183	Prbl.g_01566
OG0000017	Syal.g_02752	Prbl.g_01763
OG0000017	Syal.g_02745	Prbl.g_01755
OG0000018	Syal.g_00410	Prbl.g_00694
OG0000019	Syal.g_01209	Prbl.g_01097, Prbl.g_01509
OG0000022	Syal.g_02587	Prbl.g_01072
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prbl.g_02355
OG0000024	Syal.g_02597	Prbl.g_00040
OG0000025	Syal.g_02459	Prbl.g_01539
OG0000026	Syal.g_00132	Prbl.g_01977
OG0000028	Syal.g_01319	Prbl.g_00900
OG0000029	Syal.g_03014	Prbl.g_01163
OG0000030	Syal.g_01511	Prbl.g_02061
OG0000030	Syal.g_01512	Prbl.g_02060
OG0000031	Syal.g_01404, Syal.g_01432	Prbl.g_00835, Prbl.g_00830
OG0000032	Syal.g_00428	Prbl.g_00712
OG0000032	Syal.g_00183	Prbl.g_00889
OG0000033	Syal.g_00912	Prbl.g_00278
OG0000034	Syal.g_00881, Syal.g_01586	Prbl.g_01734
OG0000035	Syal.g_00020	Prbl.g_00242
OG0000037	Syal.g_00601, Syal.g_00824	Prbl.g_00548
OG0000038	Syal.g_01071	Prbl.g_02235
OG0000038	Syal.g_01073	Prbl.g_02233
OG0000039	Syal.g_01097	Prbl.g_01272
OG0000041	Syal.g_00649	Prbl.g_00339
OG0000042	Syal.g_01705, Syal.g_01508	Prbl.g_01236, Prbl.g_01121
OG0000045	Syal.g_01563	Prbl.g_00609
OG0000046	Syal.g_00316, Syal.g_00321, Syal.g_00309	Prbl.g_01184
OG0000047	Syal.g_01568	Prbl.g_00719, Prbl.g_01574
OG0000048	Syal.g_01250	Prbl.g_01465
OG0000051	Syal.g_03018	Prbl.g_02385
OG0000052	Syal.g_01338	Prbl.g_00870
OG0000053	Syal.g_00406	Prbl.g_00691
OG0000054	Syal.g_02739, Syal.g_02098	Prbl.g_01752
OG0000057	Syal.g_01812	Prbl.g_00025
OG0000058	Syal.g_01326	Prbl.g_00890
OG0000059	Syal.g_01332	Prbl.g_00836
OG0000059	Syal.g_00225	Prbl.g_00952
OG0000060	Syal.g_02895	Prbl.g_00508
OG0000061	Syal.g_01653	Prbl.g_02084
OG0000062	Syal.g_00567	Prbl.g_00417
OG0000063	Syal.g_00136	Prbl.g_01981
OG0000065	Syal.g_00820	Prbl.g_00552
OG0000066	Syal.g_02828	Prbl.g_00752
OG0000067	Syal.g_02414	Prbl.g_02335
OG0000068	Syal.g_02888	Prbl.g_00502
OG0000070	Syal.g_00509	Prbl.g_00634
OG0000071	Syal.g_02099, Syal.g_01601	Prbl.g_01722
OG0000072	Syal.g_00914	Prbl.g_00276
OG0000073	Syal.g_02920	Prbl.g_00533
OG0000075	Syal.g_01350	Prbl.g_00855
OG0000076	Syal.g_01459	Prbl.g_01285
OG0000077	Syal.g_00506	Prbl.g_00631
OG0000078	Syal.g_00680	Prbl.g_00193
OG0000079	Syal.g_01213	Prbl.g_01505
OG0000081	Syal.g_02555	Prbl.g_01036, Prbl.g_00032
OG0000082	Syal.g_02769	Prbl.g_01783
OG0000084	Syal.g_01896, Syal.g_00023	Prbl.g_00246
OG0000085	Syal.g_00575	Prbl.g_00405
OG0000086	Syal.g_00784	Prbl.g_00583
OG0000087	Syal.g_00871	Prbl.g_00810
OG0000088	Syal.g_00908	Prbl.g_00281, Prbl.g_01838
OG0000089	Syal.g_00555	Prbl.g_02674
OG0000090	Syal.g_02838	Prbl.g_00766
OG0000091	Syal.g_02628	Prbl.g_01647
OG0000093	Syal.g_02233	Prbl.g_02359
OG0000094	Syal.g_01907	Prbl.g_02209
OG0000095	Syal.g_01823	Prbl.g_00927
OG0000097	Syal.g_01735	Prbl.g_02579
OG0000098	Syal.g_02196	Prbl.g_00722
OG0000099	Syal.g_01323	Prbl.g_00893
OG0000100	Syal.g_02448	Prbl.g_01914, Prbl.g_02305
OG0000101	Syal.g_00275	Prbl.g_01000
OG0000102	Syal.g_01488	Prbl.g_02636
OG0000103	Syal.g_00077, Syal.g_01897	Prbl.g_02139
OG0000104	Syal.g_00092	Prbl.g_02125
OG0000105	Syal.g_01255	Prbl.g_01461
OG0000106	Syal.g_02577	Prbl.g_00411
OG0000107	Syal.g_00194	Prbl.g_02681
OG0000108	Syal.g_02897	Prbl.g_00511
OG0000109	Syal.g_02913	Prbl.g_00527
OG0000110	Syal.g_02782	Prbl.g_01795
OG0000111	Syal.g_01813	Prbl.g_00026
OG0000112	Syal.g_02000	Prbl.g_02470
OG0000113	Syal.g_02443	Prbl.g_02310
OG0000114	Syal.g_02286	Prbl.g_02407
OG0000115	Syal.g_00404	Prbl.g_00687
OG0000116	Syal.g_01630	Prbl.g_02069
OG0000117	Syal.g_01704	Prbl.g_01384
OG0000118	Syal.g_01583	Prbl.g_01736
OG0000119	Syal.g_02056	Prbl.g_00007, Prbl.g_00046
OG0000120	Syal.g_01324	Prbl.g_00892
OG0000121	Syal.g_00374	Prbl.g_00234, Prbl.g_00240
OG0000122	Syal.g_02602	Prbl.g_01808
OG0000123	Syal.g_00283	Prbl.g_01135
OG0000124	Syal.g_01519	Prbl.g_02054
OG0000125	Syal.g_01075	Prbl.g_02231
OG0000126	Syal.g_00090	Prbl.g_02127
OG0000128	Syal.g_00109	Prbl.g_02109
OG0000129	Syal.g_01062	Prbl.g_02243
OG0000130	Syal.g_00751	Prbl.g_00608
OG0000131	Syal.g_00886	Prbl.g_00303
OG0000132	Syal.g_00906	Prbl.g_00283
OG0000133	Syal.g_01995	Prbl.g_00897
OG0000134	Syal.g_00552	Prbl.g_02677
OG0000135	Syal.g_01119	Prbl.g_02190
OG0000136	Syal.g_00520	Prbl.g_00647
OG0000137	Syal.g_00463	Prbl.g_01340
OG0000138	Syal.g_02914	Prbl.g_00528
OG0000139	Syal.g_02832	Prbl.g_00760
OG0000140	Syal.g_02830	Prbl.g_00754
OG0000141	Syal.g_02738	Prbl.g_01751
OG0000142	Syal.g_02636	Prbl.g_01639
OG0000143	Syal.g_02632	Prbl.g_01643
OG0000144	Syal.g_02515	Prbl.g_01042
OG0000145	Syal.g_02921	Prbl.g_00534
OG0000146	Syal.g_02001	Prbl.g_02469
OG0000147	Syal.g_02002	Prbl.g_02468
OG0000148	Syal.g_02437	Prbl.g_02316
OG0000149	Syal.g_02475	Prbl.g_01552
OG0000150	Syal.g_02737	Prbl.g_01576
OG0000151	Syal.g_02263	Prbl.g_02386
OG0000152	Syal.g_01991	Prbl.g_02478
OG0000153	Syal.g_01958	Prbl.g_02505
OG0000154	Syal.g_01918	Prbl.g_02532
OG0000155	Syal.g_01695	Prbl.g_00185
OG0000156	Syal.g_01620	Prbl.g_00115
OG0000157	Syal.g_01619	Prbl.g_00114
OG0000158	Syal.g_01431	Prbl.g_00843
OG0000160	Syal.g_00372	Prbl.g_00241
OG0000161	Syal.g_00384	Prbl.g_00227
OG0000162	Syal.g_00396	Prbl.g_00221
OG0000163	Syal.g_02971	Prbl.g_00452
OG0000164	Syal.g_00623	Prbl.g_00365
OG0000165	Syal.g_00632	Prbl.g_00356
OG0000166	Syal.g_00236	Prbl.g_00962
OG0000167	Syal.g_01347	Prbl.g_00857
OG0000168	Syal.g_01433	Prbl.g_00842
OG0000169	Syal.g_01447	Prbl.g_01302
OG0000170	Syal.g_01454	Prbl.g_01290
OG0000171	Syal.g_01518	Prbl.g_02055
OG0000172	Syal.g_00174, Syal.g_00173	Prbl.g_02021
OG0000173	Syal.g_00155	Prbl.g_02000
OG0000174	Syal.g_01121	Prbl.g_02188
OG0000175	Syal.g_01172	Prbl.g_02150
OG0000176	Syal.g_00101	Prbl.g_02117
OG0000177	Syal.g_00102	Prbl.g_02116
OG0000178	Syal.g_00103	Prbl.g_02115
OG0000179	Syal.g_00118	Prbl.g_01961
OG0000180	Syal.g_00119	Prbl.g_01962
OG0000181	Syal.g_00120	Prbl.g_01963
OG0000182	Syal.g_00121	Prbl.g_01964
OG0000183	Syal.g_00125	Prbl.g_01968
OG0000184	Syal.g_02678	Prbl.g_02251
OG0000186	Syal.g_02684, Syal.g_00747	Prbl.g_00614
OG0000187	Syal.g_02685, Syal.g_00748	Prbl.g_00613
OG0000188	Syal.g_00771	Prbl.g_00591
OG0000189	Syal.g_00807	Prbl.g_00565
OG0000190	Syal.g_01364	Prbl.g_00563
OG0000191	Syal.g_00841	Prbl.g_01325
OG0000192	Syal.g_00847	Prbl.g_01316
OG0000193	Syal.g_00887	Prbl.g_00302
OG0000194	Syal.g_00890	Prbl.g_00299
OG0000195	Syal.g_00892	Prbl.g_00297
OG0000196	Syal.g_00903	Prbl.g_00286
OG0000197	Syal.g_00904	Prbl.g_00285
OG0000198	Syal.g_00905	Prbl.g_00284
OG0000199	Syal.g_00913	Prbl.g_00277
OG0000200	Syal.g_00932	Prbl.g_00069
OG0000201	Syal.g_00949	Prbl.g_00088
OG0000202	Syal.g_00950	Prbl.g_00089
OG0000203	Syal.g_00951	Prbl.g_00090
OG0000204	Syal.g_00952	Prbl.g_00091
OG0000205	Syal.g_00959	Prbl.g_00098
OG0000206	Syal.g_00971	Prbl.g_01282
OG0000207	Syal.g_00974	Prbl.g_00130
OG0000208	Syal.g_00975	Prbl.g_00129
OG0000209	Syal.g_01000	Prbl.g_01256
OG0000210	Syal.g_01001	Prbl.g_01257
