Orthogroup	Syal	Syaf
OG0000001	Syal.g_02215	Syaf.g_00846
OG0000001	Syal.g_00874, Syal.g_01184	Syaf.g_00845
OG0000004	Syal.g_01809	Syaf.g_01455
OG0000004	Syal.g_02718	Syaf.g_02351
OG0000004	Syal.g_00691	Syaf.g_02794
OG0000005	Syal.g_00606	Syaf.g_01017
OG0000005	Syal.g_00565	Syaf.g_01057
OG0000005	Syal.g_01664	Syaf.g_01352, Syaf.g_01732
OG0000006	Syal.g_02611	Syaf.g_02288
OG0000006	Syal.g_00674	Syaf.g_00179, Syaf.g_02778
OG0000007	Syal.g_02918	Syaf.g_02702
OG0000007	Syal.g_00587	Syaf.g_01033
OG0000008	Syal.g_02512	Syaf.g_01479
OG0000008	Syal.g_01783	Syaf.g_01480
OG0000009	Syal.g_00818	Syaf.g_00905
OG0000010	Syal.g_00464	Syaf.g_02499
OG0000011	Syal.g_00702	Syaf.g_01483
OG0000012	Syal.g_02535, Syal.g_01639	Syaf.g_01693
OG0000013	Syal.g_00315	Syaf.g_00056
OG0000013	Syal.g_00322	Syaf.g_00044
OG0000013	Syal.g_00310	Syaf.g_00061
OG0000014	Syal.g_01305	Syaf.g_00280
OG0000016	Syal.g_00111	Syaf.g_00484
OG0000016	Syal.g_01734	Syaf.g_01576
OG0000017	Syal.g_02752	Syaf.g_02561
OG0000017	Syal.g_02745	Syaf.g_02554
OG0000018	Syal.g_00410	Syaf.g_02451
OG0000019	Syal.g_01209	Syaf.g_00193
OG0000022	Syal.g_02587	Syaf.g_02256
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Syaf.g_01995
OG0000024	Syal.g_02597	Syaf.g_01484
OG0000025	Syal.g_02459	Syaf.g_01385
OG0000026	Syal.g_00132	Syaf.g_00461
OG0000027	Syal.g_02543	Syaf.g_01688
OG0000028	Syal.g_01319	Syaf.g_00297
OG0000029	Syal.g_03014	Syaf.g_01761
OG0000030	Syal.g_01511	Syaf.g_00406
OG0000030	Syal.g_01512	Syaf.g_00407
OG0000031	Syal.g_01404, Syal.g_01432	Syaf.g_00314
OG0000032	Syal.g_00428	Syaf.g_02471
OG0000033	Syal.g_00912	Syaf.g_00807
