Orthogroup	Syal	Syac
OG0000001	Syal.g_00874, Syal.g_01184	Syac.g_00341, Syac.g_00340
OG0000004	Syal.g_01809	Syac.g_00898
OG0000004	Syal.g_02718	Syac.g_00948
OG0000004	Syal.g_00691	Syac.g_01975
OG0000005	Syal.g_00606	Syac.g_00527
OG0000005	Syal.g_00565	Syac.g_00569
OG0000005	Syal.g_01664	Syac.g_01087
OG0000006	Syal.g_02611	Syac.g_01002
OG0000006	Syal.g_00674	Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Syal.g_02918	Syac.g_01885
OG0000007	Syal.g_00587	Syac.g_00544
OG0000008	Syal.g_02512	Syac.g_00921
OG0000008	Syal.g_01783	Syac.g_00922
OG0000009	Syal.g_00818	Syac.g_01004, Syac.g_00398
OG0000010	Syal.g_00464	Syac.g_01701
OG0000011	Syal.g_00702	Syac.g_00924
OG0000012	Syal.g_02535, Syal.g_01639	Syac.g_01577
OG0000013	Syal.g_00315	Syac.g_02056
OG0000013	Syal.g_00322	Syac.g_02046
OG0000013	Syal.g_00310	Syac.g_02062
OG0000014	Syal.g_01305	Syac.g_00253
OG0000014	Syal.g_01393	Syac.g_00100
OG0000016	Syal.g_00111	Syac.g_00014
OG0000016	Syal.g_01734	Syac.g_01505
OG0000017	Syal.g_02752	Syac.g_01749
OG0000017	Syal.g_02745	Syac.g_01742
OG0000018	Syal.g_00410	Syac.g_01660
OG0000019	Syal.g_01209	Syac.g_02207
OG0000022	Syal.g_02587	Syac.g_01031
OG0000024	Syal.g_02597	Syac.g_00925
OG0000025	Syal.g_02459	Syac.g_00847
OG0000026	Syal.g_00132	Syac.g_00034
OG0000027	Syal.g_02543	Syac.g_01095
OG0000028	Syal.g_01319	Syac.g_00237
OG0000029	Syal.g_03014	Syac.g_01942
OG0000030	Syal.g_01511	Syac.g_00143
OG0000030	Syal.g_01512	Syac.g_00142
OG0000031	Syal.g_01404, Syal.g_01432	Syac.g_00232
OG0000032	Syal.g_00428	Syac.g_01677
OG0000033	Syal.g_00912	Syac.g_00304
OG0000034	Syal.g_00881, Syal.g_01586	Syac.g_00334, Syac.g_00715
OG0000035	Syal.g_00370, Syal.g_00020	Syac.g_01630
OG0000037	Syal.g_00601	Syac.g_01077
OG0000038	Syal.g_01071	Syac.g_02357
OG0000038	Syal.g_01073	Syac.g_02358
OG0000039	Syal.g_01097	Syac.g_02378
OG0000040	Syal.g_01187	Syac.g_01006
OG0000040	Syal.g_01149	Syac.g_02437
OG0000041	Syal.g_00649	Syac.g_00655, Syac.g_00876
OG0000042	Syal.g_01705, Syal.g_01508	Syac.g_00146
OG0000043	Syal.g_01110	Syac.g_00808
OG0000043	Syal.g_02547	Syac.g_01100
OG0000044	Syal.g_01847	Syac.g_00858
OG0000045	Syal.g_01563	Syac.g_00576
OG0000046	Syal.g_00316	Syac.g_02055
OG0000046	Syal.g_00321	Syac.g_02047
OG0000046	Syal.g_00309	Syac.g_02063
OG0000047	Syal.g_01568	Syac.g_02031
OG0000048	Syal.g_01250	Syac.g_02240
OG0000050	Syal.g_01549	Syac.g_01937
OG0000051	Syal.g_01550	Syac.g_01073
OG0000052	Syal.g_01338	Syac.g_00207
OG0000053	Syal.g_00406	Syac.g_01657
OG0000054	Syal.g_02098	Syac.g_01050
OG0000055	Syal.g_01845	Syac.g_00859
OG0000058	Syal.g_01326	Syac.g_00226
OG0000059	Syal.g_00225	Syac.g_02142
OG0000060	Syal.g_02895	Syac.g_01909
OG0000061	Syal.g_01653	Syac.g_00769
OG0000062	Syal.g_00567	Syac.g_00567
OG0000063	Syal.g_00136	Syac.g_00037
OG0000064	Syal.g_01545	Syac.g_00575
OG0000064	Syal.g_01681	Syac.g_01567
OG0000065	Syal.g_02528	Syac.g_00490
OG0000067	Syal.g_02414	Syac.g_01341
OG0000068	Syal.g_02888	Syac.g_01916
OG0000070	Syal.g_00509	Syac.g_00711
OG0000071	Syal.g_02099	Syac.g_01049
OG0000071	Syal.g_01601	Syac.g_00729
OG0000072	Syal.g_00914	Syac.g_00302
OG0000073	Syal.g_02920	Syac.g_01883
OG0000075	Syal.g_01350	Syac.g_00191
