Orthogroup	Syal	Prbg
OG0000001	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prbg.g_00502
OG0000004	Syal.g_01809	Prbg.g_01140
OG0000004	Syal.g_02718, Syal.g_00691	Prbg.g_01014
OG0000005	Syal.g_00565	Prbg.g_00674
OG0000006	Syal.g_02611, Syal.g_00674	Prbg.g_01024
OG0000007	Syal.g_02918	Prbg.g_00216
OG0000007	Syal.g_00587	Prbg.g_01650
OG0000008	Syal.g_02512	Prbg.g_00744
OG0000008	Syal.g_01783	Prbg.g_00745
OG0000009	Syal.g_02089	Prbg.g_00686
OG0000010	Syal.g_00464	Prbg.g_01053, Prbg.g_01348
OG0000013	Syal.g_00315, Syal.g_00322, Syal.g_00310	Prbg.g_00104
OG0000014	Syal.g_01305	Prbg.g_00086
OG0000015	Syal.g_02210, Syal.g_01183	Prbg.g_01589, Prbg.g_01635
OG0000016	Syal.g_01734	Prbg.g_01544
OG0000017	Syal.g_02752	Prbg.g_00317
OG0000017	Syal.g_02745	Prbg.g_00324
OG0000018	Syal.g_00410	Prbg.g_01508
OG0000019	Syal.g_01209	Prbg.g_01032, Prbg.g_01510
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prbg.g_00013
OG0000024	Syal.g_02597	Prbg.g_01352, Prbg.g_01116
OG0000025	Syal.g_02459	Prbg.g_01195
OG0000026	Syal.g_00132	Prbg.g_00842
OG0000027	Syal.g_02543	Prbg.g_00721, Prbg.g_01569
OG0000028	Syal.g_01319	Prbg.g_00743
OG0000029	Syal.g_03014	Prbg.g_00734, Prbg.g_01581, Prbg.g_01740
OG0000030	Syal.g_01511, Syal.g_01512	Prbg.g_01858
OG0000031	Syal.g_01404, Syal.g_01432	Prbg.g_00550
OG0000032	Syal.g_00428	Prbg.g_00630
OG0000033	Syal.g_00912	Prbg.g_00557
OG0000034	Syal.g_00881, Syal.g_01586	Prbg.g_00488
OG0000035	Syal.g_00370, Syal.g_00020	Prbg.g_00591
OG0000037	Syal.g_00601, Syal.g_00824	Prbg.g_00881
OG0000038	Syal.g_01071, Syal.g_01073	Prbg.g_01898
OG0000039	Syal.g_01097	Prbg.g_01128
OG0000041	Syal.g_00649	Prbg.g_01697
OG0000042	Syal.g_01705, Syal.g_01508	Prbg.g_01855
OG0000043	Syal.g_01110, Syal.g_02547, Syal.g_02183	Prbg.g_01507
OG0000046	Syal.g_00316, Syal.g_00321, Syal.g_00309	Prbg.g_00105
OG0000047	Syal.g_01568	Prbg.g_00143
OG0000048	Syal.g_01250	Prbg.g_00464
OG0000052	Syal.g_01338	Prbg.g_00816
OG0000053	Syal.g_00406	Prbg.g_00612, Prbg.g_01595
OG0000054	Syal.g_02739, Syal.g_02098	Prbg.g_00326
OG0000057	Syal.g_01812	Prbg.g_01143
OG0000058	Syal.g_01326	Prbg.g_00551
OG0000059	Syal.g_00225	Prbg.g_01737
OG0000061	Syal.g_01653	Prbg.g_01486
OG0000062	Syal.g_00567	Prbg.g_00676
OG0000063	Syal.g_00136	Prbg.g_00730
OG0000064	Syal.g_01545, Syal.g_01115, Syal.g_02544, Syal.g_01681	Prbg.g_00802
OG0000065	Syal.g_00820, Syal.g_02528	Prbg.g_00879
OG0000066	Syal.g_02828	Prbg.g_00256
OG0000067	Syal.g_02414	Prbg.g_01159
OG0000068	Syal.g_02888	Prbg.g_00529
OG0000070	Syal.g_00509	Prbg.g_00170
OG0000071	Syal.g_02099, Syal.g_01601	Prbg.g_00477
OG0000072	Syal.g_00914	Prbg.g_00949
OG0000073	Syal.g_02920	Prbg.g_00219
OG0000075	Syal.g_01350	Prbg.g_01821
OG0000076	Syal.g_01459	Prbg.g_01847
OG0000077	Syal.g_00763, Syal.g_00506	Prbg.g_00791
OG0000078	Syal.g_00680	Prbg.g_01022
OG0000079	Syal.g_01213	Prbg.g_01035
OG0000080	Syal.g_01394	Prbg.g_00563, Prbg.g_00565
OG0000081	Syal.g_02555	Prbg.g_00248
