Orthogroup	Syal	Prab
OG0000000	Syal.g_01111, Syal.g_01832	Prab.g_00915, Prab.g_01617
OG0000004	Syal.g_01809	Prab.g_00700
OG0000004	Syal.g_02718, Syal.g_00691	Prab.g_00223
OG0000005	Syal.g_00606	Prab.g_01682
OG0000005	Syal.g_00565	Prab.g_01542
OG0000006	Syal.g_02611, Syal.g_00674	Prab.g_00231
OG0000007	Syal.g_02918	Prab.g_00501
OG0000007	Syal.g_00587	Prab.g_01669
OG0000009	Syal.g_02089	Prab.g_01584
OG0000009	Syal.g_00818	Prab.g_00096
OG0000010	Syal.g_00464	Prab.g_01104
OG0000011	Syal.g_00702	Prab.g_00799
OG0000012	Syal.g_02535, Syal.g_01639	Prab.g_00627
OG0000013	Syal.g_00315, Syal.g_00322, Syal.g_00310	Prab.g_00315
OG0000014	Syal.g_01305	Prab.g_00294
OG0000014	Syal.g_01393	Prab.g_01444, Prab.g_01445
OG0000015	Syal.g_02210, Syal.g_01183	Prab.g_00789
OG0000016	Syal.g_00111	Prab.g_00013
OG0000017	Syal.g_02752, Syal.g_02745	Prab.g_00602
OG0000018	Syal.g_00410	Prab.g_01201
OG0000019	Syal.g_01209	Prab.g_00239, Prab.g_00820
OG0000022	Syal.g_02587	Prab.g_01182
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prab.g_00348
OG0000024	Syal.g_02597	Prab.g_00763, Prab.g_00680
OG0000025	Syal.g_02459	Prab.g_00319, Prab.g_00874
OG0000026	Syal.g_00132	Prab.g_01111
OG0000027	Syal.g_02543	Prab.g_00914, Prab.g_01616
OG0000028	Syal.g_01319	Prab.g_00308
OG0000029	Syal.g_03014	Prab.g_00773
OG0000030	Syal.g_01511, Syal.g_01512	Prab.g_01867
OG0000031	Syal.g_01404, Syal.g_01432	Prab.g_01446
OG0000033	Syal.g_00912	Prab.g_01400
OG0000034	Syal.g_00881, Syal.g_01586	Prab.g_01336
OG0000035	Syal.g_00370, Syal.g_00020	Prab.g_01466
OG0000037	Syal.g_00601, Syal.g_00824	Prab.g_00100
OG0000038	Syal.g_01071, Syal.g_01073	Prab.g_01908
OG0000039	Syal.g_01097	Prab.g_00691
OG0000040	Syal.g_01187	Prab.g_01623
OG0000040	Syal.g_01149	Prab.g_01200
OG0000041	Syal.g_00649	Prab.g_01715
OG0000042	Syal.g_01705, Syal.g_01508	Prab.g_01864
OG0000044	Syal.g_01853, Syal.g_01847	Prab.g_01648
OG0000047	Syal.g_01568	Prab.g_00318
OG0000048	Syal.g_01250	Prab.g_00411, Prab.g_00363
OG0000050	Syal.g_01549	Prab.g_01130
OG0000051	Syal.g_01550	Prab.g_01304
OG0000052	Syal.g_01396	Prab.g_01423
OG0000053	Syal.g_00406	Prab.g_01486
OG0000054	Syal.g_02739, Syal.g_02098	Prab.g_00610
OG0000055	Syal.g_01845	Prab.g_00821
OG0000057	Syal.g_01812	Prab.g_00703
OG0000059	Syal.g_00225	Prab.g_01754
OG0000060	Syal.g_00480, Syal.g_02895, Syal.g_02214	Prab.g_00784
OG0000061	Syal.g_01653	Prab.g_01219
OG0000062	Syal.g_00567	Prab.g_01544
OG0000063	Syal.g_00136	Prab.g_00033
OG0000065	Syal.g_00820, Syal.g_02528	Prab.g_00098
OG0000066	Syal.g_02828	Prab.g_00543
OG0000067	Syal.g_02414	Prab.g_00840
OG0000068	Syal.g_02888	Prab.g_01360
OG0000070	Syal.g_00509	Prab.g_00456
OG0000071	Syal.g_02099, Syal.g_01601	Prab.g_01637, Prab.g_01326
OG0000072	Syal.g_00914	Prab.g_00162
OG0000073	Syal.g_02920	Prab.g_00503
OG0000075	Syal.g_01350	Prab.g_01834
OG0000076	Syal.g_01459	Prab.g_01857
OG0000077	Syal.g_00763, Syal.g_00506	Prab.g_00070
OG0000078	Syal.g_00680	Prab.g_00229
OG0000079	Syal.g_01213	Prab.g_00242
OG0000080	Syal.g_01394	Prab.g_01404, Prab.g_01406
OG0000081	Syal.g_02555	Prab.g_00535
OG0000082	Syal.g_02769	Prab.g_00589
OG0000084	Syal.g_01896, Syal.g_00023	Prab.g_01462
OG0000085	Syal.g_00575	Prab.g_01662
OG0000086	Syal.g_00784	Prab.g_00080
OG0000087	Syal.g_00871	Prab.g_00129
OG0000088	Syal.g_00908	Prab.g_00157
OG0000089	Syal.g_00555	Prab.g_00343
OG0000090	Syal.g_02838	Prab.g_00537
OG0000091	Syal.g_02628	Prab.g_00647
OG0000093	Syal.g_02233	Prab.g_01042
OG0000094	Syal.g_01907	Prab.g_00948
OG0000095	Syal.g_01823	Prab.g_01299
OG0000097	Syal.g_01735, Syal.g_01553	Prab.g_01260
OG0000098	Syal.g_02196	Prab.g_01346
OG0000099	Syal.g_01323	Prab.g_01394
OG0000100	Syal.g_02448	Prab.g_01540
OG0000101	Syal.g_00275	Prab.g_01802
OG0000102	Syal.g_01488	Prab.g_01862
OG0000103	Syal.g_00077, Syal.g_01897	Prab.g_01942
OG0000104	Syal.g_00092	Prab.g_01951
OG0000105	Syal.g_01255	Prab.g_00262
OG0000106	Syal.g_02577	Prab.g_00359
OG0000107	Syal.g_00194	Prab.g_00375
OG0000108	Syal.g_02897	Prab.g_00484
OG0000109	Syal.g_02913	Prab.g_00498
OG0000110	Syal.g_02782	Prab.g_00579
OG0000111	Syal.g_01813	Prab.g_00704
OG0000112	Syal.g_02000	Prab.g_00804
OG0000113	Syal.g_02443	Prab.g_00862
OG0000114	Syal.g_02286	Prab.g_01068
OG0000115	Syal.g_00404	Prab.g_01156
OG0000116	Syal.g_01630	Prab.g_01209
OG0000117	Syal.g_01704	Prab.g_00717
OG0000118	Syal.g_01583	Prab.g_01338
OG0000119	Syal.g_02056	Prab.g_01356
