Orthogroup	Syal	Syat
OG0000001	Syal.g_02215	Syat.g_02910, Syat.g_02911
OG0000001	Syal.g_00874, Syal.g_01184	Syat.g_02908, Syat.g_02909
OG0000005	Syal.g_00606	Syat.g_03065
OG0000005	Syal.g_00565	Syat.g_03105
OG0000005	Syal.g_01664	Syat.g_01038
OG0000006	Syal.g_02611	Syat.g_00371
OG0000006	Syal.g_00674	Syat.g_01439, Syat.g_01865
OG0000007	Syal.g_02918	Syat.g_03191
OG0000007	Syal.g_00587	Syat.g_03124
OG0000008	Syal.g_02512	Syat.g_02626
OG0000008	Syal.g_01783	Syat.g_02627
OG0000009	Syal.g_00818	Syat.g_01567
OG0000010	Syal.g_00464	Syat.g_01372
OG0000012	Syal.g_02535, Syal.g_01639	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Syal.g_00310	Syat.g_01027
OG0000014	Syal.g_01305	Syat.g_02104
OG0000016	Syal.g_00111	Syat.g_02329
OG0000016	Syal.g_01734	Syat.g_00909
OG0000018	Syal.g_00410	Syat.g_01334
OG0000019	Syal.g_01209	Syat.g_01876
OG0000022	Syal.g_02587	Syat.g_00210
OG0000024	Syal.g_02597	Syat.g_03394
OG0000025	Syal.g_02459	Syat.g_00719
OG0000026	Syal.g_00132	Syat.g_02306
OG0000027	Syal.g_02543	Syat.g_00850
OG0000028	Syal.g_01319	Syat.g_02126
OG0000030	Syal.g_01511	Syat.g_00307
OG0000030	Syal.g_01512	Syat.g_00308
OG0000031	Syal.g_01404, Syal.g_01432	Syat.g_02131
OG0000032	Syal.g_00428	Syat.g_01354
OG0000032	Syal.g_00183	Syat.g_02237
OG0000033	Syal.g_00912	Syat.g_02858
OG0000034	Syal.g_00881, Syal.g_01586	Syat.g_01165, Syat.g_02902
OG0000035	Syal.g_00020	Syat.g_01227, Syat.g_01226
OG0000037	Syal.g_00601	Syat.g_00849, Syat.g_00187
OG0000038	Syal.g_01071	Syat.g_02688
OG0000038	Syal.g_01073	Syat.g_02686
OG0000039	Syal.g_01097	Syat.g_01278
OG0000040	Syal.g_01149	Syat.g_02551
OG0000041	Syal.g_00649	Syat.g_00785
OG0000042	Syal.g_01705, Syal.g_01508	Syat.g_00223, Syat.g_02222
OG0000045	Syal.g_01563	Syat.g_00935
OG0000046	Syal.g_00309	Syat.g_01626, Syat.g_01026
OG0000048	Syal.g_01250	Syat.g_02046
OG0000052	Syal.g_01338	Syat.g_02140
OG0000053	Syal.g_00406	Syat.g_01330
OG0000054	Syal.g_02739, Syal.g_02098	Syat.g_00987, Syat.g_03390
OG0000057	Syal.g_01812	Syat.g_00817, Syat.g_02055
