Orthogroup	Syal	Syao
OG0000001	Syal.g_02215	Syao.g_00314
OG0000001	Syal.g_00874, Syal.g_01184	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Syal.g_01809	Syao.g_02374
OG0000004	Syal.g_02718	Syao.g_01007
OG0000005	Syal.g_00606	Syao.g_01680
OG0000005	Syal.g_00565	Syao.g_01578
OG0000005	Syal.g_01664	Syao.g_01210
OG0000006	Syal.g_02611	Syao.g_00919
OG0000007	Syal.g_02918	Syao.g_00105
OG0000007	Syal.g_00587	Syao.g_01554
OG0000008	Syal.g_01783	Syao.g_01321
OG0000009	Syal.g_00818	Syao.g_02598
OG0000010	Syal.g_00464	Syao.g_02683
OG0000011	Syal.g_00702	Syao.g_01282
OG0000012	Syal.g_02535, Syal.g_01639	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201
OG0000013	Syal.g_00315	Syao.g_01910
OG0000013	Syal.g_00310	Syao.g_01844
OG0000014	Syal.g_01305	Syao.g_02027
OG0000014	Syal.g_01393	Syao.g_01136
OG0000015	Syal.g_02210, Syal.g_01183	Syao.g_02339
OG0000016	Syal.g_00111	Syao.g_01955
OG0000017	Syal.g_02745	Syao.g_01064
OG0000018	Syal.g_00410	Syao.g_00071
OG0000019	Syal.g_01209	Syao.g_02108
OG0000022	Syal.g_02587	Syao.g_01218
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Syao.g_01266
OG0000025	Syal.g_02459	Syao.g_00436, Syao.g_00437
OG0000026	Syal.g_00132	Syao.g_02234
OG0000027	Syal.g_02543	Syao.g_01286
OG0000028	Syal.g_01319	Syao.g_02012
OG0000030	Syal.g_01511	Syao.g_02189
OG0000030	Syal.g_01512	Syao.g_02188
OG0000031	Syal.g_01404, Syal.g_01432	Syao.g_02008
OG0000032	Syal.g_00428	Syao.g_00090
OG0000032	Syal.g_00183	Syao.g_01984, Syao.g_01983
OG0000033	Syal.g_00912	Syao.g_02507
OG0000035	Syal.g_00020	Syao.g_01483, Syao.g_01486
OG0000038	Syal.g_01071	Syao.g_02440
OG0000038	Syal.g_01073	Syao.g_02442
OG0000039	Syal.g_01097	Syao.g_00704
OG0000040	Syal.g_01149	Syao.g_00711
OG0000041	Syal.g_00649	Syao.g_00509, Syao.g_01637
OG0000042	Syal.g_01705, Syal.g_01508	Syao.g_00019, Syao.g_01941
OG0000045	Syal.g_01563	Syao.g_01214
OG0000046	Syal.g_00316	Syao.g_01909
OG0000046	Syal.g_00309	Syao.g_01845
OG0000047	Syal.g_01568	Syao.g_01899
OG0000048	Syal.g_01250	Syao.g_02077
OG0000051	Syal.g_03018	Syao.g_01261
OG0000052	Syal.g_01396	Syao.g_01085
OG0000052	Syal.g_01338	Syao.g_02520, Syao.g_01972
OG0000053	Syal.g_00406	Syao.g_00067
OG0000054	Syal.g_02739, Syal.g_02098	Syao.g_00295, Syao.g_00625
OG0000057	Syal.g_01812	Syao.g_00377
OG0000058	Syal.g_01326	Syao.g_01978
OG0000059	Syal.g_01332	Syao.g_01959
OG0000059	Syal.g_00225	Syao.g_01801
OG0000060	Syal.g_02214	Syao.g_00312
OG0000061	Syal.g_01653	Syao.g_00123
OG0000062	Syal.g_00567	Syao.g_01576
OG0000063	Syal.g_00136	Syao.g_02230
OG0000064	Syal.g_01545	Syao.g_01898
OG0000064	Syal.g_02544	Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605
OG0000065	Syal.g_00820	Syao.g_02600
OG0000066	Syal.g_02828	Syao.g_01422
OG0000068	Syal.g_02888	Syao.g_00868, Syao.g_00036
OG0000070	Syal.g_00509	Syao.g_00330
OG0000071	Syal.g_02099, Syal.g_01601	Syao.g_01433
OG0000072	Syal.g_00914	Syao.g_02509
OG0000073	Syal.g_02920	Syao.g_00103
OG0000075	Syal.g_01350	Syao.g_02257
OG0000076	Syal.g_01459	Syao.g_01949
OG0000077	Syal.g_00506	Syao.g_02629
OG0000078	Syal.g_00680	Syao.g_01709
OG0000079	Syal.g_01213	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000080	Syal.g_01394	Syao.g_02269
OG0000082	Syal.g_02769	Syao.g_01035
OG0000084	Syal.g_01896	Syao.g_01509
OG0000085	Syal.g_00575	Syao.g_01569
OG0000086	Syal.g_00784	Syao.g_02653, Syao.g_01240
OG0000087	Syal.g_00871	Syao.g_02555
OG0000088	Syal.g_00908	Syao.g_02503
OG0000089	Syal.g_00555	Syao.g_01716
OG0000090	Syal.g_02838	Syao.g_01412
OG0000091	Syal.g_02628	Syao.g_00902
OG0000092	Syal.g_00470	Syao.g_00656
OG0000093	Syal.g_02233	Syao.g_00739
OG0000094	Syal.g_01907	Syao.g_00458
OG0000095	Syal.g_01823	Syao.g_00331
OG0000097	Syal.g_01553	Syao.g_00973
OG0000098	Syal.g_02196	Syao.g_01374
OG0000099	Syal.g_01323	Syao.g_02019
OG0000100	Syal.g_02448	Syao.g_00787
OG0000102	Syal.g_01488	Syao.g_01945
OG0000103	Syal.g_01897	Syao.g_02340
OG0000104	Syal.g_00092	Syao.g_02157
OG0000105	Syal.g_01255	Syao.g_02071, Syao.g_02072
OG0000106	Syal.g_02577	Syao.g_01385
OG0000107	Syal.g_00194	Syao.g_01935
OG0000108	Syal.g_02897	Syao.g_00028
OG0000109	Syal.g_02913	Syao.g_00110
OG0000110	Syal.g_02782	Syao.g_01051
OG0000111	Syal.g_01813	Syao.g_00378
OG0000112	Syal.g_02000	Syao.g_00683, Syao.g_00303
OG0000113	Syal.g_02443	Syao.g_00782
OG0000114	Syal.g_02286	Syao.g_00965
OG0000115	Syal.g_00404	Syao.g_01464, Syao.g_00065
OG0000116	Syal.g_01630	Syao.g_00137
OG0000117	Syal.g_01704	Syao.g_00169
OG0000118	Syal.g_01583	Syao.g_01475
OG0000120	Syal.g_01324	Syao.g_02009
OG0000121	Syal.g_00374	Syao.g_01489
OG0000122	Syal.g_02602	Syao.g_01247
OG0000123	Syal.g_00283	Syao.g_01832
OG0000124	Syal.g_01519	Syao.g_02179
OG0000125	Syal.g_01075	Syao.g_02444
OG0000126	Syal.g_00090	Syao.g_02198
OG0000127	Syal.g_00720	Syao.g_02375
OG0000128	Syal.g_00109	Syao.g_02149
OG0000129	Syal.g_01062	Syao.g_02434
OG0000130	Syal.g_00751	Syao.g_02617
OG0000131	Syal.g_00886	Syao.g_02480
OG0000132	Syal.g_00906	Syao.g_02501
OG0000133	Syal.g_01995	Syao.g_00678
OG0000134	Syal.g_00552	Syao.g_01719
OG0000135	Syal.g_01119	Syao.g_00147
OG0000136	Syal.g_00520	Syao.g_01614, Syao.g_01613
OG0000137	Syal.g_00463	Syao.g_02682
OG0000138	Syal.g_02914	Syao.g_00108
OG0000139	Syal.g_02832	Syao.g_01418
OG0000140	Syal.g_02830	Syao.g_01373, Syao.g_01372
OG0000141	Syal.g_02738	Syao.g_01202
OG0000142	Syal.g_02636	Syao.g_00894
OG0000143	Syal.g_02632	Syao.g_00898
OG0000145	Syal.g_02921	Syao.g_00102
OG0000146	Syal.g_02001	Syao.g_00684, Syao.g_00304
OG0000147	Syal.g_02002	Syao.g_00305, Syao.g_00685
OG0000148	Syal.g_02437	Syao.g_00776
OG0000149	Syal.g_02475	Syao.g_00534
OG0000150	Syal.g_02737	Syao.g_01203
OG0000151	Syal.g_02263	Syao.g_00975
OG0000152	Syal.g_01991	Syao.g_00674
OG0000153	Syal.g_01958	Syao.g_00818, Syao.g_01176
OG0000154	Syal.g_01918	Syao.g_00447
OG0000155	Syal.g_01695	Syao.g_00178
OG0000156	Syal.g_01620	Syao.g_00151
OG0000157	Syal.g_01619	Syao.g_00152
OG0000158	Syal.g_01431	Syao.g_02267
OG0000159	Syal.g_01400	Syao.g_02006
OG0000160	Syal.g_00372	Syao.g_01488
OG0000161	Syal.g_00384	Syao.g_01494
OG0000162	Syal.g_00396	Syao.g_01515
OG0000163	Syal.g_02971	Syao.g_01745
OG0000164	Syal.g_00623	Syao.g_01663
OG0000165	Syal.g_00632	Syao.g_01655
OG0000166	Syal.g_00236	Syao.g_01790
OG0000167	Syal.g_01347	Syao.g_01960
OG0000168	Syal.g_01433	Syao.g_02128
OG0000169	Syal.g_01447	Syao.g_02139
OG0000170	Syal.g_01454	Syao.g_02148
OG0000171	Syal.g_01518	Syao.g_02181
OG0000172	Syal.g_00174, Syal.g_00173	Syao.g_02170
OG0000173	Syal.g_00155	Syao.g_02212
OG0000174	Syal.g_01121	Syao.g_02364, Syao.g_02355
OG0000175	Syal.g_01172	Syao.g_02327, Syao.g_00308
OG0000176	Syal.g_00101	Syao.g_02165
OG0000177	Syal.g_00102	Syao.g_02156
OG0000178	Syal.g_00103	Syao.g_02155
OG0000179	Syal.g_00118	Syao.g_02250
OG0000180	Syal.g_00119	Syao.g_02249
OG0000181	Syal.g_00120	Syao.g_02248
OG0000182	Syal.g_00121	Syao.g_02247
OG0000183	Syal.g_00125	Syao.g_02243
OG0000184	Syal.g_02678	Syao.g_02423
OG0000185	Syal.g_01025	Syao.g_02410
OG0000186	Syal.g_02684, Syal.g_00747	Syao.g_02613
OG0000187	Syal.g_02685, Syal.g_00748	Syao.g_02615
OG0000188	Syal.g_00771	Syao.g_02637
OG0000189	Syal.g_00807	Syao.g_02672
OG0000190	Syal.g_01364	Syao.g_01015
OG0000191	Syal.g_00841	Syao.g_02573
OG0000192	Syal.g_00847	Syao.g_02579
OG0000193	Syal.g_00887	Syao.g_02481
OG0000194	Syal.g_00890	Syao.g_02484
OG0000196	Syal.g_00903	Syao.g_02498
OG0000197	Syal.g_00904	Syao.g_02499
OG0000198	Syal.g_00905	Syao.g_02500
OG0000199	Syal.g_00913	Syao.g_02508
OG0000200	Syal.g_00932	Syao.g_02524
OG0000202	Syal.g_00950	Syao.g_02454
OG0000203	Syal.g_00951	Syao.g_02455
OG0000204	Syal.g_00952	Syao.g_02456
OG0000205	Syal.g_00959	Syao.g_02464
OG0000206	Syal.g_00971	Syao.g_02469
OG0000207	Syal.g_00974	Syao.g_02471
OG0000208	Syal.g_00975	Syao.g_02472
OG0000209	Syal.g_01000	Syao.g_02394
OG0000210	Syal.g_01001	Syao.g_02395
OG0000211	Syal.g_00688	Syao.g_01700
OG0000212	Syal.g_00679	Syao.g_01710
OG0000213	Syal.g_01229	Syao.g_02098
OG0000214	Syal.g_01246	Syao.g_02081
OG0000215	Syal.g_01277	Syao.g_02050
OG0000216	Syal.g_01281	Syao.g_02045
OG0000217	Syal.g_01285	Syao.g_02041
OG0000218	Syal.g_01287	Syao.g_02039
OG0000219	Syal.g_01288	Syao.g_02038
OG0000220	Syal.g_01289	Syao.g_02037
OG0000221	Syal.g_01297	Syao.g_02034
OG0000222	Syal.g_01309	Syao.g_02023
OG0000223	Syal.g_01327	Syao.g_00291
OG0000224	Syal.g_01329	Syao.g_01973
OG0000225	Syal.g_00363	Syao.g_01751
OG0000226	Syal.g_00367	Syao.g_01758
OG0000227	Syal.g_00369	Syao.g_01760
OG0000228	Syal.g_00556	Syao.g_01715
OG0000229	Syal.g_00525	Syao.g_01736
OG0000230	Syal.g_00523	Syao.g_01738
OG0000231	Syal.g_00510	Syao.g_01513
OG0000232	Syal.g_00495	Syao.g_00057
OG0000233	Syal.g_00487	Syao.g_02698
OG0000234	Syal.g_00461	Syao.g_02680
OG0000235	Syal.g_02896	Syao.g_00029
OG0000236	Syal.g_02912	Syao.g_00111
OG0000237	Syal.g_02930	Syao.g_00166
OG0000238	Syal.g_02935	Syao.g_00161
OG0000239	Syal.g_02951	Syao.g_01398
OG0000240	Syal.g_02952	Syao.g_01399
OG0000241	Syal.g_02696	Syao.g_00887
OG0000242	Syal.g_02840	Syao.g_01410
OG0000243	Syal.g_02822	Syao.g_00873
OG0000244	Syal.g_02815	Syao.g_00865
OG0000245	Syal.g_02813	Syao.g_00863
OG0000246	Syal.g_02809	Syao.g_00859
OG0000247	Syal.g_02797	Syao.g_00847
OG0000248	Syal.g_02794	Syao.g_00844
OG0000249	Syal.g_02792	Syao.g_00842
OG0000250	Syal.g_02786	Syao.g_00835
OG0000251	Syal.g_02760	Syao.g_01026
OG0000252	Syal.g_02757	Syao.g_01020
OG0000253	Syal.g_02755	Syao.g_01003
OG0000254	Syal.g_02732	Syao.g_01053
OG0000255	Syal.g_02719	Syao.g_01009
OG0000256	Syal.g_02705	Syao.g_01328
OG0000257	Syal.g_02697	Syao.g_00884
OG0000258	Syal.g_02623	Syao.g_00907
OG0000259	Syal.g_02182	Syao.g_00933, Syao.g_00932
OG0000260	Syal.g_02188	Syao.g_00936
OG0000261	Syal.g_02199	Syao.g_00941
OG0000262	Syal.g_02204	Syao.g_00946
OG0000263	Syal.g_01720	Syao.g_00247
OG0000264	Syal.g_01788	Syao.g_00699
OG0000265	Syal.g_02534	Syao.g_00049
OG0000266	Syal.g_02421	Syao.g_00480
OG0000267	Syal.g_02043	Syao.g_00589
OG0000268	Syal.g_02042	Syao.g_00588
OG0000269	Syal.g_02409	Syao.g_00751
OG0000270	Syal.g_02412	Syao.g_00754
OG0000271	Syal.g_01871	Syao.g_00762
OG0000272	Syal.g_01872	Syao.g_00763
OG0000273	Syal.g_02454	Syao.g_00791
OG0000274	Syal.g_02455	Syao.g_00792
OG0000275	Syal.g_02458	Syao.g_00438
OG0000276	Syal.g_02467	Syao.g_00558
OG0000277	Syal.g_02468	Syao.g_00557
OG0000278	Syal.g_02471	Syao.g_00554
OG0000279	Syal.g_02479	Syao.g_00529
OG0000280	Syal.g_02493	Syao.g_00608
OG0000281	Syal.g_02190	Syao.g_01377
OG0000282	Syal.g_02284	Syao.g_00967
OG0000283	Syal.g_02028	Syao.g_00640
OG0000284	Syal.g_02023	Syao.g_00634
OG0000285	Syal.g_02012	Syao.g_00706
OG0000286	Syal.g_01992	Syao.g_00675
OG0000287	Syal.g_01965	Syao.g_00825
OG0000288	Syal.g_01919	Syao.g_00446
OG0000289	Syal.g_01904	Syao.g_00461
OG0000290	Syal.g_01826	Syao.g_00428
OG0000291	Syal.g_01824	Syao.g_00333
OG0000292	Syal.g_00089	Syao.g_02196
OG0000293	Syal.g_01631	Syao.g_00136
OG0000294	Syal.g_01632	Syao.g_00135
OG0000295	Syal.g_01687	Syao.g_00186
OG0000296	Syal.g_01689	Syao.g_00184
OG0000297	Syal.g_01702	Syao.g_00171
OG0000298	Syal.g_01703	Syao.g_00170
OG0000299	Syal.g_01732	Syao.g_00231
OG0000300	Syal.g_01738	Syao.g_00274
OG0000301	Syal.g_01739	Syao.g_00272, Syao.g_00273
OG0000302	Syal.g_01740	Syao.g_00271
OG0000303	Syal.g_01763	Syao.g_00262
OG0000304	Syal.g_01756	Syao.g_00256
OG0000305	Syal.g_01821	Syao.g_00388
OG0000306	Syal.g_02579	Syao.g_01216
OG0000307	Syal.g_02880	Syao.g_00045
OG0000308	Syal.g_02878	Syao.g_00047
OG0000309	Syal.g_02873	Syao.g_02705
OG0000310	Syal.g_01537	Syao.g_01530
OG0000311	Syal.g_00061	Syao.g_01533
OG0000312	Syal.g_00031	Syao.g_01538
OG0000313	Syal.g_00381	Syao.g_01491
OG0000314	Syal.g_00416	Syao.g_00078
OG0000315	Syal.g_00426	Syao.g_00088
OG0000316	Syal.g_02987	Syao.g_01602
OG0000317	Syal.g_00583	Syao.g_01560
OG0000318	Syal.g_00588	Syao.g_01553
OG0000319	Syal.g_00608	Syao.g_01678
OG0000320	Syal.g_00610	Syao.g_01676
OG0000321	Syal.g_00611	Syao.g_01675
OG0000322	Syal.g_00612	Syao.g_01674
OG0000323	Syal.g_00626	Syao.g_01661
OG0000324	Syal.g_00656	Syao.g_01630
OG0000325	Syal.g_00195	Syao.g_01936
OG0000326	Syal.g_00202	Syao.g_01918
OG0000327	Syal.g_00230	Syao.g_01795
OG0000328	Syal.g_00231	Syao.g_01794
OG0000329	Syal.g_00249	Syao.g_01776
OG0000330	Syal.g_00250	Syao.g_01775
OG0000331	Syal.g_00251	Syao.g_01774
OG0000332	Syal.g_00266	Syao.g_01813
OG0000333	Syal.g_00269	Syao.g_01810
OG0000334	Syal.g_00279	Syao.g_01836
OG0000335	Syal.g_00284	Syao.g_01831
OG0000336	Syal.g_00288	Syao.g_01827
OG0000337	Syal.g_01343	Syao.g_01968
OG0000338	Syal.g_01345	Syao.g_01962
OG0000339	Syal.g_01351	Syao.g_02259
OG0000340	Syal.g_01434	Syao.g_02129
OG0000341	Syal.g_01436	Syao.g_02131
OG0000342	Syal.g_01437	Syao.g_02132
OG0000343	Syal.g_01441	Syao.g_02133
OG0000344	Syal.g_01445	Syao.g_02137
OG0000345	Syal.g_01455	Syao.g_01953
OG0000346	Syal.g_01460	Syao.g_01948
OG0000347	Syal.g_01525	Syao.g_02178
OG0000348	Syal.g_00170	Syao.g_02166
OG0000349	Syal.g_00148	Syao.g_02219
OG0000350	Syal.g_00209	Syao.g_01925
OG0000351	Syal.g_01175	Syao.g_02331
OG0000352	Syal.g_01176	Syao.g_02332
OG0000353	Syal.g_00095	Syao.g_02160
OG0000354	Syal.g_02941	Syao.g_00154, Syao.g_00155
OG0000354	Syal.g_00116	Syao.g_02252
OG0000355	Syal.g_00098	Syao.g_02162
OG0000356	Syal.g_00099	Syao.g_02163
OG0000357	Syal.g_00100	Syao.g_02164
OG0000358	Syal.g_00104	Syao.g_02154
OG0000359	Syal.g_00106	Syao.g_02152
OG0000360	Syal.g_00107	Syao.g_02151
OG0000361	Syal.g_00108	Syao.g_02150
OG0000362	Syal.g_00110	Syao.g_01954
OG0000363	Syal.g_00112	Syao.g_02255
OG0000364	Syal.g_00113	Syao.g_01558
OG0000365	Syal.g_00122	Syao.g_02246
OG0000366	Syal.g_00123	Syao.g_02245
OG0000367	Syal.g_00124	Syao.g_02244
OG0000368	Syal.g_00126	Syao.g_02242
OG0000369	Syal.g_00127	Syao.g_02241
OG0000370	Syal.g_00128	Syao.g_02240
OG0000371	Syal.g_00135	Syao.g_02231
OG0000372	Syal.g_00141	Syao.g_02226
OG0000373	Syal.g_00142	Syao.g_02225
OG0000374	Syal.g_00143	Syao.g_02224
OG0000375	Syal.g_00144	Syao.g_02223
OG0000376	Syal.g_00146	Syao.g_02221
OG0000377	Syal.g_01061	Syao.g_02429
OG0000378	Syal.g_01027	Syao.g_02414
OG0000379	Syal.g_01024	Syao.g_02409
OG0000380	Syal.g_00749	Syao.g_02616
OG0000381	Syal.g_00752	Syao.g_02618
OG0000382	Syal.g_00770	Syao.g_02636
OG0000383	Syal.g_00775	Syao.g_02643
OG0000384	Syal.g_00776	Syao.g_02644
OG0000385	Syal.g_00777	Syao.g_02645
OG0000386	Syal.g_00778	Syao.g_02646
OG0000387	Syal.g_00811	Syao.g_01019
OG0000388	Syal.g_00815	Syao.g_02596
OG0000389	Syal.g_00819	Syao.g_02599
OG0000390	Syal.g_00835	Syao.g_02567
OG0000391	Syal.g_00840	Syao.g_02572
OG0000392	Syal.g_00846	Syao.g_02578
OG0000393	Syal.g_00849	Syao.g_02581
OG0000394	Syal.g_00850	Syao.g_02582
OG0000395	Syal.g_00851	Syao.g_02583
OG0000396	Syal.g_00854	Syao.g_02586
OG0000397	Syal.g_00857	Syao.g_02542
OG0000398	Syal.g_00862	Syao.g_02547
OG0000399	Syal.g_00863	Syao.g_02548
OG0000400	Syal.g_00864	Syao.g_02549
OG0000401	Syal.g_00865	Syao.g_02550
OG0000402	Syal.g_00867	Syao.g_02552
OG0000403	Syal.g_00868	Syao.g_02553
OG0000404	Syal.g_00870	Syao.g_02554
OG0000405	Syal.g_00883	Syao.g_02478
OG0000406	Syal.g_00888	Syao.g_02482
OG0000407	Syal.g_00889	Syao.g_02483
OG0000408	Syal.g_00891	Syao.g_02485
OG0000409	Syal.g_00893	Syao.g_02487
OG0000410	Syal.g_00894	Syao.g_02488
OG0000411	Syal.g_00895	Syao.g_02489
OG0000412	Syal.g_00896	Syao.g_02490
OG0000413	Syal.g_00898	Syao.g_02492
OG0000414	Syal.g_00899	Syao.g_02493
OG0000415	Syal.g_00900	Syao.g_02494
OG0000416	Syal.g_00901	Syao.g_02495
OG0000417	Syal.g_00902	Syao.g_02497
OG0000418	Syal.g_00907	Syao.g_02502
OG0000419	Syal.g_00909	Syao.g_02504
OG0000420	Syal.g_00911	Syao.g_02506
OG0000421	Syal.g_00916	Syao.g_02510
OG0000422	Syal.g_00917	Syao.g_02511
OG0000423	Syal.g_00918	Syao.g_02512
OG0000424	Syal.g_00919	Syao.g_02513
OG0000425	Syal.g_00920	Syao.g_02514
OG0000426	Syal.g_00921	Syao.g_02515
OG0000427	Syal.g_00922	Syao.g_02516
OG0000428	Syal.g_00925	Syao.g_02519
OG0000429	Syal.g_00929	Syao.g_02522
OG0000430	Syal.g_00931	Syao.g_02523
OG0000431	Syal.g_00934	Syao.g_02526
OG0000432	Syal.g_00940	Syao.g_02532
OG0000433	Syal.g_00943	Syao.g_02534
OG0000434	Syal.g_00944	Syao.g_02535
OG0000435	Syal.g_00946	Syao.g_02538
OG0000436	Syal.g_00953	Syao.g_02458
OG0000437	Syal.g_00954	Syao.g_02459
OG0000438	Syal.g_00955	Syao.g_02460
OG0000439	Syal.g_00957	Syao.g_02462
OG0000440	Syal.g_00958	Syao.g_02463
OG0000441	Syal.g_00962	Syao.g_02466
OG0000442	Syal.g_00964	Syao.g_02467
OG0000443	Syal.g_00966	Syao.g_02468
OG0000444	Syal.g_00978	Syao.g_02473
OG0000445	Syal.g_00979	Syao.g_02474
OG0000446	Syal.g_00981	Syao.g_02476
OG0000447	Syal.g_00989	Syao.g_02383
OG0000448	Syal.g_00990	Syao.g_02384
OG0000449	Syal.g_00991	Syao.g_02385
OG0000450	Syal.g_00997	Syao.g_02391
OG0000451	Syal.g_00998	Syao.g_02392
OG0000452	Syal.g_01002	Syao.g_02396
OG0000453	Syal.g_01003	Syao.g_02397
OG0000454	Syal.g_01004	Syao.g_02398
OG0000455	Syal.g_01005	Syao.g_02399
OG0000456	Syal.g_01006	Syao.g_02400
OG0000457	Syal.g_01008	Syao.g_02402
OG0000458	Syal.g_01009	Syao.g_02403
OG0000459	Syal.g_01010	Syao.g_02404
OG0000460	Syal.g_00686	Syao.g_01702
OG0000461	Syal.g_01199	Syao.g_02119
OG0000462	Syal.g_01202	Syao.g_02116
OG0000463	Syal.g_01203	Syao.g_02115
OG0000464	Syal.g_01204	Syao.g_02114
OG0000465	Syal.g_01205	Syao.g_02112
OG0000466	Syal.g_01210	Syao.g_02107
OG0000467	Syal.g_01212	Syao.g_02106
OG0000468	Syal.g_01225	Syao.g_02102
OG0000469	Syal.g_01240	Syao.g_02087
OG0000470	Syal.g_01242	Syao.g_02085
OG0000471	Syal.g_01243	Syao.g_02084
OG0000472	Syal.g_01245	Syao.g_02082
OG0000473	Syal.g_01247	Syao.g_02080
OG0000474	Syal.g_01248	Syao.g_02079
OG0000475	Syal.g_01249	Syao.g_02078
OG0000476	Syal.g_01251	Syao.g_02076
OG0000477	Syal.g_01257	Syao.g_02069
OG0000478	Syal.g_01258	Syao.g_02068
OG0000479	Syal.g_01259	Syao.g_02067
OG0000480	Syal.g_01266	Syao.g_02060
OG0000481	Syal.g_01268	Syao.g_01012
OG0000482	Syal.g_01269	Syao.g_02058
OG0000483	Syal.g_01273	Syao.g_02054
OG0000484	Syal.g_01274	Syao.g_02053
OG0000485	Syal.g_01275	Syao.g_02052
OG0000486	Syal.g_01276	Syao.g_02051
OG0000487	Syal.g_01282	Syao.g_02044
OG0000488	Syal.g_01286	Syao.g_02040
OG0000489	Syal.g_01298	Syao.g_02033
OG0000490	Syal.g_01307	Syao.g_02025
OG0000491	Syal.g_01308	Syao.g_02024
OG0000492	Syal.g_01310	Syao.g_02022
OG0000493	Syal.g_01311	Syao.g_02021
OG0000494	Syal.g_01312	Syao.g_02020
OG0000495	Syal.g_01313	Syao.g_02018
OG0000496	Syal.g_01314	Syao.g_02017
OG0000497	Syal.g_01315	Syao.g_02016
OG0000498	Syal.g_01316	Syao.g_02015
OG0000499	Syal.g_01317	Syao.g_02014
OG0000500	Syal.g_01318	Syao.g_02013
OG0000501	Syal.g_01321	Syao.g_02010
OG0000502	Syal.g_01328	Syao.g_01974
OG0000503	Syal.g_00347	Syao.g_01877
OG0000504	Syal.g_00349	Syao.g_01875
OG0000505	Syal.g_00350	Syao.g_01874
OG0000506	Syal.g_00352	Syao.g_01872
OG0000507	Syal.g_00358	Syao.g_01866
OG0000508	Syal.g_00362	Syao.g_01750
