Orthogroup	Syal	Prad
OG0000000	Syal.g_01111, Syal.g_01832	Prad.g_00352
OG0000001	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184	Prad.g_00609
OG0000004	Syal.g_01809	Prad.g_01269
OG0000004	Syal.g_02718, Syal.g_00691	Prad.g_01759
OG0000005	Syal.g_00606	Prad.g_00928
OG0000005	Syal.g_00565	Prad.g_00438
OG0000006	Syal.g_02611, Syal.g_00674	Prad.g_01750
OG0000007	Syal.g_02918	Prad.g_00132
OG0000007	Syal.g_00587	Prad.g_00941
OG0000009	Syal.g_02089	Prad.g_00317, Prad.g_00401
OG0000009	Syal.g_00818	Prad.g_01888
OG0000010	Syal.g_00464	Prad.g_01304, Prad.g_01011
OG0000011	Syal.g_00702	Prad.g_01212
OG0000012	Syal.g_02535, Syal.g_01639	Prad.g_01412
OG0000013	Syal.g_00315, Syal.g_00322, Syal.g_00310	Prad.g_01664
OG0000014	Syal.g_01305	Prad.g_01685
OG0000015	Syal.g_02210, Syal.g_01183	Prad.g_01108
OG0000016	Syal.g_00111	Prad.g_01973
OG0000017	Syal.g_02752, Syal.g_02745	Prad.g_01387
OG0000018	Syal.g_00410	Prad.g_01515
OG0000019	Syal.g_01209	Prad.g_01742, Prad.g_01125
OG0000022	Syal.g_02587	Prad.g_01993
OG0000023	Syal.g_02485, Syal.g_02858, Syal.g_01894	Prad.g_00751
OG0000024	Syal.g_02597	Prad.g_01088, Prad.g_01249
OG0000025	Syal.g_02459	Prad.g_01660, Prad.g_01181
OG0000026	Syal.g_00132	Prad.g_01004
OG0000027	Syal.g_02543	Prad.g_01298, Prad.g_00353
OG0000028	Syal.g_01319	Prad.g_01204, Prad.g_01671
OG0000029	Syal.g_03014	Prad.g_01096, Prad.g_00734
OG0000032	Syal.g_00428	Prad.g_00572
OG0000032	Syal.g_00183	Prad.g_00561
OG0000034	Syal.g_00881, Syal.g_01586	Prad.g_00618
OG0000035	Syal.g_00370, Syal.g_00020	Prad.g_00515
OG0000037	Syal.g_00601, Syal.g_00824	Prad.g_01884
OG0000038	Syal.g_01071, Syal.g_01073	Prad.g_01582
OG0000039	Syal.g_01097	Prad.g_01260
OG0000040	Syal.g_01187	Prad.g_00369
OG0000040	Syal.g_01149	Prad.g_01516
OG0000041	Syal.g_00649	Prad.g_00894
OG0000042	Syal.g_01705, Syal.g_01508	Prad.g_01624
OG0000043	Syal.g_01110	Prad.g_00313
OG0000044	Syal.g_01853, Syal.g_01847	Prad.g_01213
OG0000047	Syal.g_01568	Prad.g_01661, Prad.g_00683
OG0000048	Syal.g_01250	Prad.g_00735
OG0000050	Syal.g_01549	Prad.g_00985
OG0000051	Syal.g_01550	Prad.g_00342
OG0000052	Syal.g_01338	Prad.g_00571
OG0000053	Syal.g_00406	Prad.g_00494
OG0000054	Syal.g_02739, Syal.g_02098	Prad.g_01395
OG0000055	Syal.g_01845	Prad.g_01126
OG0000057	Syal.g_01812	Prad.g_01272
OG0000058	Syal.g_01326	Prad.g_00565
OG0000059	Syal.g_00225	Prad.g_00855
OG0000061	Syal.g_01653	Prad.g_01496
OG0000062	Syal.g_00567	Prad.g_00436
OG0000063	Syal.g_00136	Prad.g_01953, Prad.g_00081
OG0000065	Syal.g_00820, Syal.g_02528	Prad.g_01886
OG0000066	Syal.g_02828	Prad.g_00090
OG0000067	Syal.g_02414	Prad.g_01146
OG0000068	Syal.g_02888	Prad.g_00594
OG0000070	Syal.g_00509	Prad.g_00057
OG0000071	Syal.g_02099, Syal.g_01601	Prad.g_00628
OG0000072	Syal.g_00914	Prad.g_01820
OG0000073	Syal.g_02920	Prad.g_00130
OG0000075	Syal.g_01350	Prad.g_00775
OG0000076	Syal.g_01459	Prad.g_01631
OG0000077	Syal.g_00763, Syal.g_00506	Prad.g_01915
OG0000078	Syal.g_00680	Prad.g_01752
OG0000079	Syal.g_01213	Prad.g_01739
OG0000081	Syal.g_02555	Prad.g_00098
OG0000082	Syal.g_02769	Prad.g_01374
OG0000084	Syal.g_01896, Syal.g_00023	Prad.g_00519
OG0000085	Syal.g_00575	Prad.g_00948
OG0000086	Syal.g_00784	Prad.g_01905
OG0000087	Syal.g_00871	Prad.g_01854
OG0000088	Syal.g_00908	Prad.g_01825
OG0000089	Syal.g_00555	Prad.g_00755
OG0000090	Syal.g_02838	Prad.g_00096
OG0000091	Syal.g_02628	Prad.g_01431
OG0000093	Syal.g_02233	Prad.g_00218
OG0000094	Syal.g_01907	Prad.g_01038
OG0000095	Syal.g_01823	Prad.g_01018
OG0000097	Syal.g_01735, Syal.g_01553	Prad.g_01454
OG0000098	Syal.g_02196	Prad.g_00612
OG0000099	Syal.g_01323	Prad.g_00566
OG0000100	Syal.g_02448	Prad.g_00440
OG0000101	Syal.g_00275	Prad.g_00807
OG0000102	Syal.g_01488	Prad.g_01626
OG0000103	Syal.g_00077, Syal.g_01897	Prad.g_01548
OG0000104	Syal.g_00092	Prad.g_01540
OG0000105	Syal.g_01255	Prad.g_01717
OG0000106	Syal.g_02577	Prad.g_00739
OG0000107	Syal.g_00194	Prad.g_00724
OG0000108	Syal.g_02897	Prad.g_00027
OG0000109	Syal.g_02913	Prad.g_00013
OG0000110	Syal.g_02782	Prad.g_01364
OG0000111	Syal.g_01813	Prad.g_01273
OG0000112	Syal.g_02000	Prad.g_01109
OG0000113	Syal.g_02443	Prad.g_01168
OG0000114	Syal.g_02286	Prad.g_00245
OG0000115	Syal.g_00404	Prad.g_00641
OG0000116	Syal.g_01630	Prad.g_01506
OG0000117	Syal.g_01704	Prad.g_01214
OG0000118	Syal.g_01583	Prad.g_00616
OG0000119	Syal.g_02056	Prad.g_00598
OG0000120	Syal.g_01324	Prad.g_00564
OG0000121	Syal.g_00374	Prad.g_00513
OG0000122	Syal.g_02602	Prad.g_00474
OG0000123	Syal.g_00283	Prad.g_00800
OG0000124	Syal.g_01519	Prad.g_01616
OG0000125	Syal.g_01075	Prad.g_01580
OG0000126	Syal.g_00090	Prad.g_01541
OG0000128	Syal.g_00109	Prad.g_01975
OG0000129	Syal.g_01062	Prad.g_01943
OG0000130	Syal.g_00751	Prad.g_01924
OG0000131	Syal.g_00886	Prad.g_01846
OG0000132	Syal.g_00906	Prad.g_01827
OG0000133	Syal.g_01995	Prad.g_01669
OG0000134	Syal.g_00552	Prad.g_00754
OG0000135	Syal.g_01119	Prad.g_00727
OG0000136	Syal.g_00520	Prad.g_00066
OG0000137	Syal.g_00463	Prad.g_00032
OG0000138	Syal.g_02914	Prad.g_00012
OG0000139	Syal.g_02832	Prad.g_00092
OG0000140	Syal.g_02830	Prad.g_00091
OG0000141	Syal.g_02738	Prad.g_01396
OG0000142	Syal.g_02636	Prad.g_01424
OG0000143	Syal.g_02632	Prad.g_01428
OG0000144	Syal.g_02515	Prad.g_01226
OG0000145	Syal.g_02921	Prad.g_01107
OG0000146	Syal.g_02001	Prad.g_01110
OG0000147	Syal.g_02002	Prad.g_01111
OG0000148	Syal.g_02437	Prad.g_01162
OG0000149	Syal.g_02475	Prad.g_00301
OG0000150	Syal.g_02737	Prad.g_00293
OG0000151	Syal.g_02263	Prad.g_00235
OG0000152	Syal.g_01991	Prad.g_00186
OG0000153	Syal.g_01958	Prad.g_00167
OG0000154	Syal.g_01918	Prad.g_00139
OG0000155	Syal.g_01695	Prad.g_01476
OG0000156	Syal.g_01620	Prad.g_00359
OG0000157	Syal.g_01619	Prad.g_00360
OG0000158	Syal.g_01431	Prad.g_00567
OG0000160	Syal.g_00372	Prad.g_00514
OG0000161	Syal.g_00384	Prad.g_00508
OG0000162	Syal.g_00396	Prad.g_00502
OG0000163	Syal.g_02971	Prad.g_00467
OG0000164	Syal.g_00623	Prad.g_00917
OG0000165	Syal.g_00632	Prad.g_00910
OG0000166	Syal.g_00236	Prad.g_00843
OG0000167	Syal.g_01347	Prad.g_00777
OG0000168	Syal.g_01433	Prad.g_00767
OG0000169	Syal.g_01447	Prad.g_01637
OG0000170	Syal.g_01454	Prad.g_01635
OG0000171	Syal.g_01518	Prad.g_01617
OG0000172	Syal.g_00174, Syal.g_00173	Prad.g_01609
OG0000173	Syal.g_00155	Prad.g_01594
OG0000174	Syal.g_01121	Prad.g_01566
OG0000175	Syal.g_01172	Prad.g_01556
OG0000176	Syal.g_00101	Prad.g_01532
OG0000177	Syal.g_00102	Prad.g_01531
OG0000178	Syal.g_00103	Prad.g_01530
OG0000179	Syal.g_00118	Prad.g_01970
OG0000180	Syal.g_00119	Prad.g_01969
OG0000181	Syal.g_00120	Prad.g_01968
OG0000182	Syal.g_00121	Prad.g_01967
OG0000183	Syal.g_00125	Prad.g_01963
OG0000184	Syal.g_02678, Syal.g_01050	Prad.g_01940
OG0000185	Syal.g_01025	Prad.g_01937
OG0000186	Syal.g_02684, Syal.g_00747	Prad.g_01929
OG0000187	Syal.g_02685, Syal.g_00748	Prad.g_01928
OG0000188	Syal.g_00771	Prad.g_01911
OG0000189	Syal.g_00807	Prad.g_01897
OG0000190	Syal.g_01364	Prad.g_01896
OG0000191	Syal.g_00841	Prad.g_01876
OG0000192	Syal.g_00847	Prad.g_01872
OG0000193	Syal.g_00887	Prad.g_01845
OG0000194	Syal.g_00890	Prad.g_01842
OG0000195	Syal.g_00892	Prad.g_01840
OG0000196	Syal.g_00903	Prad.g_01830
OG0000197	Syal.g_00904	Prad.g_01829
OG0000198	Syal.g_00905	Prad.g_01828
OG0000199	Syal.g_00913	Prad.g_01821
OG0000200	Syal.g_00932	Prad.g_01807
OG0000201	Syal.g_00949	Prad.g_01799
OG0000202	Syal.g_00950	Prad.g_01798
OG0000203	Syal.g_00951	Prad.g_01797
OG0000204	Syal.g_00952	Prad.g_01796
OG0000205	Syal.g_00959	Prad.g_01789
OG0000206	Syal.g_00971	Prad.g_01784
OG0000207	Syal.g_00974	Prad.g_01782
OG0000208	Syal.g_00975	Prad.g_01781
OG0000209	Syal.g_01000	Prad.g_01772
OG0000210	Syal.g_01001	Prad.g_01771
OG0000211	Syal.g_00688	Prad.g_01758
OG0000212	Syal.g_00679	Prad.g_01751
OG0000213	Syal.g_01229	Prad.g_01734
OG0000214	Syal.g_01246	Prad.g_01724
OG0000215	Syal.g_01277	Prad.g_01699
OG0000216	Syal.g_01281	Prad.g_01697
OG0000217	Syal.g_01285	Prad.g_01694
OG0000218	Syal.g_01287	Prad.g_01692
OG0000219	Syal.g_01288	Prad.g_01691
OG0000220	Syal.g_01289	Prad.g_01690
OG0000221	Syal.g_01297	Prad.g_01689
OG0000222	Syal.g_01309	Prad.g_01681
OG0000223	Syal.g_01327	Prad.g_01668
OG0000224	Syal.g_01329	Prad.g_01666
OG0000225	Syal.g_00363	Prad.g_01645
OG0000226	Syal.g_00367	Prad.g_00761
OG0000227	Syal.g_00369	Prad.g_00759
OG0000228	Syal.g_00556	Prad.g_00756
OG0000229	Syal.g_00525	Prad.g_00666
OG0000230	Syal.g_00523	Prad.g_00069
OG0000231	Syal.g_00510	Prad.g_00058
OG0000232	Syal.g_00495	Prad.g_00049
OG0000233	Syal.g_00487	Prad.g_00043
OG0000234	Syal.g_00461	Prad.g_00031
OG0000235	Syal.g_02896	Prad.g_00028
OG0000236	Syal.g_02912	Prad.g_00014
OG0000237	Syal.g_02930	Prad.g_00123
OG0000238	Syal.g_02935	Prad.g_00117
OG0000239	Syal.g_02951	Prad.g_00104
OG0000240	Syal.g_02952	Prad.g_00103
OG0000241	Syal.g_02696	Prad.g_00099
OG0000242	Syal.g_02840	Prad.g_00097
OG0000243	Syal.g_02822	Prad.g_01333
OG0000244	Syal.g_02815	Prad.g_01336
OG0000245	Syal.g_02813	Prad.g_01338
OG0000246	Syal.g_02809	Prad.g_01342
OG0000247	Syal.g_02797	Prad.g_01352
OG0000248	Syal.g_02794	Prad.g_01354
OG0000249	Syal.g_02792	Prad.g_01356
OG0000250	Syal.g_02786	Prad.g_01361
OG0000251	Syal.g_02760	Prad.g_01380
OG0000252	Syal.g_02757	Prad.g_01383
OG0000253	Syal.g_02755	Prad.g_01384
OG0000254	Syal.g_02732	Prad.g_01400
OG0000255	Syal.g_02719	Prad.g_01406
OG0000256	Syal.g_02705	Prad.g_01416
OG0000257	Syal.g_02697	Prad.g_01419
OG0000258	Syal.g_02623	Prad.g_01432
OG0000259	Syal.g_02182	Prad.g_01234
OG0000260	Syal.g_02188	Prad.g_01237
OG0000261	Syal.g_02199	Prad.g_01239
OG0000262	Syal.g_02204	Prad.g_01243
OG0000263	Syal.g_01720	Prad.g_01255
OG0000264	Syal.g_01788	Prad.g_01265
OG0000265	Syal.g_02534	Prad.g_01049
OG0000266	Syal.g_02421	Prad.g_01059
OG0000267	Syal.g_02043	Prad.g_01070
OG0000268	Syal.g_02042	Prad.g_01071
OG0000269	Syal.g_02409	Prad.g_01141
OG0000270	Syal.g_02412	Prad.g_01144
OG0000271	Syal.g_01871	Prad.g_01152
OG0000272	Syal.g_01872	Prad.g_01153
OG0000273	Syal.g_02454	Prad.g_01176
OG0000274	Syal.g_02455	Prad.g_01177
OG0000275	Syal.g_02458	Prad.g_01180
OG0000276	Syal.g_02467	Prad.g_01185
OG0000277	Syal.g_02468	Prad.g_00308
OG0000278	Syal.g_02471	Prad.g_00305
OG0000279	Syal.g_02479	Prad.g_00298
OG0000280	Syal.g_02493	Prad.g_00297
OG0000281	Syal.g_02190	Prad.g_00292
OG0000282	Syal.g_02284	Prad.g_00243
OG0000283	Syal.g_02028, Syal.g_02131	Prad.g_00209
OG0000284	Syal.g_02023	Prad.g_00204
OG0000285	Syal.g_02012	Prad.g_00199
OG0000286	Syal.g_01992	Prad.g_00187
OG0000287	Syal.g_01965	Prad.g_00170
OG0000288	Syal.g_01919	Prad.g_00140
OG0000289	Syal.g_01904	Prad.g_01035
OG0000290	Syal.g_01826	Prad.g_01021
OG0000291	Syal.g_01824	Prad.g_01019
OG0000292	Syal.g_00089	Prad.g_00972
OG0000293	Syal.g_01631	Prad.g_01505
OG0000294	Syal.g_01632	Prad.g_01504
OG0000295	Syal.g_01687	Prad.g_01484
OG0000296	Syal.g_01689	Prad.g_01482
OG0000297	Syal.g_01702	Prad.g_01474
OG0000298	Syal.g_01703	Prad.g_01473
OG0000299	Syal.g_01732	Prad.g_01455
OG0000300	Syal.g_01738	Prad.g_01452
OG0000301	Syal.g_01739	Prad.g_01451
OG0000302	Syal.g_01740	Prad.g_01449
OG0000303	Syal.g_01763	Prad.g_01442
OG0000304	Syal.g_01756	Prad.g_01438
OG0000305	Syal.g_01821	Prad.g_00602
OG0000306	Syal.g_02579	Prad.g_00599
OG0000307	Syal.g_02880	Prad.g_00585
OG0000308	Syal.g_02878	Prad.g_00584
OG0000309	Syal.g_02873	Prad.g_00580
OG0000310	Syal.g_01537	Prad.g_00530
OG0000311	Syal.g_00061	Prad.g_00528
OG0000312	Syal.g_00031	Prad.g_00525
OG0000313	Syal.g_00381	Prad.g_00511
OG0000314	Syal.g_00416	Prad.g_00487
OG0000315	Syal.g_00426	Prad.g_00477
OG0000316	Syal.g_02987	Prad.g_00457
OG0000317	Syal.g_00583	Prad.g_00943
OG0000318	Syal.g_00588	Prad.g_00940
OG0000319	Syal.g_00608	Prad.g_00927
OG0000320	Syal.g_00610	Prad.g_00925
OG0000321	Syal.g_00611	Prad.g_00924
OG0000322	Syal.g_00612	Prad.g_00923
OG0000323	Syal.g_00626	Prad.g_00914
OG0000324	Syal.g_00656	Prad.g_00887
OG0000325	Syal.g_00195	Prad.g_00878
OG0000326	Syal.g_00202	Prad.g_00872
OG0000327	Syal.g_00230	Prad.g_00848
OG0000328	Syal.g_00231	Prad.g_00847
OG0000329	Syal.g_00249	Prad.g_00830
OG0000330	Syal.g_00250	Prad.g_00829
OG0000331	Syal.g_00251	Prad.g_00828
OG0000332	Syal.g_00266	Prad.g_00814
OG0000333	Syal.g_00269	Prad.g_00812
OG0000334	Syal.g_00279	Prad.g_00804
OG0000335	Syal.g_00284	Prad.g_00799
OG0000336	Syal.g_00288	Prad.g_00795
OG0000337	Syal.g_01343	Prad.g_00779
OG0000338	Syal.g_01345	Prad.g_00778
OG0000339	Syal.g_01351	Prad.g_00774
OG0000340	Syal.g_01434	Prad.g_00766, Prad.g_01294
OG0000341	Syal.g_01436	Prad.g_00764
OG0000342	Syal.g_01437	Prad.g_00763
OG0000343	Syal.g_01441	Prad.g_00762
OG0000344	Syal.g_01445	Prad.g_01639
OG0000345	Syal.g_01455	Prad.g_01634
OG0000346	Syal.g_01460	Prad.g_01630
OG0000347	Syal.g_01525	Prad.g_01615
OG0000348	Syal.g_00170	Prad.g_01606
OG0000349	Syal.g_00148	Prad.g_01589
OG0000350	Syal.g_00209	Prad.g_01570
OG0000351	Syal.g_01175	Prad.g_01553
OG0000352	Syal.g_01176	Prad.g_01552
OG0000353	Syal.g_00095	Prad.g_01537
OG0000354	Syal.g_02941, Syal.g_00116	Prad.g_01041
OG0000355	Syal.g_00098	Prad.g_01535
OG0000356	Syal.g_00099	Prad.g_01534
OG0000357	Syal.g_00100	Prad.g_01533
OG0000358	Syal.g_00104	Prad.g_01529
OG0000359	Syal.g_00106	Prad.g_01528
OG0000360	Syal.g_00107	Prad.g_01527
OG0000361	Syal.g_00108	Prad.g_01976
OG0000362	Syal.g_00110	Prad.g_01974
OG0000363	Syal.g_00112	Prad.g_01972
OG0000364	Syal.g_00113	Prad.g_01971
OG0000365	Syal.g_00122	Prad.g_01966
OG0000366	Syal.g_00123	Prad.g_01965
OG0000367	Syal.g_00124	Prad.g_01964
OG0000368	Syal.g_00126	Prad.g_01962
OG0000369	Syal.g_00127	Prad.g_01961
OG0000370	Syal.g_00128	Prad.g_01960
OG0000371	Syal.g_00135	Prad.g_01954
OG0000372	Syal.g_00141	Prad.g_01951
OG0000373	Syal.g_00142	Prad.g_01950
OG0000374	Syal.g_00143	Prad.g_01949
OG0000375	Syal.g_00144	Prad.g_01947
OG0000376	Syal.g_00146	Prad.g_01945
OG0000377	Syal.g_01061	Prad.g_01941
OG0000378	Syal.g_01027	Prad.g_01939
OG0000379	Syal.g_02681, Syal.g_01024	Prad.g_01936
OG0000380	Syal.g_00749	Prad.g_01927
OG0000381	Syal.g_00752	Prad.g_01923
OG0000382	Syal.g_00770	Prad.g_01912
OG0000383	Syal.g_00775	Prad.g_01910
OG0000384	Syal.g_00776	Prad.g_01909
OG0000385	Syal.g_00777	Prad.g_01908
OG0000386	Syal.g_00778	Prad.g_01907
OG0000387	Syal.g_00811	Prad.g_01894
OG0000388	Syal.g_00815	Prad.g_01891
OG0000389	Syal.g_00819	Prad.g_01887
OG0000390	Syal.g_00835	Prad.g_01880, Prad.g_00011
OG0000391	Syal.g_00840	Prad.g_01877
OG0000392	Syal.g_00846	Prad.g_01873
OG0000393	Syal.g_00849	Prad.g_01871
OG0000394	Syal.g_00850	Prad.g_01870
OG0000395	Syal.g_00851	Prad.g_01869
OG0000396	Syal.g_00854	Prad.g_01866
OG0000397	Syal.g_00857	Prad.g_01864
OG0000398	Syal.g_00862	Prad.g_01862
OG0000399	Syal.g_00863	Prad.g_01861
OG0000400	Syal.g_00864	Prad.g_01860
OG0000401	Syal.g_00865	Prad.g_01859
OG0000402	Syal.g_00867	Prad.g_01857
OG0000403	Syal.g_00868	Prad.g_01856
OG0000404	Syal.g_00870	Prad.g_01855
OG0000405	Syal.g_00883	Prad.g_01851
OG0000406	Syal.g_00888	Prad.g_01844
OG0000407	Syal.g_00889	Prad.g_01843
OG0000408	Syal.g_00891	Prad.g_01841
OG0000409	Syal.g_00893	Prad.g_01839
OG0000410	Syal.g_00894	Prad.g_01838
OG0000411	Syal.g_00895	Prad.g_01837
OG0000412	Syal.g_00896	Prad.g_01836
OG0000413	Syal.g_00898	Prad.g_01835
OG0000414	Syal.g_00899	Prad.g_01834
OG0000415	Syal.g_00900	Prad.g_01833
OG0000416	Syal.g_00901	Prad.g_01832
OG0000417	Syal.g_00902	Prad.g_01831
OG0000418	Syal.g_00907	Prad.g_01826
OG0000419	Syal.g_00909	Prad.g_01824
OG0000420	Syal.g_00911	Prad.g_01823
OG0000421	Syal.g_00916	Prad.g_01818
OG0000422	Syal.g_00917	Prad.g_01817
OG0000423	Syal.g_00918	Prad.g_01816
OG0000424	Syal.g_00919	Prad.g_01815
OG0000425	Syal.g_00920	Prad.g_01814
OG0000426	Syal.g_00921	Prad.g_01813
OG0000427	Syal.g_00922	Prad.g_01812
OG0000428	Syal.g_00925	Prad.g_01810
OG0000429	Syal.g_00929	Prad.g_01809
OG0000430	Syal.g_00931	Prad.g_01808
OG0000431	Syal.g_00934	Prad.g_01806
OG0000432	Syal.g_00940	Prad.g_01803
OG0000433	Syal.g_00943	Prad.g_01802
OG0000434	Syal.g_00944	Prad.g_01801
OG0000435	Syal.g_00946	Prad.g_01800
OG0000436	Syal.g_00953	Prad.g_01795
OG0000437	Syal.g_00954	Prad.g_01794
OG0000438	Syal.g_00955	Prad.g_01793
OG0000439	Syal.g_00957	Prad.g_01791
OG0000440	Syal.g_00958	Prad.g_01790
OG0000441	Syal.g_00962	Prad.g_01787
OG0000442	Syal.g_00964	Prad.g_01786
OG0000443	Syal.g_00966	Prad.g_01785
OG0000444	Syal.g_00978	Prad.g_01780
OG0000445	Syal.g_00979	Prad.g_01779
OG0000446	Syal.g_00981	Prad.g_01778
OG0000447	Syal.g_00989	Prad.g_01777
OG0000448	Syal.g_00990	Prad.g_01776
OG0000449	Syal.g_00991	Prad.g_01775
OG0000450	Syal.g_00997	Prad.g_01774
OG0000451	Syal.g_00998	Prad.g_01773
OG0000452	Syal.g_01002	Prad.g_01770
OG0000453	Syal.g_01003	Prad.g_01769
OG0000454	Syal.g_01004	Prad.g_01768
OG0000455	Syal.g_01005	Prad.g_01767
OG0000456	Syal.g_01006	Prad.g_01766
OG0000457	Syal.g_01008	Prad.g_01765
OG0000458	Syal.g_01009	Prad.g_01764
OG0000459	Syal.g_01010	Prad.g_01763
OG0000460	Syal.g_00686	Prad.g_01756
OG0000461	Syal.g_01199	Prad.g_01749
OG0000462	Syal.g_01202	Prad.g_01747
OG0000463	Syal.g_01203	Prad.g_01746
OG0000464	Syal.g_01204	Prad.g_01745
OG0000465	Syal.g_01205	Prad.g_01744
OG0000466	Syal.g_01210	Prad.g_01741
OG0000467	Syal.g_01212	Prad.g_01740
OG0000468	Syal.g_01225	Prad.g_01738
OG0000469	Syal.g_01240	Prad.g_01729
OG0000470	Syal.g_01242	Prad.g_01727
OG0000471	Syal.g_01243	Prad.g_01726
OG0000472	Syal.g_01245	Prad.g_01725
OG0000473	Syal.g_01247	Prad.g_01723
OG0000474	Syal.g_01248	Prad.g_01722
OG0000475	Syal.g_01249	Prad.g_01721
OG0000476	Syal.g_01251	Prad.g_01720
OG0000477	Syal.g_01257	Prad.g_01716
OG0000478	Syal.g_01258	Prad.g_01715
OG0000479	Syal.g_01259	Prad.g_01714
OG0000480	Syal.g_01266	Prad.g_01709
OG0000481	Syal.g_01268	Prad.g_01707
OG0000482	Syal.g_01269	Prad.g_01706
OG0000483	Syal.g_01273	Prad.g_01703
OG0000484	Syal.g_01274	Prad.g_01702
OG0000485	Syal.g_01275	Prad.g_01701
OG0000486	Syal.g_01276	Prad.g_01700
OG0000487	Syal.g_01282	Prad.g_01696
OG0000488	Syal.g_01286	Prad.g_01693
OG0000489	Syal.g_01298	Prad.g_01688
OG0000490	Syal.g_01307	Prad.g_01683
OG0000491	Syal.g_01308	Prad.g_01682
