Orthogroup	Syal	Syaa
OG0000001	Syal.g_02215	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436
OG0000004	Syal.g_01809	Syaa.g_00892
OG0000004	Syal.g_02718	Syaa.g_01667
OG0000004	Syal.g_00691	Syaa.g_02116
OG0000005	Syal.g_00606	Syaa.g_00534
OG0000005	Syal.g_00565	Syaa.g_00573
OG0000005	Syal.g_01664	Syaa.g_01449
OG0000006	Syal.g_02611	Syaa.g_01611
OG0000006	Syal.g_00674	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Syal.g_02918	Syaa.g_02032
OG0000007	Syal.g_00587	Syaa.g_00551
OG0000008	Syal.g_02512	Syaa.g_00918
OG0000008	Syal.g_01783	Syaa.g_00919
OG0000009	Syal.g_00818	Syaa.g_02378
OG0000010	Syal.g_00464	Syaa.g_01843
OG0000011	Syal.g_00702	Syaa.g_00921
OG0000012	Syal.g_01639	Syaa.g_02304
OG0000013	Syal.g_00315	Syaa.g_02212
OG0000013	Syal.g_00322	Syaa.g_02204
OG0000013	Syal.g_00310	Syaa.g_02217
OG0000014	Syal.g_01305	Syaa.g_00222
OG0000015	Syal.g_02210, Syal.g_01183	Syaa.g_02739
OG0000016	Syal.g_00111	Syaa.g_00014
OG0000016	Syal.g_01734	Syaa.g_00981
OG0000017	Syal.g_02752	Syaa.g_01890
OG0000017	Syal.g_02745	Syaa.g_01883
OG0000018	Syal.g_00410	Syaa.g_01801
OG0000019	Syal.g_01209	Syaa.g_00307
OG0000022	Syal.g_02587	Syaa.g_01571
OG0000024	Syal.g_02597	Syaa.g_00922
OG0000025	Syal.g_02459	Syaa.g_00839
OG0000026	Syal.g_00132	Syaa.g_00038
OG0000027	Syal.g_02543	Syaa.g_00854
OG0000028	Syal.g_01319	Syaa.g_00205
OG0000029	Syal.g_03014	Syaa.g_01578
OG0000030	Syal.g_01511	Syaa.g_00099
OG0000030	Syal.g_01512	Syaa.g_00098
OG0000031	Syal.g_01404, Syal.g_01432	Syaa.g_00200
OG0000032	Syal.g_00428	Syaa.g_01818
OG0000033	Syal.g_00912	Syaa.g_02478
OG0000034	Syal.g_00881, Syal.g_01586	Syaa.g_00722, Syaa.g_02444
OG0000035	Syal.g_00370, Syal.g_00020	Syaa.g_01773
OG0000037	Syal.g_00601	Syaa.g_02384
OG0000038	Syal.g_01071	Syaa.g_02596
OG0000040	Syal.g_01187	Syaa.g_01606
OG0000040	Syal.g_01149	Syaa.g_02690
OG0000041	Syal.g_00649	Syaa.g_00660, Syaa.g_00869
OG0000042	Syal.g_01705, Syal.g_01508	Syaa.g_00103
OG0000043	Syal.g_02547	Syaa.g_01437
OG0000044	Syal.g_01847	Syaa.g_00851
OG0000045	Syal.g_01563	Syaa.g_01518
OG0000046	Syal.g_00316	Syaa.g_02211
OG0000046	Syal.g_00321	Syaa.g_02205
OG0000046	Syal.g_00309	Syaa.g_02218
OG0000047	Syal.g_01568	Syaa.g_02189
OG0000048	Syal.g_01250	Syaa.g_00275, Syaa.g_02719
OG0000050	Syal.g_01549	Syaa.g_01213, Syaa.g_01712
OG0000051	Syal.g_01550	Syaa.g_01531
OG0000052	Syal.g_01396	Syaa.g_00461
