Orthogroup	Syab	Syar
OG0000001	Syab.g_02553, Syab.g_02555	Syar.g_00070
OG0000001	Syab.g_00673	Syar.g_02229
OG0000004	Syab.g_00549, Syab.g_01193	Syar.g_02051
OG0000004	Syab.g_01911	Syar.g_02225
OG0000004	Syab.g_02377	Syar.g_00842
OG0000005	Syab.g_02289	Syar.g_02952
OG0000005	Syab.g_02232	Syar.g_02909
OG0000005	Syab.g_00981	Syar.g_01752
OG0000006	Syab.g_01849	Syar.g_02439
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Syab.g_02117	Syar.g_01491
OG0000007	Syab.g_02256	Syar.g_02929
OG0000008	Syab.g_01755	Syar.g_02097
OG0000008	Syab.g_01168	Syar.g_02098
OG0000009	Syab.g_02498	Syar.g_03116
OG0000010	Syab.g_00696	Syar.g_01272
OG0000012	Syab.g_01774, Syab.g_00953	Syar.g_00690, Syar.g_02860
OG0000013	Syab.g_00482	Syar.g_02032, Syar.g_01103, Syar.g_01106
OG0000014	Syab.g_00249	Syar.g_00825
OG0000014	Syab.g_00178	Syar.g_02736
OG0000015	Syab.g_02889	Syar.g_00451
OG0000016	Syab.g_00014, Syab.g_01049	Syar.g_02859
OG0000017	Syab.g_01953	Syar.g_03181
OG0000017	Syab.g_01945	Syar.g_02180
OG0000018	Syab.g_00742	Syar.g_01409
OG0000019	Syab.g_00344	Syar.g_00163
OG0000022	Syab.g_01825	Syar.g_00835
OG0000025	Syab.g_01705	Syar.g_01811
OG0000026	Syab.g_00036	Syar.g_00505
OG0000027	Syab.g_01782	Syar.g_02055
OG0000028	Syab.g_00234	Syar.g_00718
OG0000031	Syab.g_00160	Syar.g_00714
OG0000032	Syab.g_00724	Syar.g_01390
OG0000032	Syab.g_00149	Syar.g_00543
OG0000033	Syab.g_02590	Syar.g_00105
OG0000034	Syab.g_00900, Syab.g_02560	Syar.g_00074, Syar.g_02790
OG0000035	Syab.g_00778	Syar.g_02809
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Syab.g_02759	Syar.g_00334
OG0000038	Syab.g_02761	Syar.g_00336
OG0000039	Syab.g_02791	Syar.g_02151
OG0000040	Syab.g_02853	Syar.g_00858
OG0000041	Syab.g_01086, Syab.g_02804	Syar.g_01370, Syar.g_02014
OG0000042	Syab.g_01019, Syab.g_00099	Syar.g_00595, Syar.g_01970
OG0000045	Syab.g_00871	Syar.g_02592
OG0000046	Syab.g_00496	Syar.g_03233
OG0000046	Syab.g_00481	Syar.g_01102, Syar.g_01105
OG0000048	Syab.g_00308	Syar.g_00213
OG0000051	Syab.g_01073, Syab.g_02216	Syar.g_01597
