Orthogroup	Syab	Prbj
OG0000000	Syab.g_01226	Prbj.g_00166, Prbj.g_00165
OG0000001	Syab.g_02553, Syab.g_02555	Prbj.g_01549, Prbj.g_02662
OG0000001	Syab.g_00673	Prbj.g_02690
OG0000002	Syab.g_02285	Prbj.g_02517, Prbj.g_00030
OG0000003	Syab.g_01580	Prbj.g_01916, Prbj.g_01831
OG0000004	Syab.g_00549, Syab.g_01193	Prbj.g_00754
OG0000004	Syab.g_01911, Syab.g_02377	Prbj.g_01777
OG0000005	Syab.g_02806, Syab.g_02232	Prbj.g_00883
OG0000006	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361	Prbj.g_02699
OG0000007	Syab.g_02117	Prbj.g_01610
OG0000007	Syab.g_02256	Prbj.g_00857
OG0000008	Syab.g_01755	Prbj.g_00929
OG0000008	Syab.g_01168	Prbj.g_00928
OG0000009	Syab.g_02498	Prbj.g_01300, Prbj.g_00618
OG0000010	Syab.g_00696	Prbj.g_00129
OG0000013	Syab.g_00487, Syab.g_00497, Syab.g_00482	Prbj.g_00359
OG0000014	Syab.g_00249	Prbj.g_01442
OG0000015	Syab.g_02889	Prbj.g_02502
OG0000017	Syab.g_01953	Prbj.g_01769
OG0000017	Syab.g_01945	Prbj.g_01761
OG0000018	Syab.g_00742	Prbj.g_00641
OG0000019	Syab.g_00344	Prbj.g_00025, Prbj.g_01349
OG0000020	Syab.g_02230	Prbj.g_00214, Prbj.g_02701
OG0000022	Syab.g_01825	Prbj.g_00050
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Prbj.g_02392
OG0000024	Syab.g_01834	Prbj.g_00773
OG0000025	Syab.g_01705	Prbj.g_02475
OG0000026	Syab.g_00036	Prbj.g_01204
OG0000028	Syab.g_00234	Prbj.g_01457
OG0000030	Syab.g_00096	Prbj.g_01288
OG0000030	Syab.g_00095	Prbj.g_01287
OG0000031	Syab.g_00160	Prbj.g_01522, Prbj.g_01527
OG0000032	Syab.g_00724	Prbj.g_00659
OG0000032	Syab.g_00149	Prbj.g_01468
OG0000033	Syab.g_02590	Prbj.g_00518
OG0000034	Syab.g_00900, Syab.g_02560	Prbj.g_01740
OG0000035	Syab.g_00778	Prbj.g_01056
OG0000036	Syab.g_00846, Syab.g_00839, Syab.g_01108, Syab.g_01109, Syab.g_02412, Syab.g_01247	Prbj.g_01099
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Prbj.g_00624
OG0000038	Syab.g_02759	Prbj.g_01959
OG0000038	Syab.g_02761	Prbj.g_01961
OG0000039	Syab.g_02791	Prbj.g_00278
OG0000041	Syab.g_01086, Syab.g_02804	Prbj.g_00450
OG0000042	Syab.g_01019, Syab.g_00099	Prbj.g_01808, Prbj.g_00001
OG0000045	Syab.g_00871	Prbj.g_00563
OG0000046	Syab.g_00488, Syab.g_00496, Syab.g_00481	Prbj.g_00358
OG0000047	Syab.g_00876	Prbj.g_00666, Prbj.g_02509
OG0000048	Syab.g_00308	Prbj.g_01393
OG0000051	Syab.g_01073	Prbj.g_00705
OG0000051	Syab.g_02216	Prbj.g_02362
OG0000052	Syab.g_00214	Prbj.g_01487
OG0000053	Syab.g_00746	Prbj.g_00638
OG0000054	Syab.g_01932	Prbj.g_01758
OG0000057	Syab.g_01200	Prbj.g_00758
OG0000058	Syab.g_00227	Prbj.g_01467
OG0000059	Syab.g_00397	Prbj.g_01029
OG0000060	Syab.g_02094	Prbj.g_01633
OG0000060	Syab.g_00707	Prbj.g_01132
OG0000061	Syab.g_00969	Prbj.g_00971
OG0000062	Syab.g_02234	Prbj.g_00881
OG0000063	Syab.g_00040	Prbj.g_01208
OG0000065	Syab.g_02500	Prbj.g_00620
OG0000066	Syab.g_01516, Syab.g_02031	Prbj.g_02141
OG0000067	Syab.g_01659	Prbj.g_02412
OG0000068	Syab.g_02087	Prbj.g_01639
OG0000070	Syab.g_00614	Prbj.g_00118
OG0000071	Syab.g_00915	Prbj.g_01728
OG0000072	Syab.g_02593	Prbj.g_00516
OG0000073	Syab.g_02119	Prbj.g_01608
OG0000075	Syab.g_00202	Prbj.g_01502
OG0000076	Syab.g_00113	Prbj.g_01598
OG0000077	Syab.g_02446	Prbj.g_01900
OG0000078	Syab.g_02366	Prbj.g_02614
OG0000079	Syab.g_00340	Prbj.g_01353
OG0000081	Syab.g_01793	Prbj.g_00799, Prbj.g_00765
OG0000082	Syab.g_01971	Prbj.g_01789
OG0000084	Syab.g_00781	Prbj.g_01052
OG0000085	Syab.g_02243	Prbj.g_00869
OG0000086	Syab.g_02468	Prbj.g_00589
