Orthogroup	Syab	Syat
OG0000001	Syab.g_02553, Syab.g_02555	Syat.g_02908, Syat.g_02909
OG0000001	Syab.g_01509, Syab.g_01510	Syat.g_01540
OG0000001	Syab.g_00673	Syat.g_00878
OG0000005	Syab.g_02289	Syat.g_03065
OG0000005	Syab.g_02806, Syab.g_02232	Syat.g_03105
OG0000005	Syab.g_00981	Syat.g_01038
OG0000006	Syab.g_01849	Syat.g_00371
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Syat.g_01439, Syat.g_01865
OG0000007	Syab.g_02117	Syat.g_03191
OG0000007	Syab.g_02256	Syat.g_03124
OG0000008	Syab.g_01755	Syat.g_02626
OG0000008	Syab.g_01168	Syat.g_02627
OG0000009	Syab.g_02498	Syat.g_01567
OG0000010	Syab.g_00696	Syat.g_01372
OG0000012	Syab.g_01774, Syab.g_00953	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Syab.g_00482	Syat.g_01027
OG0000014	Syab.g_00249	Syat.g_02104
OG0000014	Syab.g_00178	Syat.g_02250
OG0000016	Syab.g_00014	Syat.g_02329
OG0000016	Syab.g_01049	Syat.g_00909
OG0000018	Syab.g_00742	Syat.g_01334
OG0000019	Syab.g_00344	Syat.g_01876
OG0000022	Syab.g_01825	Syat.g_00210
OG0000024	Syab.g_01834	Syat.g_03394
OG0000025	Syab.g_01705	Syat.g_00719
OG0000026	Syab.g_00036	Syat.g_02306
OG0000027	Syab.g_01782	Syat.g_00850
OG0000028	Syab.g_00234	Syat.g_02126
OG0000030	Syab.g_00096	Syat.g_00307
OG0000030	Syab.g_00095	Syat.g_00308
OG0000031	Syab.g_00160	Syat.g_02131
OG0000032	Syab.g_00724	Syat.g_01354
OG0000032	Syab.g_00149	Syat.g_02237
OG0000033	Syab.g_02590	Syat.g_02858
OG0000034	Syab.g_00900, Syab.g_02560	Syat.g_01165, Syat.g_02902
OG0000035	Syab.g_00778	Syat.g_01227, Syat.g_01226
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205	Syat.g_00849, Syat.g_00187
OG0000038	Syab.g_02759	Syat.g_02688
OG0000038	Syab.g_02761	Syat.g_02686
OG0000039	Syab.g_02791	Syat.g_01278
OG0000040	Syab.g_02853	Syat.g_02551
OG0000041	Syab.g_01086, Syab.g_02804	Syat.g_00785
OG0000042	Syab.g_01019, Syab.g_00099	Syat.g_00223, Syat.g_02222
OG0000045	Syab.g_00871	Syat.g_00935
OG0000046	Syab.g_00481	Syat.g_01626, Syat.g_01026
OG0000048	Syab.g_00308	Syat.g_02046
OG0000052	Syab.g_00214	Syat.g_02140
OG0000053	Syab.g_00746	Syat.g_01330
OG0000054	Syab.g_01932	Syat.g_00987, Syat.g_03390
OG0000057	Syab.g_01200	Syat.g_00817, Syat.g_02055
OG0000058	Syab.g_00227	Syat.g_02133, Syat.g_02238
OG0000059	Syab.g_00397	Syat.g_01832
OG0000060	Syab.g_02094	Syat.g_01384
OG0000060	Syab.g_01222	Syat.g_01383
OG0000061	Syab.g_00969	Syat.g_03260
OG0000062	Syab.g_02234	Syat.g_03107
OG0000063	Syab.g_00040	Syat.g_02303
OG0000064	Syab.g_01783	Syat.g_01568
OG0000065	Syab.g_02500	Syat.g_01571
OG0000066	Syab.g_01516, Syab.g_02031	Syat.g_03283
OG0000068	Syab.g_02087	Syat.g_00085, Syat.g_01295
OG0000070	Syab.g_00614	Syat.g_01032, Syat.g_01040
OG0000072	Syab.g_02593	Syat.g_02856
OG0000073	Syab.g_02119	Syat.g_03201
OG0000075	Syab.g_00202	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Syab.g_00113	Syat.g_02206
OG0000077	Syab.g_02446	Syat.g_01481
OG0000078	Syab.g_02366	Syat.g_00184
OG0000079	Syab.g_00340	Syat.g_01879
OG0000080	Syab.g_00140	Syat.g_01200
OG0000081	Syab.g_01793	Syat.g_00980
OG0000082	Syab.g_01971	Syat.g_00035
OG0000085	Syab.g_02243	Syat.g_03113
OG0000086	Syab.g_02468	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syab.g_02551	Syat.g_02912
OG0000088	Syab.g_02586	Syat.g_02862
OG0000089	Syab.g_00551	Syat.g_02953
OG0000090	Syab.g_02041	Syat.g_03270
OG0000091	Syab.g_01866	Syat.g_00939, Syat.g_00862
