Orthogroup	Syab	Syan
OG0000001	Syab.g_02553, Syab.g_02555	Syan.g_02266
OG0000001	Syab.g_01509, Syab.g_01510	Syan.g_01149
OG0000001	Syab.g_00673	Syan.g_02528
OG0000004	Syab.g_00549, Syab.g_01193	Syan.g_00183
OG0000004	Syab.g_01911	Syan.g_00989
OG0000005	Syab.g_02289	Syan.g_01423
OG0000005	Syab.g_02232	Syan.g_01378
OG0000005	Syab.g_00981	Syan.g_00449
OG0000006	Syab.g_01849	Syan.g_00791
OG0000006	Syab.g_00365, Syab.g_01847, Syab.g_02361	Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Syab.g_02117	Syan.g_02743
OG0000007	Syab.g_02256	Syan.g_01400
OG0000008	Syab.g_01755	Syan.g_00640, Syan.g_02532
OG0000008	Syab.g_01168	Syan.g_00641, Syan.g_02531
OG0000009	Syab.g_00995, Syab.g_02498	Syan.g_02972
OG0000010	Syab.g_00696	Syan.g_02847
OG0000012	Syab.g_01774, Syab.g_00953	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942
OG0000014	Syab.g_00249	Syan.g_01987
OG0000015	Syab.g_02889	Syan.g_01691
OG0000016	Syab.g_00014	Syan.g_01766
OG0000016	Syab.g_01049	Syan.g_02598
OG0000017	Syab.g_01945	Syan.g_01013
OG0000018	Syab.g_00742	Syan.g_02816
OG0000019	Syab.g_00344	Syan.g_02088
OG0000022	Syab.g_01825	Syan.g_00089
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Syan.g_00404
OG0000025	Syab.g_01705	Syan.g_00374
OG0000026	Syab.g_00036	Syan.g_01743
OG0000028	Syab.g_00234	Syan.g_01971
OG0000030	Syab.g_00096	Syan.g_01884
OG0000030	Syab.g_00095	Syan.g_01883
OG0000031	Syab.g_00160	Syan.g_01967
OG0000032	Syab.g_00724	Syan.g_02835
OG0000032	Syab.g_00149	Syan.g_01819
OG0000032	Syab.g_00182	Syan.g_01088, Syan.g_01091, Syan.g_01101
OG0000033	Syab.g_02590	Syan.g_03036
OG0000034	Syab.g_00900, Syab.g_02560	Syan.g_01227, Syan.g_03003
OG0000035	Syab.g_00778	Syan.g_01279, Syan.g_01276
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205	Syan.g_02978, Syan.g_00917
OG0000038	Syab.g_02759	Syan.g_01569
OG0000038	Syab.g_02761	Syan.g_01571
OG0000039	Syab.g_02791	Syan.g_00535
OG0000040	Syab.g_02853	Syan.g_01651
OG0000041	Syab.g_01086, Syab.g_02804	Syan.g_00302
OG0000042	Syab.g_01019, Syab.g_00099	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Syab.g_01256	Syan.g_01065
OG0000045	Syab.g_01787	Syan.g_00151
OG0000045	Syab.g_00871	Syan.g_00086
OG0000046	Syab.g_00481	Syan.g_02157, Syan.g_02160
OG0000048	Syab.g_00308	Syan.g_02036
OG0000052	Syab.g_00214	Syan.g_01954, Syan.g_01953
OG0000053	Syab.g_00746	Syan.g_02812
OG0000054	Syab.g_01932	Syan.g_02503, Syan.g_00231, Syan.g_00506
OG0000057	Syab.g_01200	Syan.g_00643, Syan.g_02514, Syan.g_00186
OG0000058	Syab.g_00227	Syan.g_01964
OG0000059	Syab.g_00397	Syan.g_02255
OG0000060	Syab.g_00662, Syab.g_02094, Syab.g_01222	Syan.g_02856
OG0000060	Syab.g_00707	Syan.g_02250
OG0000061	Syab.g_00969	Syan.g_02696
OG0000062	Syab.g_02234	Syan.g_01380
OG0000063	Syab.g_00040	Syan.g_01739
OG0000064	Syab.g_01783	Syan.g_02519, Syan.g_00785, Syan.g_02518
OG0000065	Syab.g_02500	Syan.g_02974
OG0000066	Syab.g_01516, Syab.g_02031	Syan.g_01156
OG0000068	Syab.g_02087	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000070	Syab.g_00614	Syan.g_00289
OG0000071	Syab.g_00915	Syan.g_01213
OG0000072	Syab.g_02593	Syan.g_03038
OG0000073	Syab.g_02119	Syan.g_02741
OG0000075	Syab.g_00202	Syan.g_00981, Syan.g_01937
OG0000076	Syab.g_00113	Syan.g_01896
OG0000077	Syab.g_02446	Syan.g_02919, Syan.g_02579
OG0000078	Syab.g_02366	Syan.g_01509, Syan.g_01510, Syan.g_02437
OG0000079	Syab.g_00340	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000080	Syab.g_00140	Syan.g_01083, Syan.g_01962
OG0000082	Syab.g_01971	Syan.g_00952
OG0000084	Syab.g_00781	Syan.g_01283
OG0000085	Syab.g_02243	Syan.g_01387
OG0000086	Syab.g_02468	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Syab.g_02551	Syan.g_02268
OG0000088	Syab.g_02586	Syan.g_03031
OG0000089	Syab.g_00551	Syan.g_02316
OG0000090	Syab.g_02041	Syan.g_01166
OG0000091	Syab.g_01866	Syan.g_00235, Syan.g_00808
OG0000092	Syab.g_01242, Syab.g_00690	Syan.g_02502
OG0000093	Syab.g_01090	Syan.g_02934
OG0000093	Syab.g_01582	Syan.g_00708
OG0000094	Syab.g_01306	Syan.g_00353
OG0000095	Syab.g_01210	Syan.g_00290
OG0000098	Syab.g_01553	Syan.g_00043
OG0000099	Syab.g_00230	Syan.g_01968
OG0000100	Syab.g_01694	Syan.g_00658
OG0000102	Syab.g_00104	Syan.g_01891
OG0000103	Syab.g_01296	Syan.g_01692
OG0000104	Syab.g_02910	Syan.g_01792
OG0000105	Syab.g_00303	Syan.g_02031
OG0000106	Syab.g_01817	Syan.g_00076
OG0000107	Syab.g_00367	Syan.g_02106
OG0000108	Syab.g_02096	Syan.g_02764
OG0000109	Syab.g_02112	Syan.g_02748
OG0000110	Syab.g_01984	Syan.g_00171, Syan.g_00882
OG0000111	Syab.g_01201	Syan.g_00187
OG0000112	Syab.g_01392	Syan.g_00556, Syan.g_00252
OG0000113	Syab.g_01689	Syan.g_00664
OG0000115	Syab.g_00748	Syan.g_02810
OG0000116	Syab.g_00945	Syan.g_02710, Syan.g_00460
OG0000117	Syab.g_01018	Syan.g_02644
OG0000118	Syab.g_00897	Syan.g_01241, Syan.g_01237
OG0000120	Syab.g_00229	Syan.g_01966
OG0000121	Syab.g_00772	Syan.g_01273
OG0000123	Syab.g_00454	Syan.g_02190
OG0000124	Syab.g_00088	Syan.g_01873
OG0000125	Syab.g_02763	Syan.g_01573
OG0000126	Syab.g_02908	Syan.g_01705
OG0000128	Syab.g_00012	Syan.g_01768
OG0000129	Syab.g_02749	Syan.g_01563
OG0000130	Syab.g_02434	Syan.g_02906, Syan.g_02907
OG0000131	Syab.g_02564	Syan.g_03008
OG0000132	Syab.g_02584	Syan.g_03029
OG0000133	Syab.g_01387	Syan.g_00561
OG0000134	Syab.g_00554	Syan.g_02319
OG0000135	Syab.g_02815	Syan.g_01616
