Orthogroup	Syab	Pran
OG0000000	Syab.g_01226	Pran.g_00582
OG0000002	Syab.g_02285	Pran.g_01500
OG0000004	Syab.g_00549, Syab.g_01193	Pran.g_01483
OG0000004	Syab.g_01911, Syab.g_02377	Pran.g_00200
OG0000005	Syab.g_02289	Pran.g_00983
OG0000005	Syab.g_02806, Syab.g_02232	Pran.g_00657
OG0000006	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361	Pran.g_01951
OG0000007	Syab.g_02117	Pran.g_01681
OG0000007	Syab.g_02256	Pran.g_00970
OG0000009	Syab.g_00995	Pran.g_00615
OG0000009	Syab.g_02498	Pran.g_00328
OG0000010	Syab.g_00696	Pran.g_00175
OG0000011	Syab.g_01491	Pran.g_01384
OG0000012	Syab.g_01774, Syab.g_00953	Pran.g_01555
OG0000013	Syab.g_00487, Syab.g_00497, Syab.g_00482	Pran.g_01867
OG0000014	Syab.g_00249	Pran.g_01888
OG0000014	Syab.g_00178	Pran.g_00755, Pran.g_00754
OG0000015	Syab.g_02889	Pran.g_01394
OG0000017	Syab.g_01953, Syab.g_01945	Pran.g_01580
OG0000018	Syab.g_00742	Pran.g_00078
OG0000019	Syab.g_00344	Pran.g_01943, Pran.g_01363
OG0000020	Syab.g_02230	Pran.g_00117, Pran.g_01804
OG0000022	Syab.g_01825	Pran.g_00097
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Pran.g_01834
OG0000024	Syab.g_01834	Pran.g_01420, Pran.g_01503
OG0000025	Syab.g_01705	Pran.g_01863, Pran.g_01309
OG0000026	Syab.g_00036	Pran.g_00168
OG0000027	Syab.g_01782	Pran.g_00583
OG0000028	Syab.g_00234	Pran.g_01874
OG0000030	Syab.g_00096, Syab.g_00095	Pran.g_01170
OG0000031	Syab.g_00160	Pran.g_00753
OG0000033	Syab.g_02590	Pran.g_00800
OG0000034	Syab.g_00900, Syab.g_02560	Pran.g_00866
OG0000035	Syab.g_00776, Syab.g_00778	Pran.g_00733
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Pran.g_00324
OG0000038	Syab.g_02759, Syab.g_02761	Pran.g_01210
OG0000039	Syab.g_02791	Pran.g_01492
OG0000040	Syab.g_02853	Pran.g_00079
OG0000041	Syab.g_01086, Syab.g_02804, Syab.g_02333	Pran.g_01016
OG0000042	Syab.g_01019, Syab.g_00099	Pran.g_01167
OG0000044	Syab.g_01262, Syab.g_01256, Syab.g_01097	Pran.g_00949
OG0000045	Syab.g_01787	Pran.g_01823
OG0000047	Syab.g_00876	Pran.g_01864
OG0000048	Syab.g_00308	Pran.g_01772, Pran.g_01820
OG0000053	Syab.g_00746	Pran.g_00713
OG0000054	Syab.g_01932	Pran.g_01572
OG0000055	Syab.g_01255	Pran.g_01362
OG0000057	Syab.g_01200	Pran.g_01480
OG0000059	Syab.g_00397	Pran.g_01056
OG0000060	Syab.g_00662, Syab.g_02094, Syab.g_01222, Syab.g_00707	Pran.g_01399
OG0000061	Syab.g_00969	Pran.g_00060
OG0000062	Syab.g_02234	Pran.g_00655
OG0000063	Syab.g_00040	Pran.g_00391
OG0000065	Syab.g_02500, Syab.g_01768	Pran.g_00326
