Orthogroup	Syab	Prap
OG0000001	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Prap.g_01925
OG0000002	Syab.g_02285	Prap.g_00720, Prap.g_00715, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823
OG0000004	Syab.g_00549, Syab.g_01193	Prap.g_00802
OG0000004	Syab.g_01911, Syab.g_02377	Prap.g_01480
OG0000005	Syab.g_02806, Syab.g_02232	Prap.g_00204
OG0000006	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361	Prap.g_01470
OG0000007	Syab.g_02117	Prap.g_01270
OG0000007	Syab.g_02256	Prap.g_01779
OG0000008	Syab.g_01755	Prap.g_01888
OG0000008	Syab.g_01168	Prap.g_01887
OG0000009	Syab.g_00995	Prap.g_00216
OG0000010	Syab.g_00696	Prap.g_00669, Prap.g_00318
OG0000013	Syab.g_00487, Syab.g_00497, Syab.g_00482	Prap.g_01385
OG0000014	Syab.g_00249	Prap.g_01403
OG0000015	Syab.g_02889	Prap.g_01840, Prap.g_01794
OG0000016	Syab.g_01049	Prap.g_00514
OG0000017	Syab.g_01953	Prap.g_01170
OG0000017	Syab.g_01945	Prap.g_01163
OG0000018	Syab.g_00742	Prap.g_00478
OG0000019	Syab.g_00344	Prap.g_01462, Prap.g_00480
OG0000020	Syab.g_02230	Prap.g_00228, Prap.g_01906
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Prap.g_00029
OG0000024	Syab.g_01834	Prap.g_00322, Prap.g_00826
OG0000025	Syab.g_01705	Prap.g_00747
OG0000026	Syab.g_00036	Prap.g_00923
OG0000027	Syab.g_01782	Prap.g_01912, Prap.g_01860
OG0000028	Syab.g_00234	Prap.g_01889
OG0000030	Syab.g_00096, Syab.g_00095	Prap.g_01569
OG0000031	Syab.g_00160	Prap.g_00080
OG0000032	Syab.g_00724	Prap.g_00160
OG0000033	Syab.g_02590	Prap.g_00087
OG0000034	Syab.g_00900, Syab.g_02560	Prap.g_00572
OG0000035	Syab.g_00776, Syab.g_00778	Prap.g_00121
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Prap.g_01067
OG0000038	Syab.g_02759, Syab.g_02761	Prap.g_01530
OG0000039	Syab.g_02791	Prap.g_00814
OG0000041	Syab.g_01086, Syab.g_02804, Syab.g_02333	Prap.g_01731
OG0000042	Syab.g_01019, Syab.g_00099	Prap.g_01572
OG0000043	Syab.g_02802, Syab.g_01785, Syab.g_01539	Prap.g_00477
OG0000046	Syab.g_00488, Syab.g_00496, Syab.g_00481	Prap.g_01384
OG0000047	Syab.g_00876	Prap.g_01343
OG0000048	Syab.g_00308	Prap.g_00548
OG0000051	Syab.g_01073	Prap.g_00611
OG0000052	Syab.g_00214	Prap.g_00897
OG0000053	Syab.g_00746	Prap.g_00142, Prap.g_01834
OG0000054	Syab.g_01932	Prap.g_01161
OG0000057	Syab.g_01200	Prap.g_00799
OG0000058	Syab.g_00227	Prap.g_00081
OG0000059	Syab.g_00397	Prap.g_01691
OG0000061	Syab.g_00969	Prap.g_00456
OG0000062	Syab.g_02234	Prap.g_00206
