Orthogroup	Syab	Prac
OG0000000	Syab.g_01226	Prac.g_00159
OG0000001	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Prac.g_00202
OG0000002	Syab.g_02285	Prac.g_00210, Prac.g_00693
OG0000004	Syab.g_00549, Syab.g_01193	Prac.g_00676
OG0000004	Syab.g_01911, Syab.g_02377	Prac.g_01698
OG0000005	Syab.g_02289	Prac.g_00612
OG0000005	Syab.g_02806, Syab.g_02232	Prac.g_00335
OG0000006	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361	Prac.g_01689
OG0000007	Syab.g_02117	Prac.g_00874
OG0000007	Syab.g_02256	Prac.g_00625
OG0000008	Syab.g_01755	Prac.g_00904
OG0000009	Syab.g_00995	Prac.g_00301
OG0000009	Syab.g_02498	Prac.g_01826
OG0000010	Syab.g_00696	Prac.g_01592, Prac.g_01248
OG0000011	Syab.g_01491	Prac.g_00142
OG0000012	Syab.g_01774, Syab.g_00953	Prac.g_00748
OG0000013	Syab.g_00487, Syab.g_00497, Syab.g_00482	Prac.g_01604
OG0000014	Syab.g_00249	Prac.g_01625
OG0000015	Syab.g_02889	Prac.g_00898
OG0000016	Syab.g_00014	Prac.g_01934
OG0000017	Syab.g_01953, Syab.g_01945	Prac.g_00773
OG0000018	Syab.g_00742	Prac.g_01004
OG0000019	Syab.g_00344	Prac.g_01681, Prac.g_01496
OG0000020	Syab.g_02230	Prac.g_01037, Prac.g_00906, Prac.g_00875, Prac.g_01598
OG0000022	Syab.g_01825	Prac.g_01022
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Prac.g_01174
OG0000024	Syab.g_01834	Prac.g_01525, Prac.g_00696
OG0000025	Syab.g_01705	Prac.g_01600, Prac.g_01441
OG0000026	Syab.g_00036	Prac.g_01241
OG0000027	Syab.g_01782	Prac.g_01074
OG0000028	Syab.g_00234	Prac.g_00145, Prac.g_01611
OG0000030	Syab.g_00096, Syab.g_00095	Prac.g_00050
OG0000031	Syab.g_00160	Prac.g_00249
OG0000032	Syab.g_00149	Prac.g_00242
OG0000034	Syab.g_00900, Syab.g_02560	Prac.g_00185
OG0000035	Syab.g_00776, Syab.g_00778	Prac.g_00411
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Prac.g_01822
OG0000038	Syab.g_02759, Syab.g_02761	Prac.g_00090
OG0000039	Syab.g_02791	Prac.g_00685
OG0000040	Syab.g_02853	Prac.g_01005
OG0000041	Syab.g_01086, Syab.g_02804, Syab.g_02333	Prac.g_00579
OG0000042	Syab.g_01019, Syab.g_00099	Prac.g_00048
OG0000044	Syab.g_01262, Syab.g_01256, Syab.g_01097	Prac.g_00892
OG0000045	Syab.g_01787	Prac.g_01162
OG0000045	Syab.g_00871	Prac.g_01576
OG0000047	Syab.g_00876	Prac.g_01601, Prac.g_01127
OG0000048	Syab.g_00308	Prac.g_01159
OG0000053	Syab.g_00746	Prac.g_01901, Prac.g_00391
OG0000054	Syab.g_01932	Prac.g_00765
OG0000055	Syab.g_01255	Prac.g_01495
OG0000057	Syab.g_01200	Prac.g_00673
OG0000059	Syab.g_00397	Prac.g_00500
OG0000061	Syab.g_00969	Prac.g_00985
OG0000062	Syab.g_02234	Prac.g_00333
OG0000063	Syab.g_00040	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000065	Syab.g_02500, Syab.g_01768	Prac.g_01824
OG0000066	Syab.g_01516, Syab.g_02031	Prac.g_00833
OG0000067	Syab.g_01659	Prac.g_01475
OG0000068	Syab.g_02087	Prac.g_00217
OG0000070	Syab.g_00614	Prac.g_01097
OG0000071	Syab.g_00915	Prac.g_00175
OG0000072	Syab.g_02593	Prac.g_01759
OG0000073	Syab.g_02119	Prac.g_00872
OG0000075	Syab.g_00202	Prac.g_00017
OG0000076	Syab.g_00113	Prac.g_01904, Prac.g_00041
OG0000077	Syab.g_02446	Prac.g_01853
OG0000078	Syab.g_02366	Prac.g_01691
OG0000081	Syab.g_01793	Prac.g_00841
OG0000082	Syab.g_01971	Prac.g_00788
OG0000084	Syab.g_00781	Prac.g_00415
OG0000085	Syab.g_02243	Prac.g_00632
OG0000086	Syab.g_02468	Prac.g_01843
OG0000087	Syab.g_02551	Prac.g_01792
OG0000088	Syab.g_02586	Prac.g_01764
OG0000089	Syab.g_00551	Prac.g_01178
OG0000090	Syab.g_02041	Prac.g_00839
OG0000091	Syab.g_01866	Prac.g_00729
OG0000092	Syab.g_01242, Syab.g_00690	Prac.g_00003
OG0000093	Syab.g_01582	Prac.g_01359
OG0000094	Syab.g_01306	Prac.g_01275
OG0000095	Syab.g_01210	Prac.g_01256
OG0000097	Syab.g_01051	Prac.g_00944
OG0000098	Syab.g_01553	Prac.g_00199
OG0000099	Syab.g_00230	Prac.g_00256
OG0000100	Syab.g_01694	Prac.g_00337
